organisme,titre_evenement,thematique,lieu,date,horaire,inscrption,lien_evenement,information
VertCité,"Conférence : transport et mobilité active, des réponses à vos questions",Mobilité active,Bibliothèque du Boisé,12 mars,10h15,OUI,https://docs.google.com/forms/d/e/1FAIpQLSerSx0EacAIIYknnBtwQBqv_sxNPZbLdX3Gdxn43KDASCHVWg/viewform,
Écopap,Atelier sur la taille des arbres fruitiers,Verdissement et agriculture urbaine,Jardin Mavi au 7000 rue Marie-Victorin (Cégep Marie-Victorin).,20 mars,12h-13h,OUI,écrire à jardins.collectifs@ecopap.ca,
Éco-quartier Côte-des-Neiges-Notre-Dame-de-Grâce,Atelier couture : récupération de textiles,GMR et consommation responsable,6767 ch de la Cote-des-Neiges,28 mars,14h-18h30,NON,https://socenv.ca/fr/2024/02/03/ateliers-de-machine-a-coudre-numerique/,"venez réparer, modiﬁer et améliorer vos vêtements et autres accessoires textiles"
Éco-quartier Côte-des-Neiges-Notre-Dame-de-Grâce,Atelier cuisine anti-gaspi,GMR et consommation responsable,"6450 Av. Somerled (au sous sol), Montréal, QC H4V 1S5",23 avril,10h-14h (à confirmer),OUI,,Intérêt et question à marsyly@socenv.ca
Écopap,Visite du Jardin Mavi,Verdissement et agriculture urbaine,"7000 Rue Marie-Victorin, Montréal, QC H1G 2J6",10 avril,12h-13h,OUI,Écrire à  jardins.collectifs@ecopap.ca,
Écopap,Bombes de semences,Verdissement et agriculture urbaine,Maison de l'arbre (jardin botanique),13 avril,11h-12h,NON,https://calendrier.espacepourlavie.ca/printemps-citoyen-agriculture-urbaine-jour-2-961324,
Écopap,Corvée de nettoyage pour la journée la Terre,GMR et consommation responsable,À déterminer,20 avril,10 - 12h,NON,écrire à info@ecopap.ca,Corvée de nettoyage organisée en collaboration avec le CJE de Rivière-des-Prairies pour souligner le Jour de la Terre
Éco-quartier Rosemont la Petite Patrie,"Atelier de semis (plantes potagères)
",Verdissement et agriculture urbaine,Maison de l'arbre (jardin botanique),27 avril,10h à 12h,NON,https://calendrier.espacepourlavie.ca/printemps-citoyen-la-nature-qui-me-fait-du-bien-961330,"Matériel fourni, mais on invite les gens à apporter des semences à échanger et leur matériel s’ils en ont"
Éco-quartier Rosemont la Petite Patrie,atelier de mise au point de vélo,Mobilité active,Maison de l'arbre (jardin botanique),27 avril,13 h à 16 h,OUI,https://calendrier.espacepourlavie.ca/printemps-citoyen-la-nature-qui-me-fait-du-bien-961330,"Mises aux points de vélos par des experts-bénévoles ; ne font pas de remplacement de pièce, mais ajustements mineurs et diagnotic. Sur inscription."
Éco-quartier Rosemont la Petite Patrie,atelier de fabrication d'éponges écoresponsables,GMR et consommation responsable,Maison de l'arbre (jardin botanique),27 avril,13 h à 16 h,NON,https://calendrier.espacepourlavie.ca/printemps-citoyen-la-nature-qui-me-fait-du-bien-961330,
Ville en vert,conférence sur la cuisine anti-gaspillage,GMR et consommation responsable,Maison de l'arbre (jardin botanique),28 avril,11h-12h,NON,https://calendrier.espacepourlavie.ca/printemps-citoyen-quand-la-transition-a-bon-gout,
Ville en vert,balade découverte dans l'arboretum,Verdissement et agriculture urbaine,Maison de l'arbre (jardin botanique),28 avril,13h-14h,NON,https://calendrier.espacepourlavie.ca/printemps-citoyen-quand-la-transition-a-bon-gout,
Ville en vert,atelier sur les végétaux ornementaux comestibles.,Verdissement et agriculture urbaine,Maison de l'arbre (jardin botanique),28 avril,15h-16h,NON,https://calendrier.espacepourlavie.ca/printemps-citoyen-quand-la-transition-a-bon-gout,
Éco-quartier Rosemont la Petite Patrie,Parcours cycliste,Mobilité active,Aréna Père-Marquette,2 mai,17h à 19h,NON,À venir,"Dans le cadre du lancement de l'Académie de vélo de RPP, l'EQ va animer un parcours cycliste ludique sur la dalle de l'aréna pour sensibiliser à la sécurité routières"
Éco-quartier Rosemont la Petite Patrie,Opération grand ménage de la Plaza St-Hubert,Propreté en ville,Plaza St-Hubert,4 mai,10h à 12h,OUI,À venir,"Opération ménage de la Plaza St-Hubert, en vue de sa piétonnisation cet été. Sur inscription."
Éco-quartier Lasalle,Grande corvée de nettoyage de LaSalle (Corvée des berges),Propreté en ville,Berges du Saint-Laurent à LaSalle,4 mai,8h-12h,OUI,à venir,Grande corvée de nettoyage organisée par l'Arrondissement de LaSalle en collaboration avec l'Éco-quartier Lasalle et Héritage Laurentien. Des centaines de citoyens se joignent à chaque année pour nettoyer les berges du Saint-Laurent à LaSalle
Écopap,Distribution de compost et végétaux,Verdissement et agriculture urbaine,"9140 Boulevard Perras, Montreal, Quebec, CA, H1E 7E4",4 mai,8h30-16h30,OUI,https://bit.ly/49QC5L0,Inscription à partir du 10 avril à 12h
Éco-quartier Rosemont la Petite Patrie,Distribution annuelle de plantes vivaces et plantes potagères aux citoyen(ne)s de RPP,Verdissement et agriculture urbaine,"Trois sites (Aréna Père-Marquette, Parc Lafond, Parc Joseph-Paré)",25 mai,9h,NON,À venir,"Distribution gratuite de plantes, sur trois sites de l'Arrondissement. Preuve d'adresse requise. Premier(e) arrivé(e) premier(e) servi(e)"
VertCité,"Journeé de jardinage Pierrefonds,",Verdissement et agriculture urbaine,"l'école PCHS, 13800 Boul. de Pierrefonds, Pierrefonds, QC H9A 1A7",25 mai,10h-14h,NON,à venir,"À l’occasion de cet événement familial, l'arrondissement Pierrefonds-Roxboro, des organismes sans but lucrative et équipes de l’horticulture distribueront gratuitement aux citoyens et citoyennes des plantes potagères, des fines herbes, du compost et des copeaux de bois. "
Éco-quartier Saint-Léonard,ateliers interactifs,Verdissement et agriculture urbaine,Parc Delorme,5 juin,13h-19h,NON,À venir,Célébrons la biodiversité !
Écopap,5 à 7 vert,GMR et consommation responsable,À déterminer,5 juillet,17 - 19h,NON,Contacter info@ecopap.ca,le 5 à 7 vert est une corvée de nettoyage conviviale organisé en collaboration avec nos agent.es de sensibilisation en environnement saisonniers
Éco-quartier Rosemont la Petite Patrie,Échange de semis et de semences (plantes vivaces),Verdissement et agriculture urbaine,pergola du Parc Molson,1er juin,10h à 12h,NON,À venir,On invite les gens à apporter des semences ou plantes vivaces à échanger. Une belle opportunité d’échanger avec d’autres jardiniers et jardinières passionné(e)s.
Écopap,Corvée de nettoyage pour la journée du Fleuve,GMR et consommation responsable,À déterminer,À déterminer,10h à 12h,NON,Contacter info@ecopap.ca,Corvée berge - Collab REQ et Mission 1000 tonnes - Journée du Fleuve à Pointe-aux-Trembles
Éco-quartier Lasalle,Corvée de nettoyage pour la journée du Fleuve,GMR et consommation responsable,À déterminer,À déterminer,À déterminer,OUI,Contacter info@ecolasalle.org,"Corvée de nettoyage pour la journée du fleuve, organisée en collaboration avec le REQ et Mission 1000 tonnes"
Éco-Pointe aux Prairies,"Ouverture de la zone libre
d'agriculture urbaine",Verdissement et agriculture urbaine,"Place du vieux village Pointe
aux trembles",11 mai,"À partir de
11h",NON,Lien vers page  événement FB,
Éco-quartier Côte-des-Neiges-Notre-Dame-de-Grâce,Journée Rammassage de Déchets,Propreté en ville,"Pavillon de la Savane, 511 rue Paré",31 mai,9h-12h,NON,À venir,"Grande corvée de nettoyage en collaboration avec le Centre Communautaire Mountain-Sights, Afry et l'Éco-quartier CDNNDDG.  En cas de mauvais temps, remis la semaine suivante"
SEM,Les ateliers Prendre soin de sa ruelle,Verdissement et agriculture urbaine,la ruelle verte des Érables (Ontario E / Disraeli),2 mai,17h30-19h,OUI,Lien vers page  événement FB,"Des beaux moments offerts pour en apprendre plus sur des notions horticoles qui permettront d’avoir les bons outils pour soigner les végétaux sa ruelle ou sa cour.
Pour cette deuxième saison, l’équipe de la SEM/éco-quartier Ville-Marie de Sainte-Marie et de Saint-Jacques abordera des questions souvent soulevées par les comités de ruelles vertes concernant l’entretien des aménagements de ces lieux et partagerons les solutions à tout le monde."
SEM,Les ateliers Prendre soin de sa ruelle,Verdissement et agriculture urbaine,la ruelle verte La Côte Bercy (Bercy / Hogan / Hochelaga / de Rouen),3 mai,17h30-19h,OUI,Lien vers page  événement FB,IDEM
