eq_arrondissement,organisme_mandataire,point_service,adresse,courriel,téléphone,Jours_heures_ouverture,latitude,longitude
Ahuntsic-Cartierville,Ville en vert,Ahuntsic,"10 416, rue Lajeunesse, Montréal, H3L 2E5",info@villeenvert.ca,514 447-6226 #300,mardi : 10h00–18h00  mercredi : 10h00–18h00 jeudi : 10h00–18h00 vendredi : 10h00–18h00 samedi : 10h00-17h00,45.5539386,-73.6642576
Ahuntsic-Cartierville,Ville en vert,Cartierville,"12225 rue Grenet, Montréal, QC H4J 2N7",info@villeenvert.ca,514 447-6226 #301,mardi : 10h00–17h00  mercredi : 10h00–17h00 jeudi : 11h00–19h00 vendredi : 11h00–19h00 samedi : 10h00-17h00,45.530181,-73.715802
Côte-des-Neiges - Notre-Dame-de-Grâce,SOCENV,Côte-des-Neiges,"6767, chemin de la Côte-des-Neiges, # 591, Montréal H3S 2T6",ecoquartiercdn@socenv.ca,514 738-7848,"mardi à vendredi : 10h00-18h00, samedi : 10h00-13h00",45.503399,-73.6370657
Côte-des-Neiges - Notre-Dame-de-Grâce,SOCENV,Notre-Dame-de-Grâce,"6575, rue Somerled, # 206, Montréal, H4V 1T1",ecoquartierndg@socenv.ca,514 486-2727,"mardi à vendredi : 10h00-18h00, samedi : 10h00-13h00",45.4671696,-73.6390263
Lachine,GRAME,Lachine,"735 rue Notre-Dame, # 202, Lachine, Montréal H8S 2B5",info@grame.org,514 634-7205,,45.434488,-73.670544
LaSalle,Héritage Laurentien,LaSalle,"55, avenue Dupras, # 405, LaSalle, Montréal H8R 4A8",info@ecolasalle.org,514 367-6000 #6500,,45.42832,-73.661233
Le Sud-Ouest,GRAME,Ville-Émard,"Chalet du parc Campbell ouest 1990, rue Maricourt, Montréal, H4E 1V9",eqsudouest@grame.org,514 872-0122,,45.457994,-73.5894591
Le Sud-Ouest,GRAME,Petite-Bourgogne,"12277, boulevard Rolland, Montréal, H1G 6A1",eqsudouest@grame.org,515 872-0122,Mercredi 10h-13h et 14h-17h / Jeudi 10h-13h et 14h-19h / Vendredi 10h-13h et 14h-17h / Samedi Sur rendez-vous ,45.484598,-73.57345
Mercier - Hochelaga - Maisonneuve,Nature-Action Québec,Mercier Ouest,,,,,,
Mercier - Hochelaga - Maisonneuve,Nature-Action Québec,Hochelaga,,,,,,
Montréal-Nord,Ville en vert,Pie IX,"10861, boulevard Pie IX, Montréal, H1H 4A9",info@villeenvert.ca,514 447-6226 #305,lundi : 10h00–17h00 mardi : 10h00–17h00 mercredi : 12h00–19h00 jeudi : 10h00–17h00,45.591082,-73.636882
Montréal-Nord,Ville en vert,Rolland,"12277, boulevard Rolland, Montréal, H1G 6A1",info@villeenvert.ca,514 447-6226 #306,mardi : 12h00–19h00 mercredi : 10h00–17h00 jeudi : 10h00–17h00 vendredi : 10h00-17h00,45.61825,-73.62189
Outremont,Outremont en famille,Outremont,"Centre communautaire intergénérationnel (CCI), au sous sol, 999 avenue McEachran, Montréal, H2V 3E6",info@outremontenfamille.org,514 529-9833,Lundi et mercredi: 13h30 à 17h Jeudi et vendredi: 14h à 19h Samedi: 10h-14h,45.519683,-73.619716
Pierrefonds-Roxboro,VertCité,Pierrefonds-Roxboro,"13, rue du Centre-commercial, Montréal, H8Y 2N9",info.eqpr@vertcite.ca,514 752-0778,"mercredi : 13h00-20h00, jeudi 13h00-18h00, vendredi et samedi : 9h00-15h00",45.509609,-73.806188
Rivière-des-Prairies - Pointe-aux-Trembles,Éco de la Pointe-aux-Prairies,Rivière-des-Prairies - Pointe-aux-Trembles,"9140, boulevard Perras, Montréal, H1E 7E4",info@ecopap.ca,514 648-9177,lundi au vendredi de 10h à 17h,45.650296,-73.577394
Rosemont - La Petite-Patrie,Nature-Action Québec,Rosemont - La Petite-Patrie,428 rue Bélanger,info@ecoquartier-rpp.ca,438 520-3483,"Mardi: 8h à 15h,mercredi: 11h à 18h, jeudi:9h à 16h",45.537444,-73.611429
Saint-Laurent,VertCité,Saint-Laurent,"685, boulevard Décarie, # 100, Montréal, H4L 5G4",info@vertcite.ca,514 744 -8333,,45.510449,-73.676157
Saint-Léonard,Nature-Action Québec,Saint-Léonard,"7800, rue de la Salette, Montréal, H1P 2J8",ecoquartierstleonard@gmail.com,514 328-8444,mardi : 9h00 à 17h00 mercredi: 13h00 à 17h00 jeudi: 13h00 à 19h00 vendredi 13h00 à 17h00,45.58981,-73.58445
Verdun,Maison de l'environnement,Verdun,"673, 1re Avenue, Verdun, Montréal, H4G 2V8",infoenvironnement@verdun.ca,514 765-8378,,45.458842,-73.573435
Ville-Marie,SAESEM,Peter-McGill,"1240, rue Saint-Marc, Montréal, H3H 2E5",info@saesem.org,514 933-1069,,45.492009,-73.579494
Ville-Marie,SEM Société écocitoyenne de Montréal,Sainte-Marie et Saint-Jacques,"2187, rue Larivière, Montréal, H2K 1P5",info@sem-montreal.org,514 523-9220,Lundi au mercredi de 9h30 à 12h et 12h30 à 17h30 Jeudi de 11h30 à 19h00,45.530238,-73.558417
Villeray - Saint-Michel - Parc-Extension,Ville en vert,Villeray,"7355, avenue Christophe-Colomb (local 283), Montréal, H2R 2S5",info@villeenvert.ca,514 447-6226 #302,Mardi et Jeudi de 9h00 à 17h00,45.543689,-73.613517
Villeray - Saint-Michel - Parc-Extension,Ville en vert,Saint-Michel,"7501, rue François-Perrault (local 122),Montréal, H2A 1M1",info@villeenvert.ca,515 447-6226 #304,Mardi et Jeudi de 9h00 à 17h00,45.5616677339,-73.60118329525
Villeray - Saint-Michel - Parc-Extension,Ville en vert,Parc-Extension,"419, rue Saint-Roch (local SS-06), Montréal,H3N 1K2",info@villeenvert.ca,516 447-6226 #303,Mardi et Jeudi de 9h00 à 17h00,45.531607,-73.628004
