titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
"Charles-Nagy community garden","https://montreal.ca/en/places/charles-nagy-community-garden","If you like to grow flowers, herbs and vegetables, LaSalle’s community gardens are a great place to enjoy your hobby.","2021-01-13","2024-06-25","LaSalle","Parks and gardens","Community garden","","","","Arts and Sports",""," ","","","","numéro: 5143676000 extension: 6809","","Charles-Nagy community garden","Société d’horticulture de LaSalle","Boulevard LaSalle, between Rue des Oblats et l’avenue Bélanger","H8R2N5","Montréal",45.423004767029,-73.655226867638,292652.5,5031463.9
"Des Rapides community garden","https://montreal.ca/en/places/des-rapides-community-garden","If you like to grow flowers, herbs and vegetables, LaSalle’s community gardens are a great place to enjoy your hobby.","2021-01-13","2024-06-25","LaSalle","Parks and gardens","Community garden","","","","Arts and Sports",""," ","","","","numéro: 5143676000 extension: 6819","","Des Rapides community garden","Société d’horticulture des Rapides","Boulevard LaSalle, near the Canal de l’Aqueduc","H8P1Z8","Montréal",45.416867306457,-73.629177253686,294689.9,5030778.3
"Parc Serge-Garant","https://montreal.ca/en/places/parc-serge-garant","The park is more than just a pleasant place to relax. It is now a permanent outdoor exhibition space in the heart of the Village.","2021-06-04","2021-06-01","Ville-Marie","Parks and gardens","Park","","","Stroller-friendly","Arts and Sports",""," ","","","","","","Parc Serge-Garant","1415 Rue Beaudry",,"H2L 2H3","Montréal",45.519123,-73.556075,300419.2,5042135.3
"Parc York-De Roberval","https://montreal.ca/en/places/parc-york-de-roberval","This small park provides a green space for relaxing outdoors as well as a community composting site.","2021-06-07","2021-06-07","Le Sud-Ouest","Parks and gardens","Park","","","","Arts and Sports",""," ","","","","","","Parc York-De Roberval","Angle des rues York et De Roberval",,,"Montréal",45.464445745025,-73.582821138195,298323.4,5036060.8
"Parc 40e Avenue / 41e Avenue","https://montreal.ca/en/places/parc-40e-avenue-41e-avenue","Parc 40e Avenue / 41e Avenue is a park for taking in the natural scenery.","2019-07-30","2024-06-25","Lachine","Parks and gardens","Park","","","","Arts and Sports",""," Schedule [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc 40e Avenue / 41e Avenue","41e Avenue",,"H8T 1A2","Montréal",45.440407235933,-73.702291846275,288974.2,5033406
"Parc Philippe-Lalonde","https://montreal.ca/en/places/parc-philippe-lalonde","Equipped with solar lighting, a staircase and a universal access ramp, this green space protects the environment while promoting universal accessibility. Put your motor strength, coordination and balance skills to the test on a climbing module for people of all ages made up of 26 poles along four courses. After that, take a well-deserved break and lounge on the deck chairs, or enjoy a snack at the picnic tables in this enchanting place.Philippe-LalondeThe park is named in honour of Philippe-Lalonde (1899-1974). After attending the École supérieure de Saint-Henri , he became a provincial boxing champion, a reserve goalie for the Canadiens hockey team, and was elected Liberal Member of the Legislative Assembly for Montréal-Saint-Henri from 1952 to 1962. He was also appointed Parliamentary Assistant to Premier Jean Lesage in 1962.","2021-07-05","2021-06-25","Le Sud-Ouest","Parks and gardens","Park","Biking","Training circuit","","Arts and Sports",""," Schedule [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Philippe-Lalonde","Rue Philippe-Lalonde",,,"Montréal",45.4673030028,-73.592632945219,297556.5,5036379.2
"Parc Victoria-Girard","https://montreal.ca/en/places/parc-victoria-girard","Parc Victoria-Girard is a park for relaxing, taking in the natural scenery or enjoying outdoor activities.","2019-08-29","2024-06-25","Rivière-des-Prairies–Pointe-aux-Trembles","Parks and gardens","Park","","Picnic area,Children's playground","","Arts and Sports",""," Schedule [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Victoria-Girard","1881 Rue Jean-Leduc",,"H1A 5G7","Montréal",45.654278,-73.506988,304255.4,5057153.9
"Place Shamrock","https://montreal.ca/en/places/place-shamrock","This pedestrian street between Rue Saint-Dominique and Avenue Casgrain in Little Italy links two very popular places in Montréal: Boulevard Saint-Laurent and the Jean Talon Market. As such, the area is naturally popular with residents, who have made it a regular meeting place. Its colourful ground markings and fun installations have greatly contributed to its popularity with residents. ObjectiveOffer an attractive and lively public space to residents and the area’s business clientele.InstallationsPicnic area with 100 seated placesFood preparation areaPlay installations for kidsMulti-purpose area for activitiesLighting system to make getting around safer.","2019-08-30","2024-06-25","Rosemont–La Petite-Patrie","Sports and recreation","Rue piétonne","","Picnic area,Drinking fountain","","Maintenance and Traffic",""," ","","","","","","Place Shamrock","70 Avenue Shamrock",,"H2S 1A6","Montréal",45.534655273494,-73.616242390126,295721.2,5043866.5
"Place Roy","https://montreal.ca/en/places/place-roy","Place Roy is a park for relaxing, taking in the natural scenery or enjoying outdoor activities.","2019-08-30","2024-06-25","Le Plateau-Mont-Royal","Parks and gardens","Place","","Picnic area","","Arts and Sports",""," Schedule [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Place Roy","880 Rue Roy Est",,"H2L 1E6","Montréal",45.521421,-73.570148,299320,5042391.6
"Parc Toussaint-Louverture","https://montreal.ca/en/places/parc-toussaint-louverture","Parc Toussaint-Louverture is a park for relaxing, taking in the natural scenery and enjoying outdoor activities.","2019-08-30","2024-06-25","Ville-Marie","Parks and gardens","Park","","Training circuit,Heated areas","","Arts and Sports",""," ","","","","","","Parc Toussaint-Louverture","127 Boulevard De Maisonneuve Est",,"H2X1J6","Montréal",45.512548,-73.564659,299748,5041405.2
