titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
"Jardins communautaires Charles-Nagy","https://montreal.ca/lieux/jardins-communautaires-charles-nagy","Un loisir passionnant pour les amateurs de culture potagère et de jardinage!","2021-01-13","2024-06-20","LaSalle","Parc et jardins","Jardin communautaire","","","","Culture et sports",""," ","","","","numéro: 5143676000 extension: 6809","","Jardins communautaires Charles-Nagy","Société d’horticulture de LaSalle","Boulevard LaSalle, entre la rue des Oblats et l’avenue Bélanger","H8R2N5","Montréal",45.423004767029,-73.655226867638,292652.5,5031463.9
"Jardins communautaires des Rapides","https://montreal.ca/lieux/jardins-communautaires-des-rapides","Un loisir passionnant pour les amateurs de culture potagère et de jardinage!","2021-01-13","2024-06-20","LaSalle","Parc et jardins","Jardin communautaire","","","","Culture et sports",""," ","","","","numéro: 5143676000 extension: 6819","","Jardins communautaires des Rapides","Société d’horticulture des Rapides","Boulevard LaSalle près du canal de l’Aqueduc","H8P1Z8","Montréal",45.416867306457,-73.629177253686,294689.9,5030778.3
"Jardin communautaire Remembrance","https://montreal.ca/lieux/jardin-communautaire-remembrance","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Consultez ces pages pour obtenir un espace dans un jardin communautaire ou renouveler son inscription à celui-ci.","2021-01-18","2022-05-12","Lachine","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","numéro: 5146395088","","Jardin communautaire Remembrance","Rue Remembrance et 32e Avenue",,,"Montréal",45.437534282583,-73.690358422498,289907,5033084.5
"Jardin communautaire Réal-Gareau","https://montreal.ca/lieux/jardin-communautaire-real-gareau","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Consultez ces pages pour obtenir un espace dans un jardin communautaire ou renouveler son inscription à celui-ci.","2021-01-18","2022-06-29","Lachine","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","numéro: 5146395088","","Jardin communautaire Réal-Gareau","Rue Sherbrooke et 4e Avenue",,,"Montréal",45.444691390739,-73.667708527289,291680.7,5033875.9
"Jardin communautaire les petites-pousses","https://montreal.ca/lieux/jardin-communautaire-les-petites-pousses","Ce jardin est situé derrière le parc Wilfrid-Vincent. Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Consultez ces pages pour obtenir un espace dans un jardin communautaire ou renouveler son inscription à celui-ci.","2021-01-18","2022-06-29","Lachine","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","numéro: 5146395088","","Jardin communautaire les petites-pousses","321, rue des Érables",,,"Montréal",45.443923598464,-73.652973812066,292833.2,5033788.3
"Jardin communautaire Notre-Dame-de-Grâce","https://montreal.ca/lieux/jardin-communautaire-notre-dame-de-grace","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-20","2021-10-14","Côte-des-Neiges–Notre-Dame-de-Grâce","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," Horaire []","","","","numéro: 5144834680","","Jardin communautaire Notre-Dame-de-Grâce","Avenue Royal",," H4A2M7","Montréal",45.472596440111,-73.628215089974,294775.1,5036971.3
"Jardin communautaire Rencontres","https://montreal.ca/lieux/jardin-communautaire-rencontres","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-21","2021-10-14","Côte-des-Neiges–Notre-Dame-de-Grâce","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," Horaire []","","","","numéro: 5144834680","","Jardin communautaire Rencontres","Avenue Notre-Dame-de-Grâce et rue Botrel",,,"Montréal",45.476169244506,-73.616193813293,295715.6,5037366.9
"Jardin communautaire Saint-Raymond","https://montreal.ca/lieux/jardin-communautaire-saint-raymond","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-21","2021-10-14","Côte-des-Neiges–Notre-Dame-de-Grâce","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," Horaire []","","","","numéro: 5144834680","","Jardin communautaire Saint-Raymond","Chemin Upper-Lachine et avenue d'Oxford",,,"Montréal",45.468871522949,-73.609263445416,296256.3,5036555.2
"Jardin communautaire Arc-en-sol","https://montreal.ca/lieux/jardin-communautaire-arc-en-sol","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-22","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Arc-en-sol","Rue Arcand",,"H1N3P8","Montréal",45.58213905412,-73.532601940522,302255.9,5049137.4
"Jardin communautaire BP Tétreaultville","https://montreal.ca/lieux/jardin-communautaire-bp-tetreaultville","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-22","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire BP Tétreaultville","Rue Aubry et rue de Marseille",,,"Montréal",45.609458286521,-73.523905840666,302935.4,5052173.2
