id_dis,arr_1,arr_2,ID_TRC,id_stt,sens_releve,date_releve,type_dis,configuration,codification,longueur,geometry
1008,Pierrefonds-Roxboro,Sainte-Anne-de-Bellevue,1619035.0,81-03305,O-E,2023-11-16,glissiere,gauche,GSR/W/B,53,"LINESTRING Z (-73.9163865481746 45.44477307830499 24.9568800729911, -73.91583209760616 45.44449738949463 25.1096156517671)"
1009,Pierrefonds-Roxboro,,1619035.0,81-03305,O-E,2023-11-16,glissiere,gauche,GSR/W/B,15,"LINESTRING Z (-73.9164245866731 45.444923650989864 24.6758102764156, -73.9162683496169 45.444841149608884 24.8973077822397)"
1010,Pierrefonds-Roxboro,Sainte-Anne-de-Bellevue,1619035.0,81-03305,O-E,2023-11-16,glissiere,gauche,GSR/W/B,34,"LINESTRING Z (-73.91617952131382 45.44478591872279 25.1592026572849, -73.91581873387572 45.44461569727065 24.7902769579742)"
1011,Pierrefonds-Roxboro,,4006060.0,,E-O,2023-11-16,glissiere,gauche,GR/BC,4,"LINESTRING Z (-73.90059355668478 45.461530268152586 0, -73.900633243628 45.46151520044878 0)"
1012,L'Île-Bizard-Sainte-Geneviève,,4006027.0,,O-E,2023-11-16,glissiere,gauche,GSR/W/BE,69,"LINESTRING Z (-73.9160448337631 45.473475754545305 24.850500000000466, -73.91569424585188 45.47361298308865 25.074573481235365, -73.91543699591826 45.47369850710487 25.226599999994505, -73.91525545682939 45.47374674648686 24.962899999998626)"
1013,Pierrefonds-Roxboro,,1620015.0,,N-S,2023-11-16,glissiere,gauche,GR/BC,6,"LINESTRING Z (-73.86176100792883 45.48163116171325 24.7999871592437, -73.86173002320615 45.48157827142512 24.8041537107403)"
1014,L'Île-Bizard-Sainte-Geneviève,,1619957.0,,N-S,2023-11-16,glissiere,droite,GSR/W/BE,145,"LINESTRING Z (-73.86650522163558 45.48615579966612 26.8119018031215, -73.86529556326109 45.4851718872416 28.2312193698657)"
1015,L'Île-Bizard-Sainte-Geneviève,,4010693.0,,N-S,2023-11-16,glissiere,droite,GSR/W/B,54,"LINESTRING Z (-73.86707936737676 45.486628001415994 27.2866149987998, -73.86663269606915 45.48625906596018 26.9833157708101)"
1017,L'Île-Bizard-Sainte-Geneviève,,4010693.0,,E-O,2023-11-16,glissiere,droite,GR/BC,36,"LINESTRING Z (-73.86588267514509 45.48595978109319 26.3909793102192, -73.86597589705188 45.48599071028869 26.5445103033347, -73.86622761959612 45.48617159337848 26.5495402549797)"
1018,L'Île-Bizard-Sainte-Geneviève,,4010693.0,,S-N,2023-11-16,glissiere,droite,GSR/W/BE,66,"LINESTRING Z (-73.86682474667101 45.48661181778973 27.367899999997462, -73.86622962322521 45.48618545481866 26.572100000004866)"
1019,L'Île-Bizard-Sainte-Geneviève,,4010693.0,,S-N,2023-11-16,glissiere,droite,GR/BC,14,"LINESTRING Z (-73.86682474667101 45.48661181778973 27.367899999997462, -73.86695632817049 45.48670245721714 27.93510000000242)"
1020,L'Île-Bizard-Sainte-Geneviève,,4007281.0,81-03302,N-S,2023-11-16,glissiere,gauche,GSR/T/A,246,"LINESTRING Z (-73.86905255985408 45.48835441722891 0, -73.86706544084437 45.486641259467895 0)"
1023,L'Île-Bizard-Sainte-Geneviève,,4007281.0,81-03302,S-N,2023-11-16,glissiere,droite,GSR/T/A,246,"LINESTRING Z (-73.86695632817049 45.4867024572171 27.9350902421318, -73.86719788127019 45.48691126834643 28.3928003366758, -73.86745683857181 45.48713419677643 28.9526412361312, -73.86770085371612 45.487342727473994 29.2941869150041, -73.86792782464455 45.4875376547547 29.4230970711806, -73.86817039436069 45.48774690862082 29.3153773511159, -73.86841291681716 45.48795637335858 29.0864388003555, -73.86865678492434 45.48816510426268 28.5404336047176, -73.8689004786725 45.48837459820848 27.909413616138, -73.86894829891874 45.48841571283474 27.7571880530566)"
1024,L'Île-Bizard-Sainte-Geneviève,,4007281.0,,N-S,2023-11-16,glissiere,droite,GSR/W/BE,25,"LINESTRING Z (-73.86927844180359 45.4885173285984 27.4773307018628, -73.86907688873637 45.48834183511846 27.3580522396243)"
1026,L'Île-Bizard-Sainte-Geneviève,,4007281.0,,S-N,2023-11-16,glissiere,droite,GR/BC,13,"LINESTRING Z (-73.86894829891874 45.48841571283474 27.7571880530566, -73.86905441402686 45.48850952302082 27.386599999997998)"
