fraction,nom_station,métaux,date,concentration_ng_m3,statut
PST,Station Nomade,Aluminium,1/6/2023,183.0,mesure
PST,Station Nomade,Antimoine,1/6/2023,0.0,<LDR
PST,Station Nomade,Argent,1/6/2023,0.0,<LDR
PST,Station Nomade,Arsenic,1/6/2023,0.0,<LDR
PST,Station Nomade,Baryum,1/6/2023,0.0,<LDR
PST,Station Nomade,Beryllium,1/6/2023,0.0,<LDR
PST,Station Nomade,Cadmium,1/6/2023,1.3,mesure
PST,Station Nomade,Calcium,1/6/2023,1934.8,mesure
PST,Station Nomade,Chrome,1/6/2023,2.7,mesure
PST,Station Nomade,Cobalt,1/6/2023,0.0,<LDR
PST,Station Nomade,Cuivre,1/6/2023,209.2,mesure
PST,Station Nomade,Etain,1/6/2023,0.0,<LDR
PST,Station Nomade,Fer,1/6/2023,719.0,mesure
PST,Station Nomade,Magnesium,1/6/2023,287.6,mesure
PST,Station Nomade,Manganese,1/6/2023,60.8,mesure
PST,Station Nomade,Molybdene,1/6/2023,0.0,<LDR
PST,Station Nomade,Nickel,1/6/2023,3.3,mesure
PST,Station Nomade,Plomb,1/6/2023,9.2,mesure
PST,Station Nomade,Potassium,1/6/2023,0.0,<LDR
PST,Station Nomade,Selenium,1/6/2023,0.0,<LDR
PST,Station Nomade,Sodium,1/6/2023,588.3,mesure
PST,Station Nomade,Thallium,1/6/2023,0.0,<LDR
PST,Station Nomade,Uranium,1/6/2023,0.0,<LDR
PST,Station Nomade,Vanadium,1/6/2023,2.0,mesure
PST,Station Nomade,Zinc,1/6/2023,56.9,mesure
PM10,Station Nomade,Aluminium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Antimoine,1/6/2023,0.0,<LDR
PM10,Station Nomade,Argent,1/6/2023,0.5,mesure
PM10,Station Nomade,Arsenic,1/6/2023,0.0,<LDR
PM10,Station Nomade,Baryum,1/6/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Calcium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Chrome,1/6/2023,1.8,mesure
PM10,Station Nomade,Cobalt,1/6/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,1/6/2023,35.2,mesure
PM10,Station Nomade,Etain,1/6/2023,0.0,<LDR
PM10,Station Nomade,Fer,1/6/2023,346.4,mesure
PM10,Station Nomade,Magnesium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Manganese,1/6/2023,21.7,mesure
PM10,Station Nomade,Molybdene,1/6/2023,0.0,<LDR
PM10,Station Nomade,Nickel,1/6/2023,2.1,mesure
PM10,Station Nomade,Plomb,1/6/2023,6.5,mesure
PM10,Station Nomade,Potassium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Selenium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Sodium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Thallium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Uranium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,1/6/2023,0.0,<LDR
PM10,Station Nomade,Zinc,1/6/2023,42.3,mesure
PST,Station Nomade,Aluminium,1/12/2023,356.6,mesure
PST,Station Nomade,Antimoine,1/12/2023,0.0,<LDR
PST,Station Nomade,Argent,1/12/2023,1.8,mesure
PST,Station Nomade,Arsenic,1/12/2023,0.0,<LDR
PST,Station Nomade,Baryum,1/12/2023,0.0,<LDR
PST,Station Nomade,Beryllium,1/12/2023,0.0,<LDR
PST,Station Nomade,Cadmium,1/12/2023,1.0,mesure
PST,Station Nomade,Calcium,1/12/2023,1142.3,mesure
PST,Station Nomade,Chrome,1/12/2023,2.1,mesure
PST,Station Nomade,Cobalt,1/12/2023,0.0,<LDR
PST,Station Nomade,Cuivre,1/12/2023,20.3,mesure
PST,Station Nomade,Etain,1/12/2023,0.0,<LDR
PST,Station Nomade,Fer,1/12/2023,380.8,mesure
PST,Station Nomade,Magnesium,1/12/2023,399.8,mesure
PST,Station Nomade,Manganese,1/12/2023,10.8,mesure
PST,Station Nomade,Molybdene,1/12/2023,0.0,<LDR
PST,Station Nomade,Nickel,1/12/2023,0.0,<LDR
PST,Station Nomade,Plomb,1/12/2023,2.5,mesure
PST,Station Nomade,Potassium,1/12/2023,0.0,<LDR
PST,Station Nomade,Selenium,1/12/2023,0.0,<LDR
PST,Station Nomade,Sodium,1/12/2023,1269.2,mesure
PST,Station Nomade,Thallium,1/12/2023,0.0,<LDR
PST,Station Nomade,Uranium,1/12/2023,0.0,<LDR
PST,Station Nomade,Vanadium,1/12/2023,0.0,<LDR
PST,Station Nomade,Zinc,1/12/2023,0.0,<LDR
PM10,Station Nomade,Aluminium,1/12/2023,54.0,mesure
PM10,Station Nomade,Antimoine,1/12/2023,0.0,<LDR
PM10,Station Nomade,Argent,1/12/2023,2.1,mesure
PM10,Station Nomade,Arsenic,1/12/2023,0.0,<LDR
PM10,Station Nomade,Baryum,1/12/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Calcium,1/12/2023,364.0,mesure
PM10,Station Nomade,Chrome,1/12/2023,1.1,mesure
PM10,Station Nomade,Cobalt,1/12/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,1/12/2023,15.9,mesure
PM10,Station Nomade,Etain,1/12/2023,0.0,<LDR
PM10,Station Nomade,Fer,1/12/2023,270.0,mesure
PM10,Station Nomade,Magnesium,1/12/2023,17.6,mesure
PM10,Station Nomade,Manganese,1/12/2023,8.2,mesure
PM10,Station Nomade,Molybdene,1/12/2023,0.0,<LDR
PM10,Station Nomade,Nickel,1/12/2023,0.0,<LDR
PM10,Station Nomade,Plomb,1/12/2023,2.5,mesure
PM10,Station Nomade,Potassium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Selenium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Sodium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Thallium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Uranium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Zinc,1/12/2023,0.0,<LDR
PST,Station Nomade,Aluminium,1/18/2023,206.1,mesure
PST,Station Nomade,Antimoine,1/18/2023,0.0,<LDR
PST,Station Nomade,Argent,1/18/2023,0.9,mesure
PST,Station Nomade,Arsenic,1/18/2023,0.0,<LDR
PST,Station Nomade,Baryum,1/18/2023,67.3,mesure
PST,Station Nomade,Beryllium,1/18/2023,0.0,<LDR
PST,Station Nomade,Cadmium,1/18/2023,0.0,<LDR
PST,Station Nomade,Calcium,1/18/2023,1279.4,mesure
PST,Station Nomade,Chrome,1/18/2023,1.8,mesure
PST,Station Nomade,Cobalt,1/18/2023,0.0,<LDR
PST,Station Nomade,Cuivre,1/18/2023,235.7,mesure
PST,Station Nomade,Etain,1/18/2023,8.1,mesure
PST,Station Nomade,Fer,1/18/2023,437.7,mesure
PST,Station Nomade,Magnesium,1/18/2023,148.1,mesure
PST,Station Nomade,Manganese,1/18/2023,9.4,mesure
PST,Station Nomade,Molybdene,1/18/2023,0.0,<LDR
PST,Station Nomade,Nickel,1/18/2023,2.8,mesure
PST,Station Nomade,Plomb,1/18/2023,27.6,mesure
PST,Station Nomade,Potassium,1/18/2023,0.0,<LDR
PST,Station Nomade,Selenium,1/18/2023,0.0,<LDR
PST,Station Nomade,Sodium,1/18/2023,1548.8,mesure
PST,Station Nomade,Thallium,1/18/2023,0.0,<LDR
PST,Station Nomade,Uranium,1/18/2023,0.0,<LDR
PST,Station Nomade,Vanadium,1/18/2023,0.0,<LDR
PST,Station Nomade,Zinc,1/18/2023,62.6,mesure
PM10,Station Nomade,Aluminium,1/18/2023,65.8,mesure
PM10,Station Nomade,Antimoine,1/18/2023,0.0,<LDR
PM10,Station Nomade,Argent,1/18/2023,0.9,mesure
PM10,Station Nomade,Arsenic,1/18/2023,0.0,<LDR
PM10,Station Nomade,Baryum,1/18/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Calcium,1/18/2023,509.1,mesure
PM10,Station Nomade,Chrome,1/18/2023,0.9,mesure
PM10,Station Nomade,Cobalt,1/18/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,1/18/2023,136.6,mesure
PM10,Station Nomade,Etain,1/18/2023,0.0,<LDR
PM10,Station Nomade,Fer,1/18/2023,242.1,mesure
PM10,Station Nomade,Magnesium,1/18/2023,24.8,mesure
PM10,Station Nomade,Manganese,1/18/2023,5.3,mesure
PM10,Station Nomade,Molybdene,1/18/2023,0.0,<LDR
PM10,Station Nomade,Nickel,1/18/2023,1.9,mesure
PM10,Station Nomade,Plomb,1/18/2023,17.4,mesure
PM10,Station Nomade,Potassium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Selenium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Sodium,1/18/2023,434.6,mesure
PM10,Station Nomade,Thallium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Uranium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Zinc,1/18/2023,0.0,<LDR
PST,Station Nomade,Aluminium,1/24/2023,102.5,mesure
PST,Station Nomade,Antimoine,1/24/2023,0.0,<LDR
PST,Station Nomade,Argent,1/24/2023,1.1,mesure
PST,Station Nomade,Arsenic,1/24/2023,4.4,mesure
PST,Station Nomade,Baryum,1/24/2023,168.6,mesure
PST,Station Nomade,Beryllium,1/24/2023,0.0,<LDR
PST,Station Nomade,Cadmium,1/24/2023,0.0,<LDR
PST,Station Nomade,Calcium,1/24/2023,1146.3,mesure
PST,Station Nomade,Chrome,1/24/2023,2.0,mesure
PST,Station Nomade,Cobalt,1/24/2023,0.0,<LDR
PST,Station Nomade,Cuivre,1/24/2023,397.8,mesure
PST,Station Nomade,Etain,1/24/2023,0.0,<LDR
PST,Station Nomade,Fer,1/24/2023,195.5,mesure
PST,Station Nomade,Magnesium,1/24/2023,168.6,mesure
PST,Station Nomade,Manganese,1/24/2023,5.9,mesure
PST,Station Nomade,Molybdene,1/24/2023,0.0,<LDR
PST,Station Nomade,Nickel,1/24/2023,1.4,mesure
PST,Station Nomade,Plomb,1/24/2023,33.0,mesure
PST,Station Nomade,Potassium,1/24/2023,0.0,<LDR
PST,Station Nomade,Selenium,1/24/2023,0.0,<LDR
PST,Station Nomade,Sodium,1/24/2023,944.0,mesure
PST,Station Nomade,Thallium,1/24/2023,0.0,<LDR
PST,Station Nomade,Uranium,1/24/2023,0.0,<LDR
PST,Station Nomade,Vanadium,1/24/2023,0.0,<LDR
