nom_jeu_donnes,frequence,date
"abattage_arbres_publics","At 07:00, on day 1 through 7 and 15 through 21 of the month, only on Monday",""
"actes_criminels","At 20:00","2024-09-26"
"adresses_ponctuelles","At 01:00, only on Monday","2024-09-16"
"anciennes_carrieres_et_depot","At 00:00, on day 1 of the month, every 3 months",""
"arbres_emplacements","At 00:00","2024-09-27"
"arbres_essences","At 07:00, on day 1 through 7 and 15 through 21 of the month, only on Monday",""
"arbres_general","At 07:00","2024-09-26"
"avis_alertes_montreal_ca","At 00:00",""
"bassins_electoraux","Never, external triggers only",""
"bornes_recharge_publiques","At 00:00, on day 1 of the month",""
"calendrier_seances_executif_municipal","At 23:30","2024-09-26"
"casernes","At 00:00, only on Thursday","2024-09-19"
"communiques_de_presse_sur_montreal_ca","At 02:30",""
"comptages_vehicules_cyclistes_pietons","At 00:00, on day 1 of the month",""
"comptages_vehicules_cyclistes_pietons_historique","Never, external triggers only",""
"compteur_eau","At 00:00, only on Thursday","2024-09-19"
"contrats_fonctonnaires","At 00:00, on day 8 of the month","2024-08-08"
"contraventions","At 05:00, only on Wednesday","2024-09-18"
"contrevenants_condamnes_salubrite_securite_logements","At 03:00, on day 1 of the month, only in February, May, August, and November",""
"declarations_exterminations_punaises_lit","At 05:00, on day 1 of the month, only in February, May, August, and November",""
"demandes_citoyennes_requetes_311","At 12:00",""
"demandes_citoyennes_requetes_311_historique","At 12:00",""
"districts_electoraux","Never, external triggers only",""
"ensembles_donnees_ouvertes","At 23:00, only on Wednesday",""
"ententes_achats_accordees_service_approvisionnement","At 19:00, on day 2 of the month",""
"entraves_et_travaux_en_cours_complements","At 07:10",""
"entraves_et_travaux_en_cours","At 07:00",""
"entrees_eau_depistage_plomb","At 08:30",""
"etablissements_alimentaires","At 06:00, only on Monday",""
"evenements_montreal_ca","At 00:00",""
"feux_circulation_pietons","At 02:30, only on Tuesday",""
"feux_circulation_sonors","At 02:15, only on Tuesday",""
"feux_circulation_toutes_intersections","At 02:00, only on Tuesday",""
"fournisseurs","At 11:00, only on Thursday","2024-09-19"
"frequentations_portail_donnees_ouverte","At 17:00, only on Monday",""
"frequentations_portail_donnees_ouverte_ga4","At 17:00",""
"frequentations_site_web_ville","At 00:00, on day 1 of the month",""
"frequentations_site_web_ville_historique","Never, external triggers only",""
"historique_conditions_patinoires","At 00:00",""
"immeubles_terrains_assujettis_droit_preemption","At 03:00, on day 1 of the month",""
"inspections_aliments_contrevenants","At 07:00, only on Monday",""
"inspections_des_aliments_et_contrevenants","At 06:45, only on Monday",""
"inspections_preventive_salubrite_service_habitation","At 03:10, only on Wednesday",""
"interventions_service_incendie_montreal","At 03:00",""
"interventions_service_incendie_montreal_hist","At 06:15, on day 1 of the month, only in January",""
"inventaire_batiments_municipaux","At 00:00, on day 1 of the month",""
"jardins_communautaires","At 00:00, on day 1 of the month",""
"lieux_batiment_publique_accessibilite_universelle","At 00:25",""
"lieux_climatises","At 00:00",""
"lieux_publics_repertories","At 02:30","2024-09-27"
"limites_administratives_agglomeration","At 00:00, on day 1 of the month",""
"limites_administratives_agglomeration_montreal","At 00:00, on day 1 of the month",""
"liste_jeux_donnees_automatises","At 02:30",""
"liste_logiciels_libres","At 00:00, on day 1 of the month",""
"milieux_humides","At 00:00, on day 1 of the month",""
"mtlwifi","At 00:00",""
"murales_subventionnes","At 00:00, only on Sunday","2024-09-15"
"nombre_telechargement_jeux_donnes","At 17:00","2024-09-26"
"offres_emploi_et_postulation","At 17:00, only on Monday",""
"operations_chargement_neige","At 00:00, on day 15 of the month, only in May",""
"operations_chargement_neige_historique","Never, external triggers only",""
"ordre_travail_signalisation_routiere","At 00:00",""
"parcours_riverains","At 00:00, only on Sunday","2024-09-15"
"permis_animaliers","At 03:00","2024-04-08"
"permis_construction","At 06:00, only on Thursday","2024-09-19"
"permis_enseigne_commerciale","At 00:00, only on Sunday",""
"permis_installation_septique","At 00:00, only on Sunday",""
"permis_lotissement","At 00:00, only on Sunday",""
"permis_occupation_commerciale","At 00:00, only on Sunday",""
"permis_travaux_eau","At 20:00","2024-04-07"
"programmation_sports_et_loisirs_disponible","At 00:00",""
"programmation_sports_et_loisirs_disponible_historique","Never, external triggers only",""
"programmes_montreal_ca","At 00:00",""
"reglement_metropole_mixte","At 00:00, only on Sunday",""
"reglements_municipaux","At 00:00",""
"remorquages_de_vehicules_entravant_operations","At 10:30 and 23:30",""
"reseau_cyclable","At 00:00, on day 1 of the month",""
"rsma_indicateur_qualo","At 21:00, only on Friday",""
"rsma_indicateur_qualo_historique","At 21:00, only on Friday",""
"rsma_ruisso","At 21:00, only on Friday",""
"rsma_ruisso_historique","At 21:00, only on Friday",""
"rsqa_application","At 45 minutes past the hour, at 00:00 through 04:59 and 07:00 through 23:59",""
"rsqa_indice_qualite_air","At 45 minutes past the hour",""
"rsqa_indice_qualite_air_historique","At 05:00",""
"ruelles_vertes","At 00:00, on day 1 of the month, only in April","2023-04-01"
"secteurs_info_collectes","At 06:30, only on Monday",""
"sections_de_vote","Never, external triggers only",""
"signalec","At 00:00","2024-09-27"
"signalements_de_coyotes","At 05:00",""
"sit_neige","At 06:15, only on Monday",""
"solutions_logiciels_libres","At 00:00, only on Sunday",""
"taxi_postes_attentes","At 06:00, only on Wednesday",""
"toponymes","At 02:30",""
"toponymes_elles","At 02:30",""
"unite_evaluation_fonciere","At 05:45, only on Wednesday",""
"videodiffusion_seances_instances_politiques","At 00:00, only on Monday",""
"vignettes_stationnement","At 00:00, only on Thursday","2024-09-19"
