Id_carriere,Type,Localisation_precision,Superficie
10,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
11,"Carrière","Délimitation polygonale approximative","98866"
14,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
15,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
16,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
17,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
18,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
19,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
20,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
21,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
21,"Carrière","Délimitation polygonale approximative","66663"
22,"Carrière","Délimitation polygonale approximative","4999"
23,"Carrière","Délimitation polygonale approximative","5729"
24,"Carrière","Délimitation polygonale approximative","567"
24,"Carrière","Délimitation polygonale approximative","1553"
25,"Carrière","Délimitation polygonale approximative","8841"
26,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
27,"Carrière","Délimitation polygonale approximative","154806"
27,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
27,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
28,"Carrière","Délimitation polygonale approximative","62548"
29,"Carrière","Délimitation polygonale approximative","50204"
30,"Carrière","Délimitation polygonale approximative","91182"
31,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
32,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
33,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
34,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
36,"Carrière","Délimitation polygonale approximative","22268"
36,"Carrière","Délimitation polygonale approximative","31744"
37,"Carrière","Délimitation polygonale approximative","9324"
38,"Carrière","Délimitation polygonale approximative","10764"
39,"Carrière","Délimitation polygonale approximative","11010"
40,"Carrière","Délimitation polygonale approximative","24868"
41,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
42,"Carrière","Délimitation polygonale approximative","22913"
43,"Carrière","Délimitation polygonale approximative","14481"
43,"Carrière","Délimitation polygonale approximative","17577"
44,"Carrière","Délimitation polygonale approximative","20736"
45,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
46,"Carrière","Localisation indéterminée - élément ponctuel approximatf",""
47,"Carrière","Délimitation polygonale approximative","55379"
48,"Carrière","Délimitation polygonale approximative","26958"
49,"Carrière","Délimitation polygonale approximative","717327"
51,"Carrière","Délimitation polygonale approximative","65026"
52,"Carrière","Délimitation polygonale approximative","2795"
