"Concentration en métaux et métalloïdes des plantes prélevées dans le fleuve avant, pendant et après le déversement d'eaux usées résultant des travaux réalisés sur l'intercepteur sud-est",,,,,,,,,,,,,,,,,,,
Nom,Latitude,Longitude,Date,Al (mg/L),Ag (mg/L),As (mg/L),Ba (mg/L),Cd (mg/L),Cr (mg/L),Co (mg/L),Cu (mg/L),Sn (mg/L),Fe (mg/L),Mn (mg/L),Hg (mg/L),Ni (mg/L),Pb (mg/L),Se (mg/L),Zn (mg/L)
S-01,46.0519,-73.1625,2015-11-10,5590,< 0.5,2,85,1,17,< 10,22,< 5,9720,1550,0,14,< 10,<0.8,69
S-01,46.0519,-73.1625,2015-11-13,4590,<0.5,2,107,1,14,<10,22,<5,7380,2170,<0.051,12,<10,<0.8,64
S-01,46.0519,-73.1625,2015-11-24,5200,<0.5,<1.5,109,1,15,<10,25,<5,8070,1800,<0.051,13,<10,<0.8,75
S-02,46.0903,-73.0724,2015-11-10,5030,< 0.5,2,100,1,15,< 10,< 20,< 5,8120,1190,< 0.051,14,< 10,1,57
S-02,46.0903,-73.0724,2015-11-13,2410,<0.5,<1.5,115,1,<10,<10,<20,<5,4510,1130,<0.051,10,<10,<0.8,54
S-02,46.0903,-73.0724,2015-11-24,6970,<0.5,3,140,1,21,11,23,<5,11600,1930,0,20,<10,1,82
S-03,46.0838,-73.0616,2015-11-10,6300,< 0.5,3,66,1,19,< 10,24,< 5,10400,696,< 0.051,15,< 10,1,82
S-03,46.0838,-73.0616,2015-11-13,4030,<0.5,2,62,1,12,<10,<20,<5,7640,676,0,11,<10,1,59
S-03,46.0838,-73.0616,2015-11-24,4070,<0.5,2,62,1,14,<10,<20,<5,6980,842,0,12,<10,2,74
S-04,46.1144,-73.0386,2015-11-10,7880,< 0.5,3,79,1,27,< 10,32,< 5,14800,910,0,20,< 10,1,91
S-04,46.1144,-73.0386,2015-11-13,4550,<0.5,<1.5,101,1,14,<10,21,<5,7780,1560,0,15,<10,<0.8,66
S-04,46.1144,-73.0386,2015-11-24,3140,<0.5,<1.5,84,1,<10,<10,<20,<5,5510,1160,0,10,<10,<0.8,66
S-05,46.1061,-73.0343,2015-11-10,8720,< 0.5,4,126,1,26,15,29,< 5,13500,2610,0,26,< 10,2,117
S-05,46.1061,-73.0343,2015-11-13,4010,<0.5,<1.5,76,1,13,<10,<20,<5,6620,506,0,11,<10,<0.8,58
S-05,46.1061,-73.0343,2015-11-24,4570,<0.5,3,64,1,15,<10,<20,<5,8010,667,0,13,<10,2,73
S-06,46.1108,-72.9951,2015-11-10,10900,< 0.5,4,112,1,32,12,26,< 5,16500,974,0,23,< 10,2,107
S-06,46.1108,-72.9951,2015-11-13,6610,<0.5,3,92,1,21,<10,<20,<5,10700,1020,0,15,<10,<0.8,80
S-06,46.1108,-72.9951,2015-11-24,6570,<0.5,3,83,1,21,<10,<20,<5,10300,1110,0,16,<10,2,76
S-07,46.1271,-72.9905,2015-11-10,6300,< 0.5,3,68,1,20,< 10,22,< 5,10400,732,0,15,< 10,1,88
S-07,46.1271,-72.9905,2015-11-13,5410,<0.5,2,64,1,18,<10,20,<5,9130,812,0,14,<10,1,68
S-07,46.1271,-72.9905,2015-11-24,5600,<0.5,2,62,1,18,<10,<20,<5,9330,851,0,14,<10,1,76
S-08,46.1458,-72.9797,2015-11-10,2040,< 0.5,2,57,0,< 10,< 10,< 20,< 5,3560,1580,< 0.051,6,< 10,1,44
S-08,46.1458,-72.9797,2015-11-13,1390,<0.5,2,48,<0.3,<10,<10,<20,<5,2860,1240,<0.051,<5,<10,1,29
S-08,46.1458,-72.9797,2015-11-24,2730,<0.5,2,69,0,<10,<10,<20,<5,5110,1860,<0.051,8,<10,1,42
S-09,46.123,-73.0759,2015-11-10,5080,< 0.5,2,183,1,15,< 10,< 20,< 5,9230,4620,< 0.051,14,< 10,<0.8,69
S-09,46.123,-73.0759,2015-11-13,5040,<0.5,2,137,1,15,<10,<20,<5,8340,2610,0,12,<10,<0.8,62
S-09,46.123,-73.0759,2015-11-24,9560,1,3,100,1,28,<10,31,<5,16200,919,0,21,12,4,90
S-10,46.1359,-73.0465,2015-11-10,6490,< 0.5,2,78,1,23,< 10,22,< 5,10500,1080,0,17,< 10,1,82
S-10,46.1359,-73.0465,2015-11-13,7290,<0.5,2,85,1,23,10,24,<5,12500,1290,0,18,<10,1,80
S-10,46.1359,-73.0465,2015-11-24,13000,1,3,149,1,38,13,33,<5,20800,1090,0,29,15,1,114
