no_civiq,Rue,Rue_De,Rue_A,Nom_parc,Sigle,Nom_arrond,Invent,Coord_X,Coord_Y,Injections,Longitude,Latitude
9451,"Foucher, rue","Chabanel Est, rue","Louvain Est, rue de",,FRAMKL,Ahuntsic-Cartierville,R,293090.719,5045715.5,2017,-73.6499665,45.55125398
1475,"Prieur Est, rue","Olympia, boulevard","Hamel, avenue",,FRPE,Ahuntsic-Cartierville,R,292325.8971,5047059.656,2017,-73.65979619,45.56333583
9905,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,292839.265,5046594,2017,-73.65320847,45.55915472
9345,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293251.938,5045722.5,2017,-73.64790186,45.55131966
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRAM,Ahuntsic-Cartierville,R,293285.9382,5047970.9549,2017,-73.64751935,45.57155251
9905,"Papineau, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293163.532,5047406.449,2017,-73.64907419,45.56647088
9131,"Basile-Routhier, rue","Legendre Est, rue","Chabanel Est, rue",,FRPE,Ahuntsic-Cartierville,R,293449.031,5045493,2017,-73.64537228,45.54925778
9147,"Basile-Routhier, rue","Legendre Est, rue","Chabanel Est, rue",,FRPE,Ahuntsic-Cartierville,R,293438.25,5045497,2017,-73.64551044,45.5492936
9342,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",Limite,,FRAM,Ahuntsic-Cartierville,R,293365.125,5046119,2017,-73.64646149,45.55488936
1405,"Louvain Est, rue de","Antoine-Déat, rue","André-Grasset, avenue",,FRPE,Ahuntsic-Cartierville,R,293533.373,5046872.5,2017,-73.64432388,45.56167233
9362,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",Limite,,FRAM,Ahuntsic-Cartierville,R,293337.156,5046121.5,2017,-73.64681979,45.5549114
1475,"Prieur Est, rue","Olympia, boulevard","Hamel, avenue",,FRPE,Ahuntsic-Cartierville,R,292321.0358,5047046.9268,2017,-73.65985814,45.5632212
1490,"Prieur Est, rue","Olympia, boulevard","Hamel, avenue",,FRPE,Ahuntsic-Cartierville,R,292343.0269,5047055.2557,2017,-73.65957665,45.56329654
1480,"Prieur Est, rue","Olympia, boulevard","Hamel, avenue",,FRPE,Ahuntsic-Cartierville,R,292337.167,5047042.917,2017,-73.6596514,45.56318541
10635,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,293018.282,5048885,2017,-73.65097061,45.57977287
10375,"Taché, rue","Taché, place","Taché, place",,FRPE,Ahuntsic-Cartierville,R,292571.221,5047273,2017,-73.65665888,45.56525992
10335,"Taché, rue","Fleury Est, rue","Taché, place",,FRPE,Ahuntsic-Cartierville,R,292615.0856,5047247.4537,2017,-73.65609632,45.56503081
10345,"Taché, rue","Fleury Est, rue","Taché, place",,FRPE,Ahuntsic-Cartierville,R,292603.34,5047254.5,2017,-73.65624696,45.56509401
10415,"Saint-Hubert, rue","Fleury Est, rue","Prieur Est, rue",,FRPEPA,Ahuntsic-Cartierville,R,292155.109,5046346,2017,-73.66196557,45.55691105
