"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-(-1)P",21/06/2017 09:59,"102,4","9,63",281,,"18,3","<",100,-1,"0,1",204,"0,7",23,"0,1",30200,"0,1","0,1",3,"0,7","1,4",275,1420,7470,"12,4",1,12500,20,"0,9",16,"0,3","8,4","0,5","0,5","1,0","0,3","0,2","7,0"
"EMIS-(-1)P",14/08/2017 09:39,"98,9","8,57",295,"8,21","22,39","<",10,-1,"0,1",74,"0,8",21,"0,1",31500,"0,1","0,1","2,8","0,4",1,97,1500,8250,"5,9",1,13100,20,"0,6",10,"0,2","2,3","0,5","0,5","1,0","0,3","0,3","7,0"
"EMIS-(-1)P",30/08/2017 10:10,103,"9,06",273,"8,39","21,69","=",7,1,"0,1",93,"0,8",22,"0,1",30000,"0,1","0,1","3,1","0,5","1,7",116,1460,8080,"7,3",1,12700,20,"0,7",13,"0,2","4,4","0,5","0,5","1,0","0,3","0,4","7,0"
"EMIS-(-1)P",06/09/2017 09:43,"98,3","8,99",284,"8,28","19,68","=",11,-1,"0,1",86,"0,8",24,"0,1",32700,"0,1","0,1","2,6","0,5","1,1",119,1600,8630,"7,1",1,12700,20,"0,6",11,"0,2","4,6","0,5","0,5","1,0","0,4","0,3","7,0"
"EMIS-(-1)P",13/09/2017 09:54,"101,4","9,35",275,"8,28","19,28","=",2,1,"0,1",83,"0,8",23,"0,1",31900,"0,1","0,1","3,1","0,3","1,2",118,1560,8270,"6,9",1,12100,20,1,10,"0,2",3,"0,5","0,5","1,0","0,3","0,4","7,0"
"EMIS-(-1)P",25/09/2017 09:28,"101,5","8,91",285,"8,28","21,72","=",8,1,"0,1",55,"0,8",23,"0,1",33600,"0,1","0,1","2,6","0,7",1,82,1650,8810,6,1,12900,20,"0,6",9,"0,2","2,1","0,5","0,5","1,0","0,4","0,3","7,0"
"EMIS-(-1)P",02/10/2017 10:08,"98,1","9,2",291,"8,23","18,4","=",7,1,"0,1",71,"0,9",25,"0,1",35000,"0,1","0,1","2,6","0,7","0,9",97,1670,9280,"7,3",1,13300,20,"0,6",9,"0,2","2,7","0,5","0,5","1,0","0,4","0,4","7,0"
"EMIS-(-1)RS",21/06/2017 10:02,"103,1","9,75",294,,"18,03","<",100,-1,"0,1",114,"0,8",23,"0,1",32700,"0,1","0,1","2,8","0,5","1,2",157,1490,8090,"7,4",1,13600,20,"0,7",10,"0,2","5,3","0,5","0,5","1,0","0,3","0,3","7,0"
"EMIS-(-1)RS",14/08/2017 09:34,"97,2","8,46",297,"8,18","22,23","=",210,-1,"0,1",68,"0,8",21,"0,1",30200,"0,1","0,1","2,7","0,3","0,9",87,1420,7860,"4,8",1,12400,20,"0,6",11,"0,2","2,5","0,5","0,5","1,0","0,3","0,3","7,0"
"EMIS-(-1)RS",30/08/2017 10:06,"102,8","9,05",299,"8,36","21,63","=",72,1,"0,1",81,"0,9",23,"0,1",32200,"0,1","0,1","2,7","0,4",1,98,1550,8770,"5,6","1,1",13500,20,"0,7",13,"0,3","3,7","0,5","0,5","1,0","0,3","0,2","7,0"
