"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","Tl ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-16T-MS51",2011-11-02 14:30,,,338,"7,8","10,0","=",14000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-16T-MS51-1",2011-11-02 14:26,,,262,"8,6","9,8","=",380,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-16T-MS51-2",2011-11-02 14:41,106,"11,9",295,"7,9","10,1","=",180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-26T-1",2011-11-02 15:24,99,"11,5",134,"7,8","8,8","=",2500,1,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,
"EMIS-26T-10",2011-11-02 15:11,99,"11,1",292,"8,8","10,1","=",1600,1,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,
"EMIS-26T-2",2011-11-02 15:23,99,"11,5",132,"7,9","8,8","=",2000,1,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,
"EMIS-26T-3",2011-11-02 15:21,99,"11,4",148,"8,0","9,1","=",1100,1,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,
"EMIS-26T-4",2011-11-02 15:20,99,"11,3",217,"8,0","9,6","=",600,1,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,
"EMIS-26T-5",2011-11-02 15:18,99,"11,6",262,"8,0","9,8","=",1400,1,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,
"EMIS-26T-6",2011-11-02 15:17,98,"11,1",282,"7,9","10,0","=",10000,1,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,
"EMIS-26T-7",2011-11-02 15:15,99,"11,1",291,"7,9","10,1","=",9100,1,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,
"EMIS-26T-8",2011-11-02 15:14,99,"11,1",294,"8,0","10,1","=",17000,1,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,
"EMIS-26T-9",2011-11-02 15:13,98,"11,1",293,"8,1","10,1","=",3900,1,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,
"EMIS-36T-1",2011-11-02 16:10,97,"11,2",138,"7,9","8,9","=",1900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-10",2011-11-02 16:24,99,"11,1",295,"8,1","10,1","=",270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-11",2011-11-02 16:25,99,"11,1",298,"8,1","10,2","<",100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-12",2011-11-02 16:28,99,"11,1",296,"8,2","10,3","=",270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-2",2011-11-02 16:07,99,"11,3",168,"7,8","9,4","=",530,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-3",2011-11-02 16:08,99,"11,2",253,"7,7","9,9","=",2600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-4",2011-11-02 16:12,99,"11,1",274,"7,9","10,0","=",3200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-5",2011-11-02 16:14,99,"11,1",284,"7,9","10,1","=",560,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-6",2011-11-02 16:16,98,"11,1",289,"7,9","10,1","=",12000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-7",2011-11-02 16:18,98,"11,0",295,"8,0","10,1","=",22000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-8",2011-11-02 16:20,98,"11,0",297,"8,0","10,2","=",16000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-9",2011-11-02 16:22,99,"11,1",294,"8,2","10,3","=",4500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40T-1",2011-11-02 16:52,99,"11,2",249,"8,0","9,8","=",6300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40T-3",2011-11-02 16:50,99,"11,2",298,"8,1","10,1","<",1000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M130",2011-11-02 09:53,101,"11,4",325,"8,2","10,0","<",100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
