"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","Tl ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-(-1)RS",2014-05-12 09:39,106,"12,1",266,"8,1","9,5","=",180,-2,,,,,,,,,,,,,,,,,,20,,14,,,,,,,,,
"EMIS-(-1)RS",2014-05-14 09:57,101,"11,5",267,"8,1","10,0","<",100,1,,,,,,,,,,,,,,,,,,20,,11,,,,,,,,,
"EMIS-(-1)RS",2014-05-21 10:02,103,"11,2",259,"8,0","12,1","<",100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-0P",2014-09-16 09:00,,,,,,"=",390000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-0P",2014-09-16 09:00,,,,,,"=",500000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-0P",2014-09-24 16:24,63,"5,9",543,"7,4","18,5","=",480000,-1,,,,,,,,,,,,,,,,,,4330,,,,,,,,,,,
"EMIS-0P",2014-10-21 17:28,67,"6,7",483,"7,4","15,3","=",440000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-26P",2014-10-01 10:23,100,"9,5",268,"8,4","17,5","=",28000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-26P",2014-10-28 10:05,100,"10,9",230,"8,1","11,6","=",20000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-1",2014-05-12 13:30,104,"11,3",122,"7,8","12,0","=",630,-2,,,,,,,,,,,,,,,,,,52,,46,,,,,,,,,
"EMIS-36T-1",2014-05-14 13:11,99,"10,6",117,"7,8","12,2","<",100,1,,,,,,,,,,,,,,,,,,60,,45,,,,,,,,,
"EMIS-36T-1",2014-05-21 13:02,99,"10,1",104,"7,8","14,6","=",450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-10",2014-05-12 13:59,110,"12,2",236,"7,9","10,6","=",2300,-2,,,,,,,,,,,,,,,,,,35,,19,,,,,,,,,
"EMIS-36T-10",2014-05-14 13:37,102,"11,4",244,"7,9","10,7","=",1700,1,,,,,,,,,,,,,,,,,,46,,19,,,,,,,,,
"EMIS-36T-10",2014-05-21 13:29,105,"11,0",229,"7,8","13,3","=",2700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-11",2014-05-12 14:02,107,"12,2",241,"8,0","10,5","=",1400,-2,,,,,,,,,,,,,,,,,,24,,17,,,,,,,,,
"EMIS-36T-11",2014-05-14 13:39,103,"11,5",248,"8,0","10,6","=",990,1,,,,,,,,,,,,,,,,,,30,,15,,,,,,,,,
"EMIS-36T-11",2014-05-21 13:31,105,"11,0",234,"7,9","13,1","=",2200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-12",2014-05-12 14:06,105,"11,8",246,"8,1","10,5","=",630,-2,,,,,,,,,,,,,,,,,,20,,16,,,,,,,,,
"EMIS-36T-12",2014-05-14 13:41,102,"11,4",251,"8,0","10,6","=",450,1,,,,,,,,,,,,,,,,,,23,,16,,,,,,,,,
"EMIS-36T-12",2014-05-21 13:33,106,"11,1",238,"7,9","13,1","=",1400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-13",2014-05-12 14:10,106,"11,8",247,"8,0","10,8","=",360,-2,,,,,,,,,,,,,,,,,,20,,15,,,,,,,,,
"EMIS-36T-13",2014-05-14 13:45,105,"11,7",251,"8,1","10,8","=",720,1,,,,,,,,,,,,,,,,,,25,,15,,,,,,,,,
"EMIS-36T-13",2014-05-21 09:00,105,"11,1",237,"7,9","13,3","=",1700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-15",2014-05-12 14:14,109,"12,4",249,"8,1","10,5","=",810,-2,,,,,,,,,,,,,,,,,,20,,18,,,,,,,,,
