numero_station,nom station,polluant,date,concentration ug/m3,statut
3,Saint-Jean-Baptiste,2_Methyl_4_Pentanone (MIBK),2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,25_MeBenzaldehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,Acetaldehyde,2016-01-01,0.66,mesure
3,Saint-Jean-Baptiste,Acetone,2016-01-01,1.34,mesure
3,Saint-Jean-Baptiste,Acroleine,2016-01-01,0.06,mesure
3,Saint-Jean-Baptiste,Benzaldehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,Butanone,2016-01-01,0.28,mesure
3,Saint-Jean-Baptiste,Butyraldehyde,2016-01-01,0.07,mesure
3,Saint-Jean-Baptiste,Crotonaldehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,Formaldehyde,2016-01-01,0.76,mesure
3,Saint-Jean-Baptiste,Hexanaldehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,Isovaleraldehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,m_Tolualdehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,o_Tolualdehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,p_Tolualdehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,Propionaldehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,Valeraldehyde,2016-01-01,0.04,mesure
66,Aéroport de Montréal,2_Methyl_4_Pentanone (MIBK),2016-01-01,0,<LDR
66,Aéroport de Montréal,25_MeBenzaldehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,Acetaldehyde,2016-01-01,1.61,mesure
66,Aéroport de Montréal,Acetone,2016-01-01,1.26,mesure
66,Aéroport de Montréal,Acroleine,2016-01-01,0.18,mesure
66,Aéroport de Montréal,Benzaldehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,Butanone,2016-01-01,0.26,mesure
66,Aéroport de Montréal,Butyraldehyde,2016-01-01,0.09,mesure
66,Aéroport de Montréal,Crotonaldehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,Formaldehyde,2016-01-01,1.94,mesure
66,Aéroport de Montréal,Hexanaldehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,Isovaleraldehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,m_Tolualdehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,o_Tolualdehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,p_Tolualdehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,Propionaldehyde,2016-01-01,0,<LDR
66,Aéroport de Montréal,Valeraldehyde,2016-01-01,0.05,mesure
99,Sainte-Anne-de-Bellevue,2_Methyl_4_Pentanone (MIBK),2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,25_MeBenzaldehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,Acetaldehyde,2016-01-01,0.27,mesure
99,Sainte-Anne-de-Bellevue,Acetone,2016-01-01,1.12,mesure
99,Sainte-Anne-de-Bellevue,Acroleine,2016-01-01,0.02,mesure
99,Sainte-Anne-de-Bellevue,Benzaldehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,Butanone,2016-01-01,0.25,mesure
99,Sainte-Anne-de-Bellevue,Butyraldehyde,2016-01-01,0.04,mesure
99,Sainte-Anne-de-Bellevue,Crotonaldehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,Formaldehyde,2016-01-01,0.32,mesure
99,Sainte-Anne-de-Bellevue,Hexanaldehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,Isovaleraldehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,m_Tolualdehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,o_Tolualdehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,p_Tolualdehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,Propionaldehyde,2016-01-01,0,<LDR
99,Sainte-Anne-de-Bellevue,Valeraldehyde,2016-01-01,0,<LDR
3,Saint-Jean-Baptiste,2_Methyl_4_Pentanone (MIBK),2016-01-07,0,<LDR
3,Saint-Jean-Baptiste,25_MeBenzaldehyde,2016-01-07,0,<LDR
3,Saint-Jean-Baptiste,Acetaldehyde,2016-01-07,2.51,mesure
3,Saint-Jean-Baptiste,Acetone,2016-01-07,4.4,mesure
3,Saint-Jean-Baptiste,Acroleine,2016-01-07,0.31,mesure
3,Saint-Jean-Baptiste,Benzaldehyde,2016-01-07,0,<LDR
3,Saint-Jean-Baptiste,Butanone,2016-01-07,0.92,mesure
3,Saint-Jean-Baptiste,Butyraldehyde,2016-01-07,0.18,mesure
3,Saint-Jean-Baptiste,Crotonaldehyde,2016-01-07,0,<LDR
3,Saint-Jean-Baptiste,Formaldehyde,2016-01-07,2.83,mesure
3,Saint-Jean-Baptiste,Hexanaldehyde,2016-01-07,0.14,mesure
3,Saint-Jean-Baptiste,Isovaleraldehyde,2016-01-07,0,<LDR
3,Saint-Jean-Baptiste,m_Tolualdehyde,2016-01-07,0,<LDR
3,Saint-Jean-Baptiste,o_Tolualdehyde,2016-01-07,0,<LDR
3,Saint-Jean-Baptiste,p_Tolualdehyde,2016-01-07,0,<LDR
3,Saint-Jean-Baptiste,Propionaldehyde,2016-01-07,0.37,mesure
3,Saint-Jean-Baptiste,Valeraldehyde,2016-01-07,0.08,mesure
66,Aéroport de Montréal,2_Methyl_4_Pentanone (MIBK),2016-01-07,0,<LDR
66,Aéroport de Montréal,25_MeBenzaldehyde,2016-01-07,0,<LDR
66,Aéroport de Montréal,Acetaldehyde,2016-01-07,3.01,mesure
66,Aéroport de Montréal,Acetone,2016-01-07,4.29,mesure
66,Aéroport de Montréal,Acroleine,2016-01-07,0.37,mesure
66,Aéroport de Montréal,Benzaldehyde,2016-01-07,0,<LDR
66,Aéroport de Montréal,Butanone,2016-01-07,1.14,mesure
66,Aéroport de Montréal,Butyraldehyde,2016-01-07,0.2,mesure
66,Aéroport de Montréal,Crotonaldehyde,2016-01-07,0,<LDR
66,Aéroport de Montréal,Formaldehyde,2016-01-07,3.61,mesure
66,Aéroport de Montréal,Hexanaldehyde,2016-01-07,0.17,mesure
