Poste,3,7,17,28,31,50,55,66,80,99,103,Smog
Date,,,,,,,,,,,,
2016-01-06,,,x,,PM2_5 Non mesuré,,x,,,,PM2_5 Non mesuré,non
2016-01-07,x,x,x,x,PM2_5 Non mesuré,x,x,x,,,PM2_5 Non mesuré,oui
2016-01-08,x,x,x,x,PM2_5 Non mesuré,x,,x,,x,PM2_5 Non mesuré,oui
2016-01-14,x,,x,x,PM2_5 Non mesuré,,x,x,,,PM2_5 Non mesuré,oui
2016-01-15,x,,x,x,PM2_5 Non mesuré,,x,x,,x,PM2_5 Non mesuré,oui
2016-01-24,,,,x,PM2_5 Non mesuré,,,x,,,PM2_5 Non mesuré,non
2016-01-26,,,,,PM2_5 Non mesuré,,,,x,,PM2_5 Non mesuré,non
2016-01-29,,,,x,,,,,,,PM2_5 Non mesuré,non
2016-02-22,x,,,,,,x,,,,PM2_5 Non mesuré,non
2016-02-23,x,,,,,,,,,,PM2_5 Non mesuré,non
2016-03-03,,,,,,,x,,,,PM2_5 Non mesuré,non
2016-03-04,x,,x,x,,,x,,,x,PM2_5 Non mesuré,oui
2016-03-05,,,,x,,x,,,,x,PM2_5 Non mesuré,oui
2016-03-09,,,,x,,,,,,,PM2_5 Non mesuré,non
2016-03-17,,,,,,x,,,,,PM2_5 Non mesuré,non
2016-04-16,,,,,x,,,,,,PM2_5 Non mesuré,non
2016-05-24,,x,,x,x,x,OZONE,,x,,PM2_5 Non mesuré,oui
2016-06-15,,,x,,,,,,,,x,non
2016-06-16,,,,,,,,,,,x,non
2016-06-17,,,,,,,,,,,x,non
2016-06-24,x,,,,,,,,,,,non
2016-10-05,,,x,,,,,,,,,non
2016-11-14,,,x,,,,,,,,,non
2016-11-18,,x,x,x,x,x,,x,,x,x,oui
2016-11-19,,,,,,x,,,,,,non
2016-11-23,,,,,x,,,,,,,non
2016-11-25,,,,,,x,,,,,,non
2016-11-26,,,,,,x,,,,,,non
2016-12-20,,,,,,,,,,x,,non
