secteur,valeur,date,heure
"Centre-ville",19,"2025-01-23",7
"Est",18,"2025-01-23",7
"Nord",14,"2025-01-23",7
"Ouest",15,"2025-01-23",7
"Centre-ville",19,"2025-01-23",1
"Est",25,"2025-01-23",1
"Nord",18,"2025-01-23",1
"Ouest",18,"2025-01-23",1
"Est",20,"2025-01-23",16
"Nord",18,"2025-01-23",16
"Ouest",23,"2025-01-23",16
"Centre-ville",19,"2025-01-23",6
"Est",20,"2025-01-23",6
"Nord",17,"2025-01-23",6
"Ouest",18,"2025-01-23",6
"Centre-ville",18,"2025-01-23",0
"Est",28,"2025-01-23",0
"Nord",20,"2025-01-23",0
"Ouest",18,"2025-01-23",0
"Centre-ville",21,"2025-01-23",15
"Est",20,"2025-01-23",15
"Nord",19,"2025-01-23",15
"Ouest",23,"2025-01-23",15
"Centre-ville",17,"2025-01-23",10
"Centre-ville",20,"2025-01-23",5
"Est",17,"2025-01-23",5
"Nord",17,"2025-01-23",5
"Ouest",19,"2025-01-23",5
"Est",15,"2025-01-23",10
"Nord",14,"2025-01-23",10
"Ouest",19,"2025-01-23",10
"Centre-ville",21,"2025-01-23",16
"Centre-ville",16,"2025-01-23",9
"Est",15,"2025-01-23",9
"Nord",13,"2025-01-23",9
"Ouest",15,"2025-01-23",9
"Centre-ville",21,"2025-01-23",14
"Est",21,"2025-01-23",14
"Nord",20,"2025-01-23",14
"Ouest",24,"2025-01-23",14
"Centre-ville",21,"2025-01-23",13
"Est",19,"2025-01-23",13
"Nord",19,"2025-01-23",13
"Ouest",24,"2025-01-23",13
"Nord",16,"2025-01-23",4
"Ouest",19,"2025-01-23",4
"Centre-ville",18,"2025-01-23",11
"Est",17,"2025-01-23",11
"Nord",15,"2025-01-23",11
"Ouest",21,"2025-01-23",11
"Centre-ville",16,"2025-01-23",8
"Est",13,"2025-01-23",8
"Nord",12,"2025-01-23",8
"Ouest",11,"2025-01-23",8
"Centre-ville",20,"2025-01-23",12
"Est",18,"2025-01-23",12
"Nord",16,"2025-01-23",12
"Ouest",22,"2025-01-23",12
"Centre-ville",19,"2025-01-23",3
"Est",20,"2025-01-23",3
"Nord",15,"2025-01-23",3
"Ouest",16,"2025-01-23",3
"Centre-ville",18,"2025-01-23",2
"Est",21,"2025-01-23",2
"Nord",16,"2025-01-23",2
"Ouest",17,"2025-01-23",2
"Centre-ville",19,"2025-01-23",4
"Est",19,"2025-01-23",4
