stationId,polluant,valeur,date,heure
6,"NO2",3,"2025-01-23",15
6,"PM",12,"2025-01-23",15
17,"O3",19,"2025-01-23",15
17,"NO2",3,"2025-01-23",15
17,"PM",11,"2025-01-23",15
28,"CO",1,"2025-01-23",15
28,"O3",15,"2025-01-23",15
28,"PM",12,"2025-01-23",15
31,"SO2",1,"2025-01-23",15
31,"CO",1,"2025-01-23",15
31,"O3",17,"2025-01-23",15
31,"NO2",4,"2025-01-23",15
31,"PM",12,"2025-01-23",15
50,"PM",10,"2025-01-23",15
55,"O3",20,"2025-01-23",15
55,"NO2",2,"2025-01-23",15
55,"PM",9,"2025-01-23",15
66,"O3",21,"2025-01-23",15
66,"NO2",2,"2025-01-23",15
80,"SO2",1,"2025-01-23",15
80,"O3",18,"2025-01-23",15
80,"NO2",3,"2025-01-23",15
80,"PM",11,"2025-01-23",15
99,"SO2",1,"2025-01-23",15
99,"O3",23,"2025-01-23",15
99,"NO2",2,"2025-01-23",15
99,"PM",9,"2025-01-23",15
103,"O3",21,"2025-01-23",15
103,"NO2",1,"2025-01-23",15
103,"PM",11,"2025-01-23",15
3,"SO2",1,"2025-01-23",14
3,"O3",15,"2025-01-23",14
3,"NO2",3,"2025-01-23",14
3,"PM",11,"2025-01-23",14
6,"SO2",1,"2025-01-23",14
6,"O3",19,"2025-01-23",14
6,"NO2",3,"2025-01-23",14
6,"PM",12,"2025-01-23",14
17,"O3",20,"2025-01-23",14
17,"NO2",2,"2025-01-23",14
17,"PM",12,"2025-01-23",14
28,"CO",1,"2025-01-23",14
28,"O3",16,"2025-01-23",14
28,"PM",12,"2025-01-23",14
31,"SO2",1,"2025-01-23",14
3,"SO2",1,"2025-01-23",16
3,"O3",19,"2025-01-23",16
3,"NO2",3,"2025-01-23",16
3,"PM",10,"2025-01-23",16
6,"SO2",1,"2025-01-23",16
6,"O3",20,"2025-01-23",16
6,"NO2",2,"2025-01-23",16
6,"PM",12,"2025-01-23",16
17,"O3",18,"2025-01-23",16
17,"NO2",3,"2025-01-23",16
17,"PM",11,"2025-01-23",16
