stationId,polluant,valeur,date,heure
6,"PM",12,"2025-01-12",4
31,"SO2",1,"2025-01-12",4
31,"CO",1,"2025-01-12",4
31,"O3",19,"2025-01-12",4
31,"NO2",3,"2025-01-12",4
31,"PM",7,"2025-01-12",4
66,"O3",14,"2025-01-12",4
66,"NO2",4,"2025-01-12",4
66,"PM",4,"2025-01-12",4
80,"SO2",1,"2025-01-12",4
80,"O3",18,"2025-01-12",4
28,"CO",1,"2025-01-08",3
28,"O3",19,"2025-01-08",3
28,"NO2",1,"2025-01-08",3
28,"PM",4,"2025-01-08",3
80,"NO2",2,"2025-01-12",4
80,"PM",7,"2025-01-12",4
99,"SO2",1,"2025-01-12",4
99,"O3",23,"2025-01-12",4
99,"NO2",1,"2025-01-12",4
50,"PM",4,"2025-01-08",3
99,"PM",5,"2025-01-12",4
3,"SO2",1,"2025-01-12",3
3,"O3",10,"2025-01-12",3
99,"NO2",1,"2025-01-12",8
99,"PM",5,"2025-01-12",8
3,"SO2",1,"2025-01-12",7
3,"O3",18,"2025-01-12",7
3,"NO2",2,"2025-01-12",7
3,"PM",6,"2025-01-12",7
6,"SO2",1,"2025-01-12",7
6,"O3",16,"2025-01-12",7
6,"NO2",2,"2025-01-12",7
6,"PM",6,"2025-01-12",7
31,"SO2",0,"2025-01-12",7
31,"CO",1,"2025-01-12",7
31,"O3",18,"2025-01-12",7
31,"NO2",3,"2025-01-12",7
31,"PM",5,"2025-01-12",7
66,"O3",18,"2025-01-12",7
66,"NO2",2,"2025-01-12",7
66,"PM",5,"2025-01-12",7
80,"SO2",1,"2025-01-12",7
80,"O3",15,"2025-01-12",7
80,"NO2",3,"2025-01-12",7
80,"PM",5,"2025-01-12",7
99,"SO2",1,"2025-01-12",7
99,"O3",22,"2025-01-12",7
99,"NO2",1,"2025-01-12",7
99,"PM",5,"2025-01-12",7
3,"SO2",1,"2025-01-12",6
3,"O3",18,"2025-01-12",6
3,"NO2",2,"2025-01-12",6
3,"PM",8,"2025-01-12",6
6,"SO2",1,"2025-01-12",6
6,"O3",16,"2025-01-12",6
6,"NO2",3,"2025-01-12",6
6,"PM",6,"2025-01-12",6
31,"SO2",1,"2025-01-12",6
31,"CO",1,"2025-01-12",6
31,"O3",19,"2025-01-12",6
66,"NO2",3,"2025-01-08",20
66,"PM",4,"2025-01-08",20
80,"SO2",1,"2025-01-08",20
80,"O3",18,"2025-01-08",20
80,"NO2",2,"2025-01-08",20
80,"PM",5,"2025-01-08",20
99,"SO2",0,"2025-01-08",20
99,"O3",22,"2025-01-08",20
99,"NO2",1,"2025-01-08",20
99,"PM",4,"2025-01-08",20
6,"SO2",1,"2025-01-08",19
6,"O3",18,"2025-01-08",19
6,"NO2",2,"2025-01-08",19
6,"PM",5,"2025-01-08",19
31,"SO2",0,"2025-01-08",19
31,"CO",1,"2025-01-08",19
31,"O3",19,"2025-01-08",19
31,"NO2",2,"2025-01-08",19
31,"PM",5,"2025-01-08",19
66,"O3",17,"2025-01-08",19
66,"NO2",3,"2025-01-08",19
31,"NO2",3,"2025-01-12",6
31,"PM",5,"2025-01-12",6
66,"O3",12,"2025-01-12",6
66,"NO2",5,"2025-01-12",6
66,"PM",5,"2025-01-12",6
80,"SO2",1,"2025-01-12",6
80,"O3",16,"2025-01-12",6
80,"NO2",3,"2025-01-12",6
80,"PM",5,"2025-01-12",6
99,"SO2",1,"2025-01-12",6
99,"O3",22,"2025-01-12",6
99,"NO2",1,"2025-01-12",6
99,"PM",5,"2025-01-12",6
3,"SO2",1,"2025-01-12",5
3,"O3",18,"2025-01-12",5
3,"NO2",2,"2025-01-12",5
3,"PM",14,"2025-01-12",5
6,"SO2",1,"2025-01-12",5
6,"O3",16,"2025-01-12",5
6,"NO2",2,"2025-01-12",5
6,"PM",8,"2025-01-12",5
31,"SO2",1,"2025-01-12",5
31,"CO",1,"2025-01-12",5
31,"O3",18,"2025-01-12",5
