Détermination de la toxicité aigue de l'eau du fleuve prélevée au printemps 2016 dans le cadre du suivi des effets du déversement d'eaux usées résultant des travaux réalisés sur l'intercepteur sud-est,,,,,,,,,
Nom,Latitude,Longitude,Date,CL50-48h,I.C. à 95% inférieure,I.C. à 95% supérieure,Méthode de calcul,UT,Létalité aiguë
"I-01, r1","45,4564","-73,559",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"I-01, r2","45,4564","-73,559",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"I-01, r3","45,4564","-73,559",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"I-02, r1","45,4679","-73,5514",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"I-02, r2","45,4679","-73,5514",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"I-02, r3","45,4679","-73,5514",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"I-03, r1","45,4646","-73,5564",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"I-03, r2","45,4646","-73,5564",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"I-03, r3","45,4646","-73,5564",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-01, r1","46,0519","-73,1625",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-01, r2","46,0519","-73,1625",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-01, r3","46,0519","-73,1625",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-02, r1","46,0903","-73,0724",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-02, r2","46,0903","-73,0724",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-02, r3","46,0903","-73,0724",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-03, r1","46,0838","-73,0616",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-03, r2","46,0838","-73,0616",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-03, r3","46,0838","-73,0616",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-04, r1","46,1144","-73,0386",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-04, r2","46,1144","-73,0386",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-04, r3","46,1144","-73,0386",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-05, r1","46,1061","-73,0343",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-05, r2","46,1061","-73,0343",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-05, r3","46,1061","-73,0343",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-06, r1","46,1108","-72,9951",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-06, r2","46,1108","-72,9951",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-06, r3","46,1108","-72,9951",2016-06-14,> 100,NA,NA,AUCUN,< 1.0,NON
"S-07, r1","46,1271","-72,9905",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-07, r2","46,1271","-72,9905",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-07, r3","46,1271","-72,9905",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-08, r1","46,1458","-72,9797",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-08, r2","46,1458","-72,9797",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-08, r3","46,1458","-72,9797",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-09, r1","46,123","-73,0759",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-09, r2","46,123","-73,0759",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-09, r3","46,123","-73,0759",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-10, r1","46,1359","-73,0465",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-10, r2","46,1359","-73,0465",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
"S-10, r3","46,1359","-73,0465",2016-06-14,> 100,NA,NA,AUCUNE,< 1.0,NON
