"Cote/Titre","Dates","Fichier TIFF - 300 dpi (CLIQUEZ SUR LE LIEN)","Mention de crédits"
"Carte Index générale","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-000_Carte_index.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P001","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-001.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P002","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-002.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P003","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-003.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P004","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-004.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P005","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-005.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P006","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-006.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P007","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-007.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P008","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-008.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P009","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-009.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P010","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-010.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P011","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-011.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P012","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-012.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P013","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-013.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P014","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-014.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P015","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-015.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P016","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-016.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P017","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-017.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P018","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-018.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P019","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-019.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P020","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-020.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P021","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-021.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P022","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-022.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P023","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-023.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P024","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-024.TIF","Archives de la Ville de Montréal"
