ID_BASSIN,NUM_DISTRICT,ARRONDISSEMENT,NOM_DISTRICT,NOM_BASSIN
15,12,"Ahuntsic-Cartierville","Saint-Sulpice","COLLÈGE AHUNTSIC (CEGEP)-Cafétéria du Bloc G (G1510)"
16,12,"Ahuntsic-Cartierville","Saint-Sulpice","ÉCOLE SAINT-ISAAC-JOGUES-Gymnase"
17,12,"Ahuntsic-Cartierville","Saint-Sulpice","ACADÉMIE JOHN CABOTO-Gymnase"
18,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE MARIE-ANNE-Salle de jeux"
19,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE MARIE-ANNE-Cafétéria"
31,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE ALICE-PARIZEAU-Gymnase"
20,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE AHUNTSIC-Gymnase"
21,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE SAINT-BENOÎT-Gymnase"
22,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE FERNAND-SÉGUIN, PAVILLON HUBERT-REEVES-Nouveau gymnase"
32,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE LA DAUVERSIÈRE-Gymnase Nicolas Gill"
23,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE SAINT-ANDRÉ-APÔTRE-Gymnase"
24,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE ÉVANGÉLINE-Gymnase double"
39,21,"Anjou","Ouest","COLLÈGE D'ANJOU-Salle Place publique"
25,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE FRANÇOIS-DE-LAVAL-Gymnase"
26,13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE SOPHIE-BARAT (HORS-DISTRICT)-Gymnase 1-B"
27,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","COLLÈGE SAINTE-MARCELLINE-Gymnase"
28,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE GILLES-VIGNEAULT-Gymnase 2"
29,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE GILLES-VIGNEAULT-Gymnase 1"
1,11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE ATELIER-Gymnase"
2,11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE SAINT-ANTOINE-MARIE-CLARET-Gymnase"
11,12,"Ahuntsic-Cartierville","Saint-Sulpice","COLLÈGE ANDRÉ-GRASSET-Salle L'Escale"
3,11,"Ahuntsic-Cartierville","Sault-au-Récollet","COLLÈGE MONT-SAINT-LOUIS-Gymnase 1-A"
4,11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE LA VISITATION-Gymnase"
5,11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE LOUIS-COLIN-Gymnase"
6,11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE SAINTS-MARTYRS-CANADIENS-Gymnase 1"
12,12,"Ahuntsic-Cartierville","Saint-Sulpice","ÉCOLE SAINT-SIMON-APÔTRE-Gymnase"
88,41,"Lachine","du Canal","CHEVALIERS DE COLOMB - CONSEIL 1776 - LACHINE-Salle Wilfrid-Bélanger"
7,11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE SOPHIE-BARAT-Gymnase 1-A"
8,11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE ST. PIUS X-Plaza"
9,12,"Ahuntsic-Cartierville","Saint-Sulpice","RESSOURCES HABITATION DE L'OUEST-Salle communautaire"
10,12,"Ahuntsic-Cartierville","Saint-Sulpice","ÉGLISE SAINT-ISAAC-JOGUES-Sous-sol"
13,12,"Ahuntsic-Cartierville","Saint-Sulpice","CENTRE HENRI-JULIEN-Grande salle"
14,12,"Ahuntsic-Cartierville","Saint-Sulpice","CENTRE COMMUNAUTAIRE ET CULTUREL BOIS-DE-BOULOGNE-Salle Chalhoub 1-A"
76,34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","CENTRE COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE-Gymnase"
72,34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","PARC NOTRE-DAME-DE-GRÂCE-Pavillon Girouard"
73,34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE WILLINGDON-Gymnase"
74,34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE NOTRE-DAME-DE-GRÂCE-Gymnase"
75,34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ROYAL VALE-Gymnase"
77,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE COMMUNAUTAIRE WALKLEY-Salle polyvalente"
78,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE MACKAY / PHILIP E. LAYTON-Gymnase"
79,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF NDG-Gymnase 1"
80,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase"
81,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE SAINT-LUC-Cafétéria"
30,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","LES YMCA DU QUÉBEC - CARTIERVILLE-Rez-de-chaussée"
33,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE SAINTE-ODILE-Gymnase 1"
34,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE LOUISBOURG-Gymnase"
35,14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE SAINTE-ODILE-Gymnase 2"
37,21,"Anjou","Ouest","ÉCOLE JACQUES-ROUSSEAU-Salle polyvalente"
38,21,"Anjou","Ouest","ÉCOLE JACQUES-ROUSSEAU-Gymnase"
36,21,"Anjou","Ouest","GALERIES D'ANJOU-Auditorium"
42,22,"Anjou","Est","ÉCOLE CARDINAL-LÉGER-Gymnase"
43,22,"Anjou","Est","ÉCOLE CHÉNIER-Gymnase"
44,23,"Anjou","Centre","ÉCOLE WILFRID-PELLETIER-Annexe"
45,23,"Anjou","Centre","CENTRE COMMUNAUTAIRE D'ANJOU-Salle 0.120"
46,23,"Anjou","Centre","CENTRE COMMUNAUTAIRE D'ANJOU-Salle 1.28"
47,23,"Anjou","Centre","CENTRE COMMUNAUTAIRE D'ANJOU-Salle 0.133"
50,23,"Anjou","Centre","CENTRE COMMUNAUTAIRE D'ANJOU-Salle 0.24"
53,31,"Côte-des-Neiges-Notre-Dame-de-Grâce","Darlington","ÉCOLE CORONATION (HORS-DISTRICT)-Gymnase"
54,31,"Côte-des-Neiges-Notre-Dame-de-Grâce","Darlington","ÉCOLE LA VOIE-Gymnase"
55,31,"Côte-des-Neiges-Notre-Dame-de-Grâce","Darlington","ÉCOLE SAINT-PASCAL-BAYLON-Gymnase"
385,171,"Verdun","Champlain–L’Île-des-Sœurs","CENTRE COMMUNAUTAIRE ELGAR-Salle des Chênes, des Ormes et des Peupliers"
56,31,"Côte-des-Neiges-Notre-Dame-de-Grâce","Darlington","CENTRE DE RESSOURCES COMMUNAUTAIRES DE CÔTE-DES-NEIGES-Grande salle"
57,32,"Côte-des-Neiges-Notre-Dame-de-Grâce","Côte-des-Neiges","LES APPARTEMENTS ROCKHILL-Galerie commerciale - Sous-sol 1"
59,32,"Côte-des-Neiges-Notre-Dame-de-Grâce","Côte-des-Neiges","CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES-Gymnase"
60,32,"Côte-des-Neiges-Notre-Dame-de-Grâce","Côte-des-Neiges","ÉCOLE FÉLIX-LECLERC-Gymnase"
61,32,"Côte-des-Neiges-Notre-Dame-de-Grâce","Côte-des-Neiges","ÉGLISE SAINT-KEVIN-Sous-sol"
62,33,"Côte-des-Neiges-Notre-Dame-de-Grâce","Snowdon","ÉCOLE DES CINQ-CONTINENTS, PAVILLON DUPUIS-Gymnase"
68,34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","WESLEY UNITED CHURCH-Harvey Lee Hall"
69,34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE SAINT-RAYMOND-Gymnase"
70,34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ÉTOILE FILANTE-Gymnase"
84,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE COMMUNAUTAIRE WESTHAVEN-Gymnase"
85,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE LES-ENFANTS-DU-MONDE-Gymnase"
103,51,"LaSalle","Sault-Saint-Louis","ÉCOLE PIERRE-RÉMY (HORS-DISTRICT)-Gymnase"
105,51,"LaSalle","Sault-Saint-Louis","ÉCOLE DE L'ORÉE-DU-PARC-Gymnase 1"
106,51,"LaSalle","Sault-Saint-Louis","LASALLE COMMUNITY COMPREHENSIVE HIGH SCHOOL-Gymnase A"
107,51,"LaSalle","Sault-Saint-Louis","ÉCOLE DE L'ORÉE-DU-PARC-Gymnase 2"
109,51,"LaSalle","Sault-Saint-Louis","CEGEP ANDRÉ-LAURENDEAU-Cafétéria A"
110,51,"LaSalle","Sault-Saint-Louis","LASALLE COMMUNITY COMPREHENSIVE HIGH SCHOOL-Gymnase B"
111,51,"LaSalle","Sault-Saint-Louis","CEGEP ANDRÉ-LAURENDEAU-Cafétéria B"
112,51,"LaSalle","Sault-Saint-Louis","LASALLE COMMUNITY COMPREHENSIVE HIGH SCHOOL-Palestre"
113,51,"LaSalle","Sault-Saint-Louis","ÉCOLE NOTRE-DAME-DES-RAPIDES-Gymnase"
114,51,"LaSalle","Sault-Saint-Louis","ÉCOLE DU GRAND-HÉRON-Gymnase"
115,51,"LaSalle","Sault-Saint-Louis","TRINITY PENTECOSTAL CHURCH-Gymnase"
118,52,"LaSalle","Cecil-P.-Newman","ÉCOLE L'EAU-VIVE-Gymnase"
238,113,"Le Plateau-Mont-Royal","Jeanne-Mance","ITHQ (Institut de tourisme et d'hôtellerie du Québec)-La Relève Gourmande"
117,52,"LaSalle","Cecil-P.-Newman","ÉCOLE LAURENDEAU-DUNTON-Gymnase"
119,52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY SENIOR-Gymnase"
120,52,"LaSalle","Cecil-P.-Newman","MAIRIE D'ARRONDISSEMENT DE LASALLE-Salle du conseil"
121,52,"LaSalle","Cecil-P.-Newman","CHILDREN'S WORLD ACADEMY-Gymnase"
122,52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase filles"
123,52,"LaSalle","Cecil-P.-Newman","ÉCOLE DU PETIT-COLLÈGE-Gymnase"
124,52,"LaSalle","Cecil-P.-Newman","ÉCOLE TERRE-DES-JEUNES-Grand Gymnase"
125,52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY JUNIOR-Gymnase"
126,52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase garçons"
127,52,"LaSalle","Cecil-P.-Newman","CENTRE D'ÉDUCATION DES ADULTES LASALLE - ÉDIFICE CLÉMENT-Cafétéria"
146,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE SAINTE-LOUISE-DE-MARILLAC-Gymnase"
128,52,"LaSalle","Cecil-P.-Newman","ÉCOLE HENRI-FOREST-Gymnase"
132,64,"L'Île-Bizard-Sainte-Geneviève","Sainte-Geneviève","ÉCOLE SAINTE-GENEVIÈVE (OUEST)-Gymnase 1"
129,61,"L'Île-Bizard-Sainte-Geneviève","Pierre-Foretier","ÉCOLE JONATHAN-WILSON (HORS-DISTRICT)-Gymnase"
131,63,"L'Île-Bizard-Sainte-Geneviève","Jacques-Bizard","CENTRE SOCIOCULTUREL-Salle Boileau"
142,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE LOUIS-DUPIRE-Gymnase 2"
133,64,"L'Île-Bizard-Sainte-Geneviève","Sainte-Geneviève","ÉCOLE SAINTE-GENEVIÈVE (OUEST)-Gymnase 2"
134,71,"Mercier-Hochelaga-Maisonneuve","Tétreaultville","ÉCOLE LA VÉRENDRYE-Gymnase"
135,71,"Mercier-Hochelaga-Maisonneuve","Tétreaultville","ÉCOLE PHILIPPE-LABARRE-Gymnase"
86,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE ST. MONICA-Gymnase"
89,41,"Lachine","du Canal","CHALET DU PARC LASALLE-Grande salle"
90,41,"Lachine","du Canal","ÉCOLE MARTIN-BÉLANGER-Gymnase"
91,41,"Lachine","du Canal","ÉGLISE DES SAINTS-ANGES-Salle Albert-Simard"
95,42,"Lachine","J.-Émery-Provost","ÉCOLE DALBÉ-VIAU-Place publique"
96,42,"Lachine","J.-Émery-Provost","ÉCOLE DALBÉ-VIAU-Cafétéria"
92,41,"Lachine","du Canal","MAISON DU BRASSEUR-Salon C"
93,42,"Lachine","J.-Émery-Provost","ÉCOLE PHILIPPE-MORIN-Gymnase"
94,42,"Lachine","J.-Émery-Provost","ÉCOLE TRÈS-SAINT-SACREMENT-Gymnase"
97,42,"Lachine","J.-Émery-Provost","LÉGION ROYALE CANADIENNE-Grande salle"
98,43,"Lachine","Fort-Rolland","ÉCOLE VICTOR-THÉRIEN-Gymnase"
99,43,"Lachine","Fort-Rolland","ÉCOLE CATHERINE-SOUMILLARD-Gymnase"
100,43,"Lachine","Fort-Rolland","ÉCOLE MAPLE GROVE-Gymnase"
101,43,"Lachine","Fort-Rolland","COLLÈGE SAINT-LOUIS-Cafétéria"
102,51,"LaSalle","Sault-Saint-Louis","ÉCOLE DES DÉCOUVREURS-Gymnase"
87,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","WILLINGDON SENIOR CAMPUS-Gymnase"
82,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE SAINTE-CATHERINE-DE-SIENNE-Gymnase"
83,35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉGLISE ST. PHILIP'S-Local adjacent"
67,33,"Côte-des-Neiges-Notre-Dame-de-Grâce","Snowdon","RAMADA INN MONTRÉAL"
196,94,"Outremont","Jeanne-Sauvé","CENTRE COMMUNAUTAIRE INTERGÉNÉRATIONNEL D'OUTREMONT-Salle de banquet 2"
197,94,"Outremont","Jeanne-Sauvé","CENTRE COMMUNAUTAIRE INTERGÉNÉRATIONNEL D'OUTREMONT-Salle de banquet 3"
198,94,"Outremont","Jeanne-Sauvé","CENTRE COMMUNAUTAIRE INTERGÉNÉRATIONNEL D'OUTREMONT-Salle de banquet 4"
199,101,"Pierrefonds-Roxboro","Bois-de-Liesse","ÉCOLE HARFANG-DES-NEIGES / ÉDIFICE GOUIN-Gymnase"
200,101,"Pierrefonds-Roxboro","Bois-de-Liesse","ÉCOLE DU GRAND-CHÊNE-Gymnase"
201,101,"Pierrefonds-Roxboro","Bois-de-Liesse","ÉCOLE CHARLES-PERRAULT-Cafétéria"
320,141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE LAURENTIDE-Gymnase"
202,101,"Pierrefonds-Roxboro","Bois-de-Liesse","PIERREFONDS COMMUNITY HIGH SCHOOL-Cafétéria"
203,101,"Pierrefonds-Roxboro","Bois-de-Liesse","ÉCOLE SECONDAIRE DE L'ALTITUDE-Demi gymnase nord"
204,101,"Pierrefonds-Roxboro","Bois-de-Liesse","SAINT-BARNABAS ANGLICAN CHURCH-Hall"
205,101,"Pierrefonds-Roxboro","Bois-de-Liesse","ÉCOLE LALANDE-Gymnase"
206,101,"Pierrefonds-Roxboro","Bois-de-Liesse","ÉCOLE PERCE-NEIGE-Gymnase"
207,101,"Pierrefonds-Roxboro","Bois-de-Liesse","ÉCOLE CHARLES-PERRAULT-Gymnase"
452,193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE HENRI-JULIEN-Gymnase"
208,101,"Pierrefonds-Roxboro","Bois-de-Liesse","ÉCOLE JOHN-F.-KENNEDY / ÉDIFICE PIERREFONDS-Gymnase"
