"Direction ","Intitulé","Année de contingences","Date d'octroi","Valeur du contrat 
avec taxes nettes ","Décomptes finaux ","Contingence prévue   ","Contingence prévue (pourcentage)","Contingence réelle   ","Contingence réelle (pourcentage)"
"Direction de la gestion stratégique des réseaux d'eau","Réhabilitation d'égout - secteur Ouest",2013,2013,"12824384,04","11158359,37","725908,53","0,0566038","215769,49","0,019337"
"Direction de la gestion stratégique des réseaux d'eau","Réhabilitation d'égout - secteur Est",2013,2013,"13735862,52","12909661,98","777501,65","0,0566038","256782,5","0,019891"
"Direction de la gestion stratégique des réseaux d'eau","Réhabilitation d'aqueduc - secteur Est",2013,2013,17861853,"16502398,04","1011048,3","0,0600000","825860,4","0,050045"
"Direction de la gestion stratégique des réseaux d'eau","Réhabilitation d'aqueduc - secteur Ouest",2013,2013,"33018827,82",25000000,"1981129,67","0,0600000","887406,54","0,035496"
"Direction de la gestion stratégique des réseaux d'eau","Réhabilitation d'égout - secteur Ouest",2014,2014,"11478456,08","8300651,39","649723,93","0,0566038","115541,77","0,013920"
"Direction de la gestion stratégique des réseaux d'eau","Réhabilitation d'aqueduc - secteur Est",2014,2014,"8851619,9","8467276,19","501035,09","0,0600000","447829,39","0,052889"
"Direction de l'eau potable","Construction d'une conduite d'eau de 400 et 600 mm de diamètre le long de l'autoroute 13 entre l'autoroute 40 et le réservoir Côte-Vertu",2014,2011,"2151987,66",2252000,"215198,77","0,1000000","62049,04","0,027553"
"Direction de l'eau potable","Stations pompage Lambert Closse,Vincent-d'Indy et Châteaufort",2014,2012,"1543209,89",1579000,"154321,02","0,1000000","24653,52","0,015613"
"Direction de l'eau potable","Imperméabilisation du toit du réservoir Côte-des-Neiges",2014,2012,"1269920,92",1241000,"126992,13","0,1000000","17177,2","0,013841"
"Direction de l'eau potable","Sécurisation de la falaise rocheuse adjacente au réservoir McTavish",2014,2012,"406027,7",393000,"40602,77","0,1000000","9052,11","0,023033"
"Direction de l'eau potable","Usine d'eau potable Pierrefonds, correction d'une fuite d'eau potable réservoir # 3",2014,,"82233,5","71786,43",8223,"0,0999957","10446,51","0,145522"
"Direction de l'eau potable","MNU-PF-POMPAGE-Mécanique de procédé LOT C3-904 TECQ2",2014,2009,"5010572,74",5384000,"269687,5","0,0538237","132184,19","0,024551"
"Direction de l'eau potable","MNU-DB-UV-Électricité et hypochlorite LOT C7-705 FCIS",2014,2008,"3589001,25",3900000,"291262,5","0,0811542","255336,52","0,065471"
"Direction de l'eau potable","MNU-AT-FILTRATION-Automation filtration-LOT C8-810 FCIS",2014,2009,"2236667,31",2866000,"362737,16","0,1621775","268995,81","0,093858"
"Direction de l'eau potable","MNU-AT-OZONATION - Étanchéisation béton & structure sortie LOT C8-220 FCIS",2014,2012,"1363250,1",1480000,"136325,01","0,1000000","123959,99","0,083757"
"Direction de l'eau potable","MNU-PF-POMPAGE-Électricité de puissance LOT C3-707 TECQ2",2014,2009,"5239567,46",5510000,215750,"0,0411771","199922,89","0,036284"
"Direction de l'eau potable","AT - Étanchéisation des caissons 4,5, 6 et 7 LOT C8-404 FCIS",2014,2012,"3116691,5",2702000,"311669,15","0,1000000","157424,65","0,058262"
"Direction de l'eau potable","MNU-DB-Raccordement électrique LOT C7-707 FCIS",2014,2008,"1419095,63",1681000,"269687,5","0,1900418","225630,58","0,134224"
"Direction de l'eau potable","MNU-AT-FILTRATION-Réfection fonds & mécanique filtres 5-6 LOT C8-928 FCIS",2014,2009,"22001906,68",21932106,1186625,"0,0539328","998894,05","0,045545"
"Direction de l'eau potable","MNU-AT-FILTRATION-Méc. de procédé 1,2,3 et 7 LOT C8-907 FCIS",2014,2011,"2961049,95",3013000,"430066,44","0,1452412","252635,27","0,083848"
"Direction de l'eau potable","AT-Réfection du trop-plein du canal et de l'entrée d'eau - Travaux - FCIS",2014,2012,"2302997,47",2314000,"345449,67","0,1500000","82254,47","0,035546"
"Direction de l'épuration des eaux usées","Travaux en régie contrôlée sur les décanteurs 15 à 21 de la Station d'épuration des eaux usées",2013,2013,"233675,2","231710,08","24424,38","0,1045228","18112,72","0,078170"
"Direction de l'épuration des eaux usées","Travaux de modernisation de deux ascenseurs à la décantation et la désinfection de la Station d'épuration des eaux usées",2013,2011,"207309,2","195280,5","27300,2","0,1316883","13272,5","0,067966"
"Direction de l'épuration des eaux usées","Travaux de rehaussement du pressoir rotatif 668-M29",2013,2012,"107930,89","99898,52","11281,23","0,1045227","1779,53","0,017813"
"Direction de l'épuration des eaux usées","Travaux d'aménagement mécanique, électrique et civil de la salle de l'unité de suivi de l'ozonaton en continu du bâtiment de la désinfection",2013,2011,"585028,65","542578,12","86933,99","0,1485978","33857,56","0,062401"
"Direction de l'épuration des eaux usées","Travaux d'écaillage, de nettoyage de parois rocheuses et fourniture et installation d'un trellis métallique dans l'ancienne carrière Demix",2013,2011,843700,"819596,94",76700,"0,0909091","52596,94","0,064174"
"Direction de l'épuration des eaux usées","Travaux d'écaillage, de nettoyage de parois rocheuses et fourniture et installation d'un trellis métallique dans l'ancienne carrière Demix",2013,2012,"1351788,9","1301889,9","141292,67","0,1045227","73435,2","0,056407"
"Direction de l'épuration des eaux usées","Travaux de remplacement des artères alimentation 12,5kv par une artère4 600v et démantèlement d'équipement de distrubiton électrique de la station de pompage de l'Ile Notre-Dame",2014,2012,"132966,45","122151,78","19940,63","0,1499674","7528,78","0,061635"
"Direction de l'épuration des eaux usées","Travaux de reprises de toiture des bassins B8, H-1, H-2, J668-41 au bâtiment des boues et L. et M. au bâtiment du prétraitement de la Station d'épuration des eaux usées",2014,2014,194097,165947,"29108,22","0,1499674",0,"0,000000"
"Direction de l'épuration des eaux usées","Travaux de modification de l'alimentation électrique des décanteurs 15 à 28 de la Station d'épuration des eaux usées",2014,2013,"518031,8",470938,"54146,1","0,1045227",0,"0,000000"
"Direction de l'épuration des eaux usées","Travaux de remplacement des écrans perforés en aluminium des décanteurs 16 à 21 au secteur des eaux de la Station d'épuration des eaux usées",2014,2011,"340953,8","310970,3","30995,8","0,0909091","1012,3","0,003255"
"Direction de l'épuration des eaux usées","Travaux de mise à niveau des écrans perforés en aluminium des  décanteurs 1 à 7",2014,2012,"975259,11","908793,16","81151,55","0,0832102","239371,06","0,263394"
