"Numéro d'appel d'offres","Production du Décompte final","Nature principale","Description","Date d'octroi","Valeur Contrat","Décomptes finals","Pourcentage dépensé","Quantités excédentaires","Pourcentage sur le total des contingences (Quantités excédentaires)","Items supplémentaires","Pourcentage sur le total des contingences (Item supplémentaires)","Contingences totales","Pourcentage de contingences"
1178,2013-01-09,"LAMP","FOURNITURE ET INSTALLATION D'UN SYSTÈME D'ÉCLAIRAGE ET MODIFICATION À LA SIGNALISATION LUMINEUSE DANS LA RUE SHERBROOKE ET DANS L'AVENUE DU MUSÉE.  ARRONDISSEMENT: VILLE-MARIE.
",2011-07-06,"176 267,00","164 221,00","0,931660","-","-","3 075,00","1,000000","3 075,00","0,018725"
1145,2013-01-23,"PAVA","PLANAGE DE LA CHAUSSÉE D'ASPHALTE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LE BOULEVARD TOUPIN, DE LA RUE MARCEL AU BOULEVARD GOUIN.  ARRONDISSEMENT: SAINT-LAURENT ET AHUNTSIC-CARTIERVILLE.  CONTRAT I (P.R.R. 2011 - RÉSEAU ARTÉRIEL).",2011-06-20,"577 446,00","502 089,90","0,869501","20 470,73","0,368716","35 048,17","0,631284","55 518,90","0,110576"
1211,2013-01-24,"EGOU","RECONSTRUCTION D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE DELISLE, DE LA RUE ROSE-DE-LIMA À L'AVENUE GREENE.  ARRONDISSEMENT: LE SUD-OUEST.",2011-10-24,"466 191,00","354 523,77","0,760469","5 833,28","0,295673","13 895,55","0,704327","19 728,83","0,055649"
227601,2013-02-21,"LAMP","DÉPLACEMENT D'UN RELAIS D'ÉCLAIRAGE.  ARRONDISSEMENT: MONTRÉAL-NORD. (DURÉE DES TRAVAUX REÇUE DE MARIE-FRANCE MONGENAIS LE 2013/02/15).",2012-05-22,"12 334,00","11 432,97","0,926947","85,60","0,077891","1 013,37","0,922109","1 098,97","0,096123"
252303,2013-02-27,"EGOU","RÉHABILITATION PAR CHEMISAGE D'UNE CONDUITE D'EAU DE 300 MM DE DIAMÈTRE PASSANT SOUS L'AUTOROUTE 40, À LA HAUTEUR DE L'ENTRÉE MONTROSE.  VILLE DE KIRKLAND.",2012-08-23,"343 200,00","245 835,00","0,716302","-","-","9 235,00","1,000000","9 235,00","0,037566"
1231,2013-03-12,"EGOU","CONSTRUCTION D'UN ÉGOUT PLUVIAL ET D'UNE CONDUITE SECONDAIRE DANS LE PROLONGEMENT DU BOULEVARD MAURICE-DUPLESSIS, DE L'AVENUE ARMAND-CHAPUT AU BOULEVARD SAINT-JEAN BAPTISTE.  ARRONDISSEMENT: RIVIÈRE DES PRAIRIES-POINTE-AUX-TREMBLES.",2012-01-23,"1 456 621,10","1 195 896,19","0,821007","85 361,20","0,598944","57 158,31","0,401056","142 519,51","0,119174"
1213,2013-03-22,"LAMP","FOURNITURE ET INSTALLATION DE MOBILIER D'ÉCLAIRAGE TEMPORAIRE POUR LE RÉAMÉNAGEMENT DE L'AUTOROUTE BONAVENTURE SUR LES RUES DUKE ET NAZARETH, DE LA RUE WELLINGTON À LA RUE SAINT-PAUL OUEST.  ARRONDISSEMENTS: VILLE-MARIE ET LE SUD-OUEST.",2011-11-23,"165 097,23","149 606,92","0,906175","6 351,00","0,449715","7 771,27","0,550285","14 122,27","0,094396"
1208,2013-04-08,"LAMP","FOURNITURE ET INSTALLATION DE MOBILIER D'ÉCLAIRAGE SUR LES RUES ST-LOUIS, NOTRE-DAME ET CHAMP-DE-MARS ENTRE GOSFORD ET BERRI INCLUANT LE PARC FRANÇOIS-DOLLIER-DE-CASSON AINSI QUE SUR LA RUE ST-SULPICE, DE BRÉSOLE À NOTRE-DAME ET SUR LA RUE ST-FRANÇOIS-XAV",2011-10-19,"304 725,30","278 499,84","0,913937","6 014,00","0,459967","7 060,84","0,540033","13 074,84","0,046947"
200101,2013-04-08,"EGOU","RECONSTRUCTION D'UN ÉGOUT UNITAIRE DANS L'AVENUE STIRLING, DU BOULEVARD ÉDOUARD-MONTPETIT À L'AVENUE WILLOWDALE.  ARRONDISSEMENT: CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE ET OUTREMONT.",2012-04-25,"300 155,90","235 159,02","0,783456","2 545,00","0,145120","14 992,18","0,854880","17 537,18","0,074576"
1186,2013-05-07,"PAVA","PLANAGE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LA RUE JEAN-TALON OUEST ET LE BOULEVARD CAVENDISH (VOIES D'ACCÈS).  ARRONDISSEMENT: CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE.  CONTRAT XII (P.R.R. 2011 - RÉSEAU ARTÉRIEL).",2011-08-17,"342 918,00","301 736,04","0,879907","20 559,84","0,970202","631,45","0,029798","21 191,29","0,070231"
1223,2013-05-08,"EGOU","RECONSTRUCTION D'UN ÉGOUT UNITAIRE (COMBINÉ) ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE WILDERTON-CRESCENT, DE L'AVENUE WILDERTON À L'AVENUE VAN-HORNE.  ARRONDISSEMENT: CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE.",2011-12-19,"635 687,80","522 353,60","0,821714","-","0,000000","4 997,09","1,000000","4 997,09","0,009566"
1151,2013-05-31,"PAVA","PLANAGE ET RVÊTEMENT BITUMINEUX, RECONSTRUCTION DE CHAUSSÉE FLEXIBLE ET DE CHAUSSÉE RIGIDE, LÀ OÙ REQUIS, DANS LA RUE DICKSON ET DANS LE BOULEVARD SAINT-JOSEPH, DANS LES LIMITES DÉCRITES AUX BORDEREAUX DE SOUMISSION. ARRONDISSEMENT: ROSEMONT-LA-PETITE-PAT",2011-08-22,"1 226 280,00","1 030 030,60","0,839964","315 874,54","0,886656","40 379,24","0,113344","356 253,78","0,345867"
1131,2013-06-20,"EGOU","RECONSTRUCTION D'UN ÉGOUT COMBINÉ ET D'UNE CONDUITE D'EAU SECONDAIRE, LÀ OÙ REQUIS, DANS LE CHEMIN 
DE LA CÔTE-ST-PAUL, DE LA RUE SAINTE-MARIE À LA RUE SAINT-RÉMI.  ARRONDISSEMENT: LE SUD-OUEST.",2011-05-16,"1 192 337,00","1 167 138,13","0,978866","58 772,56","0,230528","196 174,57","0,769472","254 947,13","0,218438"
1160,2013-06-27,"PAVA","PLANAGE DE CHAUSSÉE D'ASPHALTE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LES BOULEVARDS CRÉMAZIE ET HENRI-BOURASSA CÔTÉ NORD ET LES RUES JARRY EST ET SAINT-DENIS, DANS LES LIMITES DÉCRITES AU BORDEREAU.  ARRONDISSEMENTS: AHUNTSIC-CARTIERVILLE ET VILLER",2011-08-22,"1 649 762,00","1 378 508,27","0,835580","43 500,16","0,360973","77 007,77","0,639027","120 507,93","0,087419"
225701,2013-06-27,"EGOU","Reconstruction d'un égout unitaire, d'une conduite d'eausecondaire, d'un pavage flexible et des trottoirs dans la rue Struan, de l'avenue Papineau à la rue Séguin.- Arrondissement : Ahuntsic/Cartierville.",2012-08-21,"479 666,00","404 694,66","0,843701","9 063,26","4,448014","-7 025,66","-3,448014","2 037,60","0,005035"
100901,2013-08-07,"EGOU","CONSTRUCTION D'UN ÉGOUT UNITAIRE (COMBINÉ) DANS LA RUE PIERRE-HÉROUX, ENTRE LA RUE BEAULIEU ET LE BOULEVARD MONK. ARRONDISSEMENT: LE SUD-OUEST.",2012-05-16,"89 980,00","84 662,07","0,940899","-","-","5 114,31","1,000000","5 114,31","0,060409"
100401,2013-08-08,"EGOU","RECONSTRUCTION D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE WELLINGTON, ENTRE LES RUES MURRAY ET PEEL AINSI QUE LA CONSTRUCTION D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE WELLINGTON, ENTRE LES RUES PEEL ET SHANNON.  ARRONDISSEMENT: LE SUD-OUEST.",2012-08-23,"601 712,10","428 415,14","0,711994","9 211,00","0,359828","16 387,37","0,640172","25 598,37","0,059751"
1207,2013-08-23,"CHAU","PLANAGE ET REVÊTEMENT BITUMINEUX ET RECONSTRUCTION DE TROTTOIRS, LÀ OÙ REQUIS, AUX ARRÊTS D'AUTOBUS DANS DIFFÉRENTES RUES DE LA VILLE DE MONTRÉAL.  ARRONDISSEMENTS: LE PLATEAU MONT-ROYAL, AHUNTSIC-CARTIERVILLE ET MONTRÉAL-NORD.  CONTRAT AA01 (ARRÊTS D'AUT",2011-11-23,"131 657,90","100 814,52","0,765731","1 935,59","0,350899","3 580,49","0,649101","5 516,08","0,054715"
1120,2013-09-03,"EGOU","RECONSTRUCTION D'UN ÉGOUT COMBINÉ ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LA 1ÈRE AVENUE, DE LA RUE WILLIAM-MACDONALD À LA RUE PROVOST.  ARRONDISSEMENT: LACHINE.",2011-04-11,"2 536 925,82","2 341 464,11","0,922953","57 252,32","0,164368","291 066,40","0,835632","348 318,72","0,148761"
254301,2013-09-03,"EGOU","RECONSTRUCTION D'UN TRONÇON DE HUIT MÈTRES, SUR UNE CONDUITE D'EAU POTABLE ET UNE CONDUITE D'ÉGOUT SUR LA RUE DU MANOIR.
ARRONDISSEMENT: OUTREMONT.",2012-09-28,"35 970,55","28 137,58","0,782239","5 763,12","1,509813","-1 946,01","-0,509813","3 817,11","0,135659"
223301,2013-09-04,"LAMP","FOURNITURE ET INSTALLATION DE MOBILIER D'ÉCLAIRAGE SOUS LE VIADUC DE L'AUTOROUTE 13 À L'INTERSECTION DES BOULEVARDS PITFIELD ET THIMENS.  ARRONDISSEMENT: PIERREFONDS-ROXBORO.",2012-09-27,"30 922,12","26 507,55","0,857236","-","-","-","-","0,00","0,000000"
1215,2013-09-17,"CHAU","RÉFECTION DE CHAUSSÉE PAR REMPLISSAGE MÉCANIQUE DE NIDS DE POULE AVEC MÉLANGE PROJETÉ DE GRANULATS, DE FIBRES ET D'ÉMULSION DE BITUME, LÀ OÙ REQUIS, DANS DIFFÉRENTES RUES DE LA VILLE DE MONTRÉAL.  CONTRAT NPM-2011-01 (P.R.R. 2011).",2012-02-20,"669 300,00","851 102,25","1,271630","181 802,25","1,000000","-","-","181 802,25","0,213608"
1216,2013-09-23,"CHAU","RÉFECTION DE CHAUSSÉE PAR REMPLISSAGE MÉCANIQUE DE NIDS-DE-POULE AVEC MÉLANGE BITUMINEUX TIÈDE CONTENANT DES FIBRES, LÀ OÙ REQUIS, DANS DIFFÉRENTES RUES DE LA VILLE DE MONTRÉAL.  CONTRAT NPM-2011-02 (P.R.R. 2011).",2012-02-20,"678 500,00","534 973,65","0,788465","-","-","-","-","0,00","0,000000"
251001,2013-09-23,"LAMP","REMPLACEMENT DE (3) LAMPADAIRES ET DE (2) FÛTS DE FEUX DE CIRCULATION SUR LA RUE SHERBROOKE CÔTÉ NORD ENTRE LA RUE REDPATH ET UN POINT À L'EST DE LA RUE CRESCENT ET SUR L'AVENUE DU MUSÉE ENTRE LA RUE SHERBROOKE ET UN POINT AU NORD.  ARRONDISSEMENT: VILLE-",2012-07-24,"53 916,50","48 695,00","0,903156","-","-","-","-","0,00","0,000000"
251002,2013-09-25,"LAMP","FOURNITURE DU MOBILIER D'ÉCLAIRAGE ET DE FEUX DE CIRCULATION POUR ENTRETIEN.",2012-12-17,"37 908,86","34 462,60","0,909091","-","-","-","-","0,00","0,000000"
223601,2013-09-26,"EGOU","Reconstruction d'un égout combiné (unitaire) et d'une conduite d'eau secondaire dans l'avenue Millen, du boulevard Henri-Bourassa au boulevard Gouin. Arrondissement: Ahuntsic - Cartierville.",2012-05-14,"808 071,00","704 869,54","0,872287","19 551,00","0,338258","38 248,07","0,661742","57 799,07","0,082000"
