Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
CODERRE,Denis,Équipe Denis Coderre pour Montréal,,,,0.00
FORTIER,Jean,Coalition Montréal,,,,0.00
GURBERG,Bernard,Indépendant,,,,0.00
ILUNGA,Fabrice Ntompa,Indépendant,,,,0.00
LEMCO,Tyler,Indépendant,,,,0.00
PLANTE,Valérie,Projet Montréal - Équipe Valérie Plante,,,,0.00
TESSIER,Philippe,Indépendant,,,,0.00
THIBODEAU,Gilbert,Indépendant,,,,0.00
CHITILIAN,Harout,Équipe Denis Coderre pour Montréal,,,,1.00
THUILLIER,Émilie,Projet Montréal - Équipe Valérie Plante,,,,1.00
GIANCASPRO,Giovanna,Coalition Montréal,,,,1.10
NORMAND,Jérôme,Projet Montréal - Équipe Valérie Plante,,,,1.10
PAGÉ,Lorraine,Équipe Denis Coderre pour Montréal,,,,1.10
PARIZEAU,Hadrien,Équipe Denis Coderre pour Montréal,,,,1.20
SFEIR,Ramzi,Projet Montréal - Équipe Valérie Plante,,,,1.20
GOULET,Nathalie,Projet Montréal - Équipe Valérie Plante,,,,1.30
LACHAPELLE,Pierre,Coalition Montréal,,,,1.30
MELANÇON,Raphaël,Équipe Denis Coderre pour Montréal,,,,1.30
GIANNOU,Effie,Équipe Denis Coderre pour Montréal,,,,1.40
KARABAJAK,Shant,Coalition Montréal,,,,1.40
NASSR,Fadia,Projet Montréal - Équipe Valérie Plante,,,,1.40
BEIS,Dimitrios (Jim),Équipe Denis Coderre pour Montréal,,,,10.00
DUPONT,Hélène,Projet Montréal - Équipe Valérie Plante,,,,10.00
MCINTYRE,Justine,Vrai changement pour Montréal,,,,10.00
LANGEVIN,Benoit,Équipe Denis Coderre pour Montréal,,,,10.10
MARTIN,Andréanne,Projet Montréal - Équipe Valérie Plante,,,,10.10
MCCARTY,Eric,Vrai changement pour Montréal,,,,10.10
AUDOIN,Alexis,Projet Montréal - Équipe Valérie Plante,,,,10.11
LEROUX,Louise,Équipe Denis Coderre pour Montréal,,,,10.11
TROTTIER,Roger,Vrai changement pour Montréal,,,,10.11
CLÉMENT-TALBOT,Catherine,Équipe Denis Coderre pour Montréal,,,,10.20
DE PAOLI,Manuela,Vrai changement pour Montréal,,,,10.20
LABELLE,Michael,Indépendant,,,,10.20
STITT,Ross,Projet Montréal - Équipe Valérie Plante,,,,10.20
GIGNAC,Yves,Équipe Denis Coderre pour Montréal,,,,10.21
PAPADOGIANNIS,Peter,Projet Montréal - Équipe Valérie Plante,,,,10.21
SHAFIEI,Naghmeh,Vrai changement pour Montréal,,,,10.21
FERRANDEZ,Luc,Projet Montréal - Équipe Valérie Plante,,,,11.00
MACKLOVITCH,Zach,Équipe Denis Coderre pour Montréal,,,,11.00
ALMEIDA-CÔTÉ,Iris,Équipe Denis Coderre pour Montréal,,,,11.10
RYAN,Richard,Projet Montréal - Équipe Valérie Plante,,,,11.10
SUSTAM,Halil,Plateau sans frontières,,,,11.10
