"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2008 au 31 mai 2009",,
,,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"A.B.C RECREATION LTD","8 696,88 $","Basketball pour terrain école Coronation "
"A.B.C RECREATION LTD","5 122,72 $","Installation parasols et tables "
"A.B.C RECREATION LTD","23 285,90 $","Abris Poligon pour le terrain de pétanque du parc Jean-Brillant "
"A.B.C RECREATION LTD","38 216,88$","Fourniture et installation d’un module de jeu pour les enfants de 2 à 5 ans au parc Jean-Brillant "
"A.B.C RECREATION LTD","19 643,82 $","Fourniture, transport et installation d’une balançoire 2 places au parc Roméo-Charette "
"A.B.C RECREATION LTD","6 688,27 $","Achat et transport de tables octogonales dans le cadre du réaménagement du bocce du parc Gilbert-Layton "
"A.B.C RECREATION LTD","5 558,82 $","Achat et transport de tables rondes pour l’aire de jeux d’eau du parc Notre-Dame-de-Grâce "
"A.B.C RECREATION LTD","65 878,18 $","Fourniture et installation des modules de jeux d’enfants 18 mois à 5 ans pour le réaménagement de la zone nord-ouest du parc Notre-Dame-de-Grâce "
"A.B.C RECREATION LTD","66 780,56 $","Fourniture et installation des modules de jeux d’enfants 6 à 12 ans, pour le réaménagement de la zone nord-ouest du parc Notre-Dame-de-Grâce "
"A.B.C RECREATION LTD","15 714,16 $","Achat de bancs héritage "
"A.B.C RECREATION LTD","9 431,51 $","Achat de corbeilles et de bancs "
"À DEUX MAINS INC. (HEAD & HANDS)","57 934,00 $","Contributions financières 2009 "
"AMAZONE COMMUNICATIONS","3 565,27 $","Forum culture, sports et loirsirs en réflexion – impressions numériques "
"AMAZONE COMMUNICATIONS","2 454,16 $","Items de communication pour les loisirs "
"AMAZONE COMMUNICATIONS","23 892,58 $","Projet «Benny Farm» – communications "
"AMAZONE COMMUNICATIONS","2 454,16 $","Items de communication pour les loisirs "
"AMAZONE COMMUNICATIONS","2 405,61 $","Graphisme, infographie et impression "
"AMAZONE COMMUNICATIONS","9 978,44 $","Production graphique et gestion de projet "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","13 592,26 $","Commande de produits chimiques "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","5 285,88 $","Commande de produits chimiques "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","5 285,88 $","Commande de produits chimiques "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","6 041,00 $","Commande de produits chimiques "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","16 041,02 $","Commande de produits chimiques "
"ASSOCIATION DE LA COMMUNAUTE NOIRE DE CDN","111 075,00 $","Contributions financières 2009 "
"ASSOCIATION DE LA COMMUNAUTE NOIRE DE CDN","11 521,00 $","Prolongement de trois mois à la convention soit du 1er octobre au 31 décembre 2008 "
"ASSOCIATION DE LA COMMUNAUTE NOIRE DE CDN","46 085,00 $","Contribution financière 2009 "
"ASSOCIATION DES FAMILLES UNIES DE WALKLEY","12 830,83 $","Contribution financière 2009 "
"ASSOCIATION DES FAMILLES UNIES DE WALKLEY","14 319,22 $","Autoriser signature d’un avenant à la convention de partenariat prévoyant un prolongement de trois mois à la durée de celle-ci soit du 1er mars au 31 mai 2009 "
"ASSOCIATION DES FAMILLES UNIES DE WALKLEY","49 834,95 $","Contribution financière "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA","56 428,00 $","Contribution financière 2009 "
"AUTOMOTION COLLISION","6 633,18 $","Entretien et réparation de véhicules "
"AUTOMOTION COLLISION","8 839,76 $","Entretien et réparation de véhicules "
"AUTOMOTION COLLISION","6 214,01 $","Entretien et réparation de véhicules "
"AUTOMOTION COLLISION","5 545,31 $","Entretien et réparation de véhicules "
"AUTOMOTION COLLISION","2 890,29 $","Entretien et réparation de véhicules "
"AUTOMOTION COLLISION","4 056,37 $","Entretien et réparation de véhicules "
"AV NET INC","15 922,35 $","Commande de produits chimiques "
"AV NET INC","16 828,50 $","Commande de produits chimiques "
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","162 657,03 $","Contrat de transport de neige – Hiver 2008/2009 "
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","180 026,41 $","Contrat de transport de neige – Hiver 2008/2009 "
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","46 219,92 $","Contrat de transport de neige – Hiver 2008/2009 "
"BENCO MFG INDUSTRIES INC.","62 351,75 $","Location de deux tracteurs de type Benco sur une période de 4 mois "
"BENCO MFG INDUSTRIES INC.","2 250,62 $","Entretien et réparation de véhicules "
"CANBEC CONSTRUCTION INC.","196 012,06 $","Réfection des sentiers au parc Mackenzie-King "
"CANBEC CONSTRUCTION INC.","6 474,42 $","Travaux de construction pour le réaménagement du secteur autour du buste de Rizal au parc Mackenzie-King "
"CANBEC CONSTRUCTION INC.","5 659,62 $","Dalles d’ancrage pour bancs de parcs au parc Mackenzie-King "
"CANBEC CONSTRUCTION INC.","37 175,14 $","Remplacement du mobilier urbain au parc Van Horne "
"CARRIERE ST-JACQUES INC.","18 061,72 $","Commande annuelle abrasif 2008-2009 "
"CARRIERE ST-JACQUES INC.","43 091,32 $","Commande annuelle abrasif 2008-2009 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","3 800,00 $","Contribution financière non récurrente au Centre communautaire de loisir de la Côte-des-Neiges dans le cadre du Programme d’accompagnement en loisir 2008 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","65 000,00 $","Autoriser convention de partenariat et versement de contribution financière pour le projet Pour bien animer phase 3 dans le cadre du Fonds en développement social "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","15 000,00 $","Signature de convention et versement de contribution financière pour le projet «Répit pour familles en difficulté» dans le cadre du Fonds en développement social de l’arrondissement "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","230 744,00 $","Contribution financière 2009 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","5 000,00 $","Contribution financière 2009 "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","5 000,00 $","Contribution financière "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","121 600,00 $","Contribution financière 2009 "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES-NEIGES","140 000,00 $","Contribution financière 2009 "
"CHP-ÉCONOMISTE CONSEIL EN PROJET DE CONSTRUCTION","58 252,50 $","Services professionnels pour l’évaluation en cinq étapes des coûts de construction du nouveau Complexe sportif et communautaire Benny "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC.","12 868,24 $","Services professionnels "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC.","10 787,50 $","Services professionnels "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC.","10 787,50 $","Services professionnels "
"CLÔTURE LAPOINTE INC.","19 946,09 $","Installation d’une clôture autour de l’aire de jeux des 2 à 5 ans au parc Mackenzie-King "
"CLÔTURE LAPOINTE INC.","6 481,13 $","Fourniture et installation d’une clôture à maille de chaîne pour des espaces de stockage au sous-sol du 6767 Côte-des-Neiges "
"CLÔTURES SPEC II INC","38 683,98 $","Remplacement de l’arrêt-balle du parc Macdonald "
"CLUB DE PLEIN AIR NDG","42 000,00 $","Autoriser convention pour la réalisation d’activités de sports et loisirs pour une durée d’un an du 1er janvier au 31 décembre 2009 et le versement d’une contribution financière pour le volet activités de loisirs et sout.com "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","787 169,98 $","Contrats de déneigement n07-72/73/74/75 – hiver 2008/2009 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","1 598 193,60 $","Contrats de déneigement n07-72/73/74/75 – hiver 2008/2009 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","379 909,00 $","Contribution financière 2009 "
