"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2009 au 31 mai 2010",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"2946-8980 QUÉBEC INC. ","7 725,05 $","Travaux de réaménagement des bureaux au 5160, boul. Décarie "
"2946-8980 QUÉBEC INC. ","18 751,72 $","Travaux de réaménagement des bureaux au 5160, boul. Décarie "
"CONSTRUCTION BENTECH ","76 914,88 $","Reconstruction de conduites d’égouts et d’aqueduc, de conduites secondaires et de trottoirs – avenue Wilderton, entre l’avenue Kent et l’avenue Barclay "
"ACTUALITÉS CÔTE-DES-NEIGES INC. ","3 584,68 $","Publication 2009 dans Actualités Côte-des-Neiges "
"ACTUALITÉS CÔTE-DES-NEIGES INC. ","45 159,71 $","Avis publics dans Actualités Côte-des-Neiges "
"À DEUX MAINS INC. (HEAD & HANDS) ","43 450,50 $","Contribution financière 2010 "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","12 481,14 $","Commande de produits chimiques "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","9 255,68 $","Commande de produits chimiques "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","21 989,43 $","Commande de produits chimiques "
"ARBO-DESIGN INC. ","19 244,90 $","Contrat d’élagage des parcs, saison 2009 "
"ARBO-DESIGN INC. ","25 409,96 $","Contrat d’élagage des parcs, saison 2009 "
"ARBREVERT INC. ","23 888,92 $","Transplantation d’arbres dans le cadre du projet de construction du Complexe sportif et communautaire Benny "
"ARBREVERT INC. ","16 397,01 $","Abattage de pins noirs d’Autriche et d’un peuplier au parc Benny "
"ARBREVERT INC. ","16 305,31 $","Transplantation d’arbres le 8 juillet dans le cadre du projet du Complexe sportif et communautaire Benny "
"ARBREVERT INC. ","2 998,93 $","Entretien des arbres transplantés dans le parc Benny "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN ","37 025,00 $","Contributions financières 2009 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN ","148 100,00 $","Contribution financière 2010 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE NDG ","23 042,50 $","Contribution financière 2010 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE NDG ","9 339,50 $","Contribution financière "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","11 900,00 $","Contribution financière "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","18 809,33 $","Contribution financière 2010 "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","37 618,67 $","Contribution financière "
