"List of contracts of $25,000 or more",,
"From June 1, 2014 to Mai 31, 2015",,
,,
"Supplier","Amount ($)","Description"
"9158-9663 QUÉBEC INC. ","$35,655.74","Finalization of the interior design contract for the Centre culturel Notre-Dame-de-Grâce "
"ACTUALITÉS CÔTES-DES-NEIGES INC.","$12,990.66","Public notices – 2014 "
"ACTUALITÉS CÔTES-DES-NEIGES INC.","$19,611.66","Public notices – 2015 "
"À DEUX MAINS INC. (HEA D & HANDS) ","$59,684.00","2015 financial contribution "
"AFFLECK & DE LA RIVA ARCHITECTES","$12,598.50","Contingencies in the professional services contract for roofing repairs on 3 park chalets. GDD 1154921004 "
"AFFLECK & DE LA RIVA ARCHITECTES","$24,671.14","Architectural services contract: redevelopment and expansion of the chalet at parc Nelson-Mandela "
"AMÉNAGEMENTS SUD-OUEST ","$48,442.34","Parc Georges-Saint-Pierre: redevelopment work on the soccer field "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","$28,235.25","Chemical products – 2014 "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","$20,231.08","Chemical products – 2015 "
"AQUEST DESIGN","$1,396.98","Purchase of two-seater benches for the bibliothèque interculturelle "
"AQUEST DESIGN","$7,068.88","Purchase of sofas and cleaner for the bibliothèque interculturelle "
"AQUEST DESIGN","$2,445.49","Purchase of tables and chairs for the Centre des Aînés "
"AQUEST DESIGN","$4,941.82","Purchase of stackable chairs for the pavillon Nelson-Mandela "
"AQUEST DESIGN","$9,170.74","Purchase of chairs, tables and armchairs for the pavillon Nelson-Mandela "
"AQUEST DESIGN","$4,609.95","Purchase of tables and chairs for the aréna Doug-Harvey "
"AQUEST DESIGN","$205.35","Purchase of tables and chairs for the aréna Doug-Harvey "
"AQUEST DESIGN","$2,004.16","Purchase of tables and chairs for the bibliothèque de Côte-des-Neiges "
"CÔTE-DES-NEIGES BLACK COMMUNITY ASSOCIATION","$44,490.00","2015 financial contribution to the summer camp "
"CÔTE-DES-NEIGES BLACK COMMUNITY ASSOCIATION","$90,091.67","2015 financial contribution for recreational activities "
"CÔTE-DES-NEIGES BLACK COMMUNITY ASSOCIATION","$18,018.32","Financial contribution to the CDN BCA for the addenda from November 1, 2015 to December 31, 2015 "
"LOYOLA ASSOCIATION FOR THE DEVELOPMENT OF YOUTH","$31,714.00","2015 financial contribution for recreational activities"
"LOYOLA ASSOCIATION FOR THE DEVELOPMENT OF YOUTH","$31,714.00","2015 financial contribution "
"BAU-VAL CMM","$14,938.63","Scrap concrete and asphalt – 2015 "
"BAU-VAL CMM","$60,774.32","Scrap concrete and asphalt – 2014 "
"JEWISH PUBLIC LIBRARY ","$27,468.00","Financial contribution aimed at making collections accessible to borough subscribers "
"BRUNEAU ÉLECTRIQUE INC. ","$218,533.70","Contract for lighting work on the small baseball field at parc Loyola "
"CARDIN RAMIREZ JULIEN INC. ","$71,741.87","Contingencies in the professional services contract to upgrade the crawl spaces at the Centre communautaire Notre-Dame-de-Grâce. GDD 1143942006 "
"CÔTE-DES-NEIGES COMMUNITY RECREATION CENTRE","$202,453.33","2015 financial contribution to the summer camp "
"CÔTE-DES-NEIGES COMMUNITY RECREATION CENTRE","$35,290.70","2015 financial contribution for recreational activities "
"CÔTE-DES-NEIGES COMMUNITY RECREATION CENTRE","$4,058.00","Financial contribution under the Programme d’assistance financière au loisir des personnes handicapées "
"CÔTE-DES-NEIGES COMMUNITY RECREATION CENTRE","$7,062.00","Animated activities at parc Jean-Brillant "
"CÔTE-DES-NEIGES COMMUNITY RECREATION CENTRE","$17,000.00","Pour bien animer project "
"CÔTE-DES-NEIGES COMMUNITY RECREATION CENTRE","$5,000.00","Trustee for the Société d’histoire de la CDN "
"MOUNTAIN SIGHTS COMMUNITY CENTRE ","$125,300.00","2015 financial contribution for recreational activities "
"CÔTE-DES-NEIGES COMMUNITY RESOURCE CENTRE ","$70,000.00","2015 financial contribution – management of centre "
"CENTRE DE SERVICES PARTAGÉS DU QUÉBEC","$45,879.54","Cell phone service for the year 2015 (all departments) "
"CENTRE DE SERVICES PARTAGÉS DU QUÉBEC","$10,139.13","Cell phone service for the year 2014 (all departments) "
"CIMA+ S.E.N.C.","$34,224.53","Professional services contract for structural engineering in connection with structural repairs on the concrete shelter in the Madison yard of the municipal roads department"
"CLUB DE PLEIN AIR NDG ","$42,000.00","2015 financial contribution for recreational activities "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","$3,833,031.87","Snow removal contract – Winter 2014-2015 "
