"VILLE DE MONTRÉAL  ";;;;;;
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce";;;;;;
"Listes des bons de commandes approuvés pour août 2017";;;;;;
;;;;;;
;;;;;;
"Dernier Approbateur";"Numéro bon ";"Date ";"Nom fournisseur";"Numéro de";"Montant de ";"Description"
;"commande";"d'approbation";;"l'entente";"l'engagement";
"ANGELY, MARION";1220068;"15-août-17";"BATTAH - AVOCATS S.E.N.C.R.L.";;"1 125,99";"Conseiller en relation de travail"
;1219839;"14-août-17";"LOGISTIQUE DLVRD INC.";;"17,66";"Service - Postal, messagerie"
;1219859;"14-août-17";"MEDICUS";;"1 942,27";"Botte de travail"
;1218220;"01-août-17";"TELE-UNIVERSITE";;"88,00";"Conseiller en recrutement et évaluation des compétences"
"BAUDIN, CYRIL";1219554;"10-août-17";"ELECTRONIQUE ADDISON";;"209,87";"Accessoires pour appareil de communication"
;1221063;"21-août-17";;;"336,97";"Appareil de communication"
;1180775;"03-août-17";"LAVE AUTO 88 INC.";;"218,36";"Service - Lavage de véhicules"
;1219976;"14-août-17";"WILLIAM SCULLY LIMITEE";;"100,37";"Service - Infographie, graphisme"
"BOUTIN, PIERRE";1216357;"04-août-17";"GROUPE SANYVAN INC.";;"13 504,02";"Service - Vidange de puisards et regards"
;1211759;"15-août-17";"ENGLOBE CORP.";;"6 427,36";"Service - Traitement/valorisation de matières organiques"
;1219721;"11-août-17";"PEPINIERE A. MUCCI INC.";1214413;"8 220,52";"Mélange de terre"
;1201127;"21-août-17";"RENE JUILLET";;"616,80";"Conseiller en santé et sécurité"
"BROUSSEAU, HELENE";1180677;"14-août-17";"L'ASSOCIATION DE TAXI DIAMOND";;"262,47";"Service – Taxi"
"CARRIER, RAYMOND";1221110;"22-août-17";"A.D.I. ART DESIGN INTERNATIONAL INC.";;"106,56";"Mobilier de bureau"
;1219836;"14-août-17";"BELL CANADA";1110344;"524,94";"Service - Diffusion"
;1220305;"16-août-17";"LA COMPAGNIE ROBERT BURY LTEE";;"686,67";"Bois de construction"
;1222339;"29-août-17";"LEMAIRE, MARC";;"1 194,50";"Matériel pour loisir, jeu"
;1220841;"18-août-17";"LES IMPRESSIONS PLASTIMAX";;"3 611,57";"Service - Reprographie"
;1221314;"23-août-17";"RICHARD, CAROLINE";;"2 034,14";"Participation à la Bourse Rideau 2017"
;1220306;"16-août-17";"R.M. LEDUC & CIE INC.";;"572,94";"Adhésifs"
;1212495;"10-août-17";"TRANSPORT & ACCORD";;"2 362,22";"Service - Transport de valeurs"
;1220650;"17-août-17";"VILLA TOSCANA";;"2 282,84";"Service traiteur"
;1221125;"22-août-17";"VOXEL FACTORY INC.";;"9 656,75";"Imprimante 3D"
"DESJARDINS, STEVE";1218674;"03-août-17";"ARBO-DESIGN INC.";;"6 220,51";"Service - Abattage, émondage, élagage"
"FRAPPIER, GENEVIEVE";1219726;"11-août-17";"AQUATECHNO SPECIALISTES AQUATIQUES";;"809,72";"Équipement pour piscine et jeu d'eau"
;1218673;"03-août-17";"BOO! DESIGN INC.";;"645,67";"Panneau, affiches publicitaires"
;1219661;"10-août-17";"COPIE TOUS SERVICES";;"188,98";"Service - Impression"
