VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour novembre 2017,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1236911,10-nov.-2017,ASS. PARITAIRE SANTE & SECURITE AFF. MUN.,,"15,00",Frais - Déplacement
,1240940,29-nov.-2017,CENTRE PATRONAL DE SST DU QC (C P S S T Q ),,"251,97",Formation en développement interpersonnel/ relationnel
,1238311,16-nov.-2017,GROUPE LE CORRE ET ASSOCIES INC.,,"236,22",Formation en développement interpersonnel/ relationnel
,1177421,17-nov.-2017,L'ASSOCIATION DE TAXI DIAMOND DE MTL,,"209,97",Service - Transport en taxi
,1237057,10-nov.-2017,TRAUMA-SECOURS INC.,,"112,84",Fournitures et matériel médical
,1240050,24-nov.-2017,VERMEER CANADA INC.,,"933,91",Système d'oreillette
"BAUDIN, CYRIL",1236329,8-nov.-2017,AFFICHAGE SST,,"313,92",Affichage SST
,1240489,28-nov.-2017,BOUTY INC,1013950,"323,57",Chaise et fauteuil ergonomique
,1235835,7-nov.-2017,C.M.S. ENTREPRENEURS GENERAUX INC.,,"2 099,75",Service - Sérigraphie
,1239104,21-nov.-2017,,,"1 450,14",Location - Véhicule lourd et machinerie lourde
,1240358,27-nov.-2017,,,"2 141,74",Service - Déneigement
,1240794,29-nov.-2017,,,"1 673,24",Location - Véhicule lourd et machinerie lourde
,1176272,8-nov.-2017,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,819838,"52,49",Service - Destruction de documents
,1239175,21-nov.-2017,EDUMICRO INC.,,"1 364,84",Service - Formation en informatique
,1239852,24-nov.-2017,EQUIPEMENTS TWIN INC.,,"320,21","Pile, batterie"
,1240502,28-nov.-2017,GROUPE LINCORA INC,952798,"1 103,59","Classeur, étagère et armoire de rangement"
,1235878,7-nov.-2017,KOMUTEL INC,,"992,70",Logiciel des appels aux cols bleus
,1240152,27-nov.-2017,LES ESES ELECTRIQUES A. & R. LTEE,,"2 679,28",Entrepreneur en électricité
,1238971,21-nov.-2017,PRODUITS SANY,1048199,"600,95",Équipements et produits d'entretien
,1236563,9-nov.-2017,RENO-DEPOT,,"151,76",Accessoire et pièce de remplacement pour outil
,1236341,8-nov.-2017,TENAQUIP LIMITED,,"471,77",Fournitures et matériel médical
,1239851,24-nov.-2017,,,"217,74",Accessoire et pièce de remplacement pour outil
,1240501,28-nov.-2017,,,"4 115,77","Classeur, étagère et armoire de rangement"
,1234644,1-nov.-2017,U. CAYOUETTE INC.,,"314,92",Abris temporaires
,1235875,8-nov.-2017,VALLEE INC.,,"7 127,29",Grappin
"BEAUCHEMIN, SONIA",1236954,21-nov.-2017,9365-0513 QUEBEC INC.,,"15 763,87","Service - Infographie, graphisme et impression"
