VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour avril 2018,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1267226,04-12-18,9178-0296 QUEBEC INC.,,"2 913,40",Service - Formation en développement interpersonnel/relationnel
,1252518,04-06-18,ALERTE COURRIER P.M.E.,,"314,96","Service - Postal, messagerie"
,1267904,04-16-18,EXPERTMED SOLUTIONS INC.,,"1 889,77",Médecin
,1266026,04-06-18,MEDIGESTAL INC.,,"1 312,34",Médecin
"BAUDIN, CYRIL",1266049,04-06-18,ACIER LACHINE INC,,"3 350,87",Métal et alliage
,1267568,04-13-18,COMPUGEN INC.,1163303,"699,90",Ordinateur et accessoire
,1258905,04-11-18,ETL ELECTRONIQUE LTEE,,"524,94","Location - Équipement de localisation, mesurage"
,1268745,04-19-18,GENFIR INC,,"366,72",Tuyauterie et raccord
,1267440,04-13-18,INFYNIA.COM INC.,,"984,26","Service - Agence de sécurité, gardiennage"
,1268738,04-19-18,PRODUITS SANY,1048199,"287,38",Produit d'entretien ménager
,1266041,04-06-18,U. CAYOUETTE INC.,,"92,31",Accessoire et fourniture pour animaux
,1268743,04-19-18,,,"28,35",Tuyauterie et raccord
,,04-19-18,,,"251,72",Gant
,1267525,04-13-18,C.P.U. DESIGN INC.,1164102,"3 129,15",Ordinateur et accessoire
,1265462,04-04-18,LES PLANTATIONS LETOURNEAU (PEPINIERE),,"16 157,58",Végétaux
,,04-19-18,,,"314,58",Gazon
"BEAUCHEMIN, SONIA",1268486,04-18-18,AGENCE DOUBLE XPRESSO INC.,,"719,16",Service - Impression
,1268503,04-18-18,,,"314,96","Service - Infographie, graphisme"
,1269435,04-24-18,,,"44,62","Service - Infographie, graphisme"
,1266495,04-10-18,ALEXANDRE CAMPEAU-VALLEE,,"440,95",Service - Photographie
,1266511,04-10-18,BOO! DESIGN INC.,,"997,38",Service - Impression
,1269131,04-23-18,,,"1 354,34",Service - Impression
,1270316,04-27-18,,,"414,70",Service - Impression
,1266530,04-10-18,DISTRIBUTIONS LG INC.,1152445,"1 043,58",Service - Distribution
,1268469,04-18-18,,,"1 565,36",Service - Distribution
,1269636,04-25-18,,,"1 616,81",Service - Distribution
,1270321,04-27-18,,,"209,97",Service - Distribution
,1269029,04-20-18,HEC MONTREAL,,"1 423,37",Service - Formation en développement interpersonnel/relationnel
,1255104,04-20-18,JEAN BEAUDIN,,"5 249,37",Service - Photographie
,1266483,04-10-18,LES TRADUCTIONS TERRY KNOWLES INC.,,"223,10","Service - Rédaction, révision"
,1266532,04-10-18,MONTREAL STENCIL INC,,"21,65","Article, accessoire et équipement de bureau"
,,04-10-18,,,"13,12",Service - Transport de colis (Frais de transport)
,1269124,04-23-18,,,"13,12",Service - Transport de colis (Frais de transport)
,,04-23-18,,,"21,65","Article, accessoire et équipement de bureau"
,1257650,04-13-18,PUBLICATION 9417,,"1 196,86","Service - Postal, messagerie"
,1266507,04-10-18,TABASKO COMMUNICATIONS INC.,,"47,24","Service - Infographie, graphisme"
,1266561,04-10-18,,,"414,70",Service - Impression
,1268028,04-17-18,,,"125,98","Service - Infographie, graphisme"
,1268426,04-18-18,,,"125,98","Service - Infographie, graphisme"
,1268433,04-18-18,,,"70,34",Service - Impression
,1268452,04-18-18,,,"120,74",Service - Impression
