VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juin 2018,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1252518,06-04-18,ALERTE COURRIER P.M.E.,,"314,96","Service - Postal, messagerie"
,1281702,06-15-18,APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES,,"2204,74",Service - Formation en développement interpersonnel/relationnel
,1282467,06-20-18,CENTRE D'EVALUATION POUR ALCOOLIQUES ET TOXICOMANES,,"4063,02",Médecin
,1250525,06-04-18,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC,,"230,97",Service - Formation en développement interpersonnel/relationnel
,1250543,06-04-18,EDUMICRO INC.,,"755,91",Service - Formation en développement interpersonnel/relationnel
"BAUDIN, CYRIL",1280525,06-12-18,3289419 CANADA (COLLINS),,"224,54","Bottes, souliers et couvre-chaussures"
,1280533,06-12-18,,,"242,07","Bottes, souliers et couvre-chaussures"
,1280272,06-11-18,ADDISON ELECTRONIQUE MONTREAL,,"178,31",Composante électronique
,1280639,06-28-18,APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES,,"315,00",Service - Formation en santé et sécurité
,,06-12-18,,,"750,00",Service - Formation en santé et sécurité
,1280604,06-12-18,CLEMENT HYDRAULITECH INC.,,"602,15",Accessoire et pièce de remplacement pour outil
,1283586,06-27-18,COMPUGEN INC.,,"28,84",Composante électronique
,1278148,06-04-18,C.P.U. DESIGN INC.,,"1950,60",Ordinateur et accessoire
,1278613,06-05-18,DILMONT INC.,,"1186,35","Huile, graisse et lubrifiant"
,1278644,06-05-18,ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC.,,"296,08",Équipement de protection
,1258905,06-11-18,ETL ELECTRONIQUE LTEE,,"157,48","Location - Équipement de localisation, mesurage"
,,06-11-18,,,"157,48","Location - Équipement de localisation, mesurage"
,1278591,06-05-18,GIVESCO INC.,,"196,64",Outil manuel
,,06-05-18,,,"1067,83",Bois de construction
,1278615,06-05-18,HERCULES SLR INC.,,"300,90",Attache-câble
,1278603,06-05-18,HILTI CANADA LTEE,,"227,82",Outil manuel
,1282571,06-20-18,LABRADOR SOURCE,1263989,"3665,32",Eau potable - Mesure d'urgence
,1280832,06-13-18,LAFARGE CANADA INC,,"3149,62","Bloc de béton, pavé, pierre et brique"
,1280327,06-26-18,L'EMPREINTE IMPRIMERIE INC.,,"67,54",Service - Impression
,,06-11-18,,,"1049,87",Service - Impression
,1278622,06-05-18,PRODUITS SANY,1048199,"640,12",Produits d'entretien ménager
,1280412,06-11-18,,1048199,"446,20","Produit de papier, papier hygiénique"
,1282175,06-19-18,,1048199,"101,59",Produits d'entretien ménager
,,06-19-18,,1048199,"22,11",Équipement d'entretien manuel
,1282501,06-20-18,SECURMAX,,"31,50",Service - Transport de colis (Frais de transport)
,,06-20-18,,,"881,89",Service - Serrurier
,1278652,06-05-18,SERRURIER LACROIX LTEE,,"62,99",Produit de cadenassage
,1278595,06-05-18,TENAQUIP LIMITED,,"89,13","Véhicule lourd, machinerie lourde et camion avec équipement spécialisé"
,1278653,06-07-18,U. CAYOUETTE INC.,,"104,99","Serrurerie, ferronnerie et accessoires de portes et fenêtres"
,,06-05-18,,,"29,21","Serrurerie, ferronnerie et accessoires de portes et fenêtres"
,,06-05-18,,,"169,95",Outil manuel
,1283701,06-27-18,,,"72,95","Adhésif, colle"
,,06-27-18,,,"616,82","Huile, graisse et lubrifiant"
,1283779,06-27-18,,,"419,74",Accessoires et pièces de remplacement pour outil
"BEAUCHEMIN, SONIA",1277633,06-14-18,AGENCE DOUBLE XPRESSO INC.,,"178,48",Service - Impression
,,06-01-18,,,"577,43",Service - Impression
,1276209,06-14-18,BOO! DESIGN INC.,,"89,24","Service - Infographie, graphisme"
,1277496,06-14-18,,,"5454,78","Service - Infographie, graphisme"
,,06-19-18,,,"335,96","Service - Infographie, graphisme"
"BEAUCHEMIN, SONIA",1280851,06-13-18,,,"215,22",Service - Impression
,1278706,06-05-18,DISTRIBUTIONS LG INC.,1152445,"241,47",Service - Distribution
,,06-05-18,,1152445,"262,47",Service - Distribution
,1281188,06-13-18,,1152445,"331,24",Service - Distribution
,,06-22-18,,1152445,"250,40",Service - Distribution
,1281187,06-13-18,ENSEIGNES BARBO INC.,,"4383,23","Service - Infographie, graphisme"
,1278717,06-05-18,LES TRADUCTIONS TERRY KNOWLES INC.,,"127,30","Service - Rédaction, révision"
,1280789,06-12-18,LOCATION GERVAIS (1985) INC.,,"897,35",Location - Meuble
,1282051,06-19-18,LOGISTIQUE DLVRD INC.,,"37,62","Service - Postal, messagerie"
,1277622,06-14-18,ROULEAUX DE PAPIER & RUBANS J.L. INC.,,"218,16","Papier, article de papeterie"
,,06-01-18,,,"218,16","Papier, article de papeterie"
,1266507,06-05-18,TABASKO COMMUNICATIONS INC.,,"47,24","Service - Infographie, graphisme"
,1269057,06-22-18,,,"3023,64","Service - Infographie, graphisme"
,,06-05-18,,,"125,98","Service - Infographie, graphisme"
,1273911,06-14-18,TRADUCTIONS TOM DONOVAN INC.,,"519,89","Service - Rédaction, révision"
,1281312,06-14-18,ULYSSE LEMERISE,,"299,21",Service - Photographie
"BEDARD, LUCIE",1277982,06-04-18,ALERTE COURRIER P.M.E.,,"21,38","Service - Postal, messagerie"
,1280538,06-12-18,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC,,"47,24",Service - Formation en développement interpersonnel/relationnel
,1279310,06-07-18,DE BONS PETITS PLATS... PRET A MANGER CUISINE INC.,,"225,72",Service - Traiteur
,1277977,06-04-18,IMPRIMERIE MULTI-FORMAT,,"70,34","Service - Infographie, graphisme"
,1282065,06-26-18,L'ASSOCIATION QUEBECOISE D'URBANISME A.Q.U,,"4,96",Service - Transport de colis (Frais de transport)
,,06-19-18,,,"36,69","Guide, brochure et affiche"
,1249056,06-18-18,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE S.E.N.C.R.L.",,"5643,08",Huissier de justice
,,06-21-18,,,"1889,77",Huissier de justice
"BOUTIN, PIERRE",1282593,06-20-18,LABRADOR SOURCE,1263989,"10509,51",Eau potable - Mesure d'urgence
,1280407,06-11-18,LES CONSULTANTS S.M. INC.,,"2225,73",Entrepreneur en structures d'ouvrages de génie civil
,1265838,06-19-18,LES JARDINS MICHEL CORBEIL INC.,,"127,03",Végétaux
,,06-19-18,,,"314,96",Service - Transport de colis (Frais de transport)
,1265462,06-12-18,LES PLANTATIONS LETOURNEAU (PEPINIERE),,"41,99",Végétaux
,1281657,06-15-18,LOCATION LORDBEC INC.,,"22792,79",Entrepreneur en routes et canalisation
,1282868,06-22-18,,,"22756,04",Entrepreneur en routes et canalisation
,1283825,06-27-18,,,"22814,31",Entrepreneur en routes et canalisation
"BROUSSEAU, HELENE",1279388,06-08-18,BUREAU EN GROS,,"68,23",Accessoires et fournitures de bureau
,,06-07-18,,,"220,44",Accessoires et fournitures de bureau
"CARRIER, RAYMOND",1278525,06-05-18,9264-6272 QUEBEC INC.,,"4724,44",Service - Formation en développement interpersonnel/relationnel
,1278684,06-05-18,CANUPEASE INC.,,"467,19",Matériel artistique
,,06-05-18,,,"26,25",Service - Transport de colis (Frais de transport)
,1283961,06-28-18,C.P.U. DESIGN INC.,,"1409,81",Ordinateur et accessoire
,1280780,06-12-18,FERO TRANSPORT INC.,,"1742,79",Service - Transport de colis (Frais de transport)
,1250729,06-04-18,IDENCO CANADA LTEE,,"188,98",Matériel pour communication graphique
,1282812,06-21-18,JOSEE BROUILLARD,,"2713,57",Matériel artistique
,,06-21-18,,,"1286,43",Service - Artiste visuel
,1283606,06-27-18,PUBLICITE SAUVAGE INC.,,"341,21",Service - Impression
,1255857,06-19-18,QUINCAILLERIE COTE DES NEIGES,,"629,92","Matériel de fixation, clou, vis"
,1277632,06-14-18,SOLOTECH INC,,"15,75",Service - Transport de colis (Frais de transport)
,1282268,06-19-18,ULINE CANADA CORP,,"394,75",Équipement et fourniture d'emballage et d'entreposage
,,06-19-18,,,"63,12",Service - Transport de colis (Frais de transport)
,1279494,06-08-18,VOXEL FACTORY INC.,,"10,50",Service - Transport de colis (Frais de transport)
,,06-08-18,,,"236,01","Encre, toner"
"GAUTHIER, STEPHANE",1277533,06-19-18,BRAULT & BOUTHILLIER LTEE,,"5,25","Articles, accessoires et équipement de bureau"
"HOOPER, CHANTAL",1283950,06-28-18,ABC RECREATION QUEBEC INC.,,"477,69",Équipement et fourniture pour terrain de jeux
,1279173,06-07-18,ACKLANDS - GRAINGER INC.,,"1503,42",Service - Formation en santé et sécurité
,1280502,06-12-18,,,"86,74",Accessoires et pièces de remplacement pour outil
,1283724,06-27-18,,,"23,31","Matériel de fixation, clou, vis"
,1283791,06-27-18,A. & J.L. BOURGEOIS LTEE,,"1343,84","Bloc de béton, pavé, pierre et brique"
,,06-27-18,,,"519,69",Service - Transport de colis (Frais de transport)
,1280915,06-13-18,AUX AUBEPINES 2002 INC.,,"459,85","Graine, semence, bulbe et bouture"
,1283167,06-22-18,BALAI LE PERMANENT INC.,,"3897,66",Service - Nettoyage place publique
,1278686,06-12-18,CONTOUR D'IMAGE INC.,,"183,73","Papier, article de papeterie"
,,06-05-18,,,"566,93","Papier, article de papeterie"
,,06-05-18,,,"21,00",Service - Transport de colis (Frais de transport)
,1280636,06-12-18,ENTREPRISES D'EXTERMINATION MAHEU LTEE,,"2099,75","Service - Extermination, fumigation"
,1278630,06-05-18,ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC.,,"40,95","Bottes, souliers et couvre-chaussures"
,1278664,06-05-18,,,"144,88","Bottes, souliers et couvre-chaussures"
,1283705,06-27-18,,,"152,23","Bottes, souliers et couvre-chaussures"
,1278597,06-05-18,EQUIPEMENTS STINSON (QUEBEC) INC.,,"183,73",Service - Transport de colis (Frais de transport)
,,06-05-18,,,"2028,36",Peinture - résidentielle et industrielle
,1278689,06-05-18,GESTION NOVAFOR INC.,,"635,43",Équipement de protection
,1278800,06-06-18,,,"97,80",Outil manuel
,,06-06-18,,,"476,10",Accessoires vestimentaires
,,06-06-18,,,"336,27",Équipement contre les chutes
,1280475,06-12-18,,,"54,85",Accessoires vestimentaires
,,06-12-18,,,"70,48",Accessoires et pièces de remplacement pour outil
