VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juillet 2018,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1252518,07-04-18,ALERTE COURRIER P.M.E.,,"524,94","Service - Postal, messagerie"
,1287890,07-19-18,BOUTY INC,,"307,27",Chaise et fauteuil ergonomique
,1286314,07-11-18,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC (C P S S T Q ),,"296,97",Service - Formation en développement interpersonnel/relationnel
,1285692,07-09-18,CONSULTATION TK,,"2464,67",Conseiller en relation de travail
,1285733,07-09-18,DESJARDINS SECURITE DU BATIMENT,,"262,63",Pièces électriques
,1250543,07-09-18,EDUMICRO INC.,,"83,99",Service - Formation en développement interpersonnel/relationnel
,1288308,07-20-18,L'AIDE A L'AUTONOMIE PHYSIQUE ET PROFESSIONNELLE (A.A.P.P.) INC.,,"3583,22",Conseiller en ergonomie
,1288321,07-20-18,LES CONSULTANTS VERRET INC.,,"1648,30",Service - Formation en développement interpersonnel/relationnel
,1287884,07-19-18,LES EXPERTISES JACQUES DESNOYERS INC.,,"997,38",Médecin
,1288838,07-24-18,"NATHALIE FAUCHER, ARBITRE INC.",,"212,60",Conseiller en relation de travail
,1285761,07-09-18,ORDRE DES CONSEILLERS RESS HUMAINES & RELATIONS INDUSTRIELLES AGREES DU QUEBEC,,"1181,11",Service - Formation en développement interpersonnel/relationnel
,1285751,07-09-18,TADROS ORTHOPEDIE M.D. INC.,,"2880,86",Médecin
,1288841,07-24-18,,,"1364,84",Médecin
"BAUDIN, CYRIL",1283791,07-16-18,A. & J.L. BOURGEOIS LTEE,,"104,99","Bloc de béton, pavé, pierre et brique"
,1286885,07-13-18,CLOTURE SECUR,,"6824,19","Service - Travaux de barricade, sécurisation de puits d'accès"
,1287736,07-18-18,ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC.,,"125,98","Bottes, souliers et couvres-chaussure"
,1287762,07-18-18,GESTION NOVAFOR INC.,,"848,98",Accessoires et pièces de remplacement pour machinerie et équipement industriel
,1284420,07-03-18,GROUPE ABS INC.,1188594,"963,26",Service - Collecte de matières dangereuses (DDD)
,1287097,07-16-18,GROUPE DTT INC.,,"1835,17",Accessoires et pièces de remplacement pour machinerie et équipement industriel
,,07-16-18,,,"1993,71",Outils électriques
,1287739,07-18-18,JEAN GUGLIA & FILS ENR.,,"222,79",Équipement de protection
,1287731,07-18-18,LEE VALLEY TOOLS LTD.,,"132,28",Outils manuels
,,07-18-18,,,"36,75",Service - Transport de colis (Frais de transport)
,1287727,07-18-18,LES EQUIPEMENTS RAPCO INC,,"27,91",Accessoires et pièces de remplacement pour machinerie et équipement industriel
,,07-18-18,,,"244,20",Accessoires et pièces de remplacement pour machinerie et équipement industriel
,1287820,07-18-18,PRODUITS SANY,1048199,"27,84",Produits d'entretien ménager
,,07-18-18,,,"788,13","Produits de papier, papier hygiénique"
,1284467,07-03-18,SITE INTEGRATION PLUS INC.,,"3459,34",Composante électronique
,1287140,07-16-18,TENAQUIP LIMITED,,"177,53",Fournitures et accessoires scientifiques
,1284531,07-16-18,U. CAYOUETTE INC.,,"262,47",Service - Transport de colis (Frais de transport)
,,07-03-18,,,"1364,82",Appareil et système de climatisation
,1285607,07-09-18,,,"71,35","Éclairage, lumière"
,1286387,07-11-18,WILLIAM SCULLY LIMITEE,,"41,99",Service - Transport de colis (Frais de transport)
,,07-11-18,,,"253,86","Service - Infographie, graphisme"
"BEAUCHEMIN, SONIA",1268503,07-16-18,AGENCE DOUBLE XPRESSO INC.,,"136,48","Service - Infographie, graphisme"
,,07-18-18,,,"330,71",Service - Impression
,1269045,07-24-18,TABASKO COMMUNICATIONS INC.,,"1587,41",Service - Impression
,1284422,07-03-18,ASSOCIATION PULMONAIRE DU QUEBEC,,"178,48","Service - Infographie, graphisme"
,1276209,07-06-18,BOO! DESIGN INC.,,"2726,52","Service - Infographie, graphisme"
,1285618,07-09-18,JEAN BEAUDIN,,"398,95",Service - Photographie
"BEAUCHEMIN, SONIA",1270695,07-04-18,LES MORDUS DE LA LANGUE INC.,,"784,78","Service - Rédaction, révision"
,1286990,07-13-18,MONTREAL STENCIL INC,,"23,94","Articles, accessoires et équipement de bureau"
,1284718,07-04-18,SOLUTIONS DE RECONNAISSANCE RIDEAU INC,,"4329,68",Objets souvenir-cadeaux pour les retraités
,1269057,07-24-18,TABASKO COMMUNICATIONS INC.,,"4010,52","Service - Infographie, graphisme"
,1273911,07-06-18,TRADUCTIONS TOM DONOVAN INC.,,"508,14","Service - Rédaction, révision"
"BEDARD, LUCIE",1284961,07-05-18,ALERTE COURRIER P.M.E.,,"36,96","Service - Postal, messagerie"
,1287365,07-17-18,AVEC PLAISIRS,,"223,79",Service - Traiteur
,1289524,07-27-18,,,"244,66",Service - Traiteur
,1285574,07-09-18,CUISINE-ATOUT ENTREPRISE D'INSERTION INC.,,"194,50",Service - Traiteur
,1284881,07-04-18,LES INSTRUMENTS I.T.M. INC./I.T.M. INSTRUMENTS INC.,,"9481,95","Équipement de détection, inspection"
,1286064,07-10-18,MONTREAL STENCIL INC,,"45,59",Service - Transport de colis (Frais de transport)
,1286289,07-11-18,SOPHIE CROISETIERE,,"3500,00",Conseiller en protection du patrimoine
"BOUTIN, PIERRE",1288407,07-23-18,ACKLANDS - GRAINGER INC.,,"230,57",Appareil et système de ventilation
,1289743,07-30-18,ADDISON ELECTRONIQUE MONTREAL,,"104,94",Composante électronique
,1288697,07-24-18,ASSOCIATION QUEBECOISE DES TRANSPORTS,,"3149,62",Service - Formation en santé et sécurité
,1288508,07-23-18,BATTERIES DIXON INC.,,"140,16","Pile, batterie"
,1288422,07-23-18,CLEMENT HYDRAULITECH INC.,,"683,26",Borne d'incendie
,1289320,07-26-18,ENTRETIEN MANA INC.,,"1579,33",Service - Entretien d'immeuble
,1287692,07-18-18,GAZTEK INC,,"104,99",Service - Transport de colis (Frais de transport)
