VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour octobre 2018,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1295502,10-10-18,ARBITRAGE ,,"259,84",Conseiller en relation de travail
,1302023,10-11-18,EXPERTISE NEUROSCIENCES INC.,,"3359,60",Médecin
,1305051,10-26-18,LES EQUIPEMENTS RAPCO INC,,"5229,79",Articles de papeterie
,1301851,10-10-18,"LOUISE VIAU, ARBITRE",,"918,64",Conseiller en relation de travail
,1305058,10-26-18,MAERIX INC.,,"498,69",Service - Formation en développement interpersonnel/relationnel
,1262956,10-03-18,PHENIX CONSEIL,,"984,26",Médecin
"BAUDIN, CYRIL",1302817,10-16-18,ACIER LACHINE INC,,"1900,27",Métal et alliage
,1300073,10-01-18,APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES,,"600,00",Service - Formation en développement organisationnel et technique
,1304435,10-23-18,BALAI LE PERMANENT INC.,,"3165,37",Service - Nettoyage place publique
,1301560,10-09-18,ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC.,,"1230,44",Vêtements de travail
,1301508,10-09-18,GIVESCO INC.,,"150,65",Accessoires et pièces de remplacement pour outil
,1302795,10-16-18,,,"922,84","Huile, graisse et lubrifiant"
,,10-16-18,,,"455,86","Corde, chaîne et câble"
,1304028,10-22-18,MARTECH SIGNALISATION INC.,,"79,26",Signalisation routière
,1304260,10-23-18,POLY-EXPERT DISTRIBUTION INC.,,"503,77",Accessoires et pièces de remplacement pour outil
,1302809,10-16-18,U. CAYOUETTE INC.,,"138,54",Matériel de finition
,1303305,10-17-18,UNIVERSITE LAVAL,,"99,74",Service - Formation en développement organisationnel et technique
"BEAUCHEMIN, SONIA",1263937,10-29-18,BOO! DESIGN INC.,,"314,96",Service - Impression
,1280851,10-05-18,,,"937,40","Service - Infographie, graphisme"
,1305218,10-26-18,CHAPITEAU MONTREAL INC.,,"874,02",Location - Chapiteau
,1264300,10-22-18,DISTRIBUTIONS LG INC.,1152445,"453,55",Service - Distribution
,1304050,10-22-18,INFOGRAFILM,,"1499,22",Service - Impression
,1265082,10-05-18,JEAN BEAUDIN,,"1254,60",Service - Photographie
,1304733,10-24-18,MIDES PHOTOCOPIEURS & FAX,,"237,58","Réparation/Entretien - Photocopieur, télécopieur, imprimante et numériseur"
,1301365,10-05-18,MONTREAL STENCIL INC,,"37,37","Articles, accessoires et équipement de bureau"
,1270324,10-05-18,TABASKO COMMUNICATIONS INC.,,"1338,59","Service - Infographie, graphisme"
"BEDARD, LUCIE",1302515,10-15-18,AVEC PLAISIRS,,"199,62",Service - Traiteur
,1302220,10-11-18,CUISINE-ATOUT ENTREPRISE D'INSERTION INC.,,"194,50",Service - Traiteur
,1303151,10-17-18,IMPRIMERIE MULTI-FORMAT,,"70,34","Service - Infographie, graphisme"
,1304862,10-25-18,KOREM LOGICIELS ET DONNEES GEOSPATIAUX INC.,,"462,26",Logiciel et progiciel
,1303628,10-18-18,LA FONDATION RUES PRINCIPALES,,"205,46","Frais - Inscription pour colloque, conférence, séminaire et congrès"
,1249056,10-15-18,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE S.E.N.C.R.L.",,"1994,76",Huissier de justice
,1302212,10-11-18,TAXELCO INC.,,"38,33","Frais - Transport en commun, taxi, stationnement"
,1252795,10-03-18,VINACOUSTIK INC.,,"4829,42",Conseiller - Protection et contrôle de la qualité de l'air
,1305322,10-29-18,ZESTE DU MONDE,,"228,35",Service - Traiteur
"BOUTIN, PIERRE",1304397,10-23-18,ARPENPRO INC.,,"6929,17",Arpenteur-géomètre
,1305116,10-29-18,DEMIX AGREGAT,1301348,"19740,38","Sel de déglaçage, abrasif"
,1300066,10-01-18,ENTREPRISE T.R.A. (2011) INC.,,"6981,67",Service - Marquage de rue
,1305383,10-29-18,GROUPE ABS INC.,,"5228,38",Entrepreneur en structures d'ouvrages de génie civil
,1293810,10-12-18,GROUPE SANYVAN INC.,,"13586,17","Service - Déglaçage, nettoyage et désobstruction de conduites"
,1303945,10-19-18,,,"22798,04",Équipement - Véhicule et appareil
