VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour novembre 2018,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1306108,1 novembre 2018,SANTINEL INC.,,"1030,98",Fournitures et matériel médical
,1250525,1 novembre 2018,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC (C P S S T Q ),,"120,64",Service - Formation en développement interpersonnel/relationnel
,1306955,6 novembre 2018,LOGIKERGO,,"2309,72",Médecin
,1288838,6 novembre 2018,"NATHALIE FAUCHER, ARBITRE INC.",,"220,47",Conseiller en relation de travail
"BAUDIN, CYRIL",1307810,8 novembre 2018,3289419 CANADA (COLLINS),,"204,37","Bottes, souliers et couvres-chaussure"
,1310042,20 novembre 2018,ADDISON ELECTRONIQUE MONTREAL,,"55,84",Ordinateur et accessoires
,1307522,7 novembre 2018,AEROCHEM INC.,,"1749,77","Huile, graisse et lubrifiant"
,,7 novembre 2018,,,"89,24",Frais de transport
,1311417,26 novembre 2018,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC (C P S S T Q ),,"671,92",Service - Formation en développement organisationnel et technique
,1307076,6 novembre 2018,ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC.,,"107,09",Vêtements de travail
,1309515,16 novembre 2018,,,"278,21",Vêtements de travail
,1309889,19 novembre 2018,HILTI CANADA LTEE,,"58,79","Serrurerie, ferronnerie et accessoires de portes et fenêtres"
,1307986,9 novembre 2018,KOMUTEL INC,,"1012,55",Service - Téléphonie
,1311717,27 novembre 2018,LES PAVAGES CHENAIL INC.,1192867,"6724,45","Asphalte, bitume"
,1310664,21 novembre 2018,MONTREAL STENCIL INC,,"143,06","Articles, accessoires et équipement de bureau"
,1310303,20 novembre 2018,ONOMAT CANADA INC.,,"78,74",Frais de transport
,,20 novembre 2018,,,"8346,51",Signalisation routière
,1311760,27 novembre 2018,P.R. DISTRIBUTION INC.,,"126,30","Matériel de fixation, clou, vis"
,1307204,6 novembre 2018,PRODUITS SANY,1048199,"103,15",Produits de papier
,,6 novembre 2018,,1048199,"7,37",Équipement d'entretien manuel
,,6 novembre 2018,,1048199,"5,75",Produits d'entretien ménager
,1309846,19 novembre 2018,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,,"141,94",Appareil d'entretien
,,19 novembre 2018,,,"355,91",Outils à batterie
,1311754,27 novembre 2018,,,"20,84",Accessoires et pièces de remplacement pour outil
,1306599,2 novembre 2018,TECH-MIX,,"3149,62","Asphalte, bitume"
"BEAUCHEMIN, SONIA",1296355,19 novembre 2018,CNW-TELBEC INC,,"1230,45",Service - Production multimédia
,1311542,29 novembre 2018,INFOGRAFILM,,"509,19",Service - Impression
,1308090,9 novembre 2018,MP REPRODUCTIONS INC.,,"572,29","Service - Infographie, graphisme"
,1270324,9 novembre 2018,TABASKO COMMUNICATIONS INC.,,"4206,84","Service - Infographie, graphisme"
"BEDARD, LUCIE",1311565,27 novembre 2018,AUTOBUS GALLAND LTEE,,"351,71",Service - Transport autobus
,1309535,16 novembre 2018,AVEC PLAISIRS,,"248,36",Service - Traiteur
,1308787,14 novembre 2018,L'ASSOCIATION DE TAXI DIAMOND DE MONTREAL LTEE,,"19,66","Frais - Transport en commun, taxi, stationnement"
"BOUTIN, PIERRE",1310623,21 novembre 2018,C.M.S. ENTREPRENEURS GENERAUX INC.,,"22827,42","Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif"
,1311196,23 novembre 2018,GROUPE SDM INC,,"22653,36","Service - Déglaçage, nettoyage et désobstruction de conduites"
,1308533,13 novembre 2018,P2K MONTREAL,,"9112,91",Réparation de conduit d'aqueduc
"CARRIER, RAYMOND",1307195,6 novembre 2018,"BRAC. BUREAU DE RECHERCHE, D'ANIMATION ET DE CONSULTATION",,"1175,86","Service - Formation, animation d'atelier"
,1306845,5 novembre 2018,BRODART CANADA COMPAGNY,,"390,55",Meuble
,1310595,21 novembre 2018,CARR MCLEAN LIMITED,,"971,13",Accessoires et fourniture de décoration
,1310590,21 novembre 2018,CONVERBIT INC.,,"1204,21",Équipement de réseau
,1308577,13 novembre 2018,COOPERATIVE DE L'UNIVERSITE LAVAL,,"270,87",Ordinateur et accessoire
,1308569,13 novembre 2018,C.P.U. DESIGN INC.,,"109,19",Ordinateur et accessoire
,1310911,22 novembre 2018,DISCOUNT LOCATION D'AUTOS ET CAMIONS,,"5981,14","Location - Automobile, camionnette et fourgonnette"
,1309952,19 novembre 2018,FARONICS CORPORATION,,"303,94",Logiciel et progiciel
,1312088,28 novembre 2018,LES SOLUTIONS DE RANGEMENT PRISMA INC.,,"3133,88",Meuble
,1250083,5 novembre 2018,PUBLICITE SAUVAGE INC.,,"221,52",Service - Impression
"CARRIER, RAYMOND",1250084,29 novembre 2018,QUINCAILLERIE COTE DES NEIGES,,"629,92","Matériel de fixation, clou, vis"
,1306327,1 novembre 2018,R.M. LEDUC & CIE INC.,,"380,05",Fourniture de classement et de rangement
,1311236,26 novembre 2018,,,"924,62",Meuble
,1302474,1 novembre 2018,SOLOTECH INC,,"15,75",Frais de transport
,1306848,5 novembre 2018,,,"250,82",Équipement de scène
,1306837,5 novembre 2018,TEKNION ROY ET BRETON INC.,,"5147,98",Table de travail et table de conférence
,1306321,1 novembre 2018,ULINE CANADA CORP,,"155,10",Fourniture de classement et de rangement
,1309986,19 novembre 2018,VOXEL FACTORY INC.,,"1071,51",Composante électronique
"CHAMBEROT, ROBERT",1311762,27 novembre 2018,BRAULT & BOUTHILLIER LTEE,,"170,26",Articles de papeterie
