VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour février 2019,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1325373,02-01-19,ALERTE COURRIER P.M.E.,,"524,94","Service - Postal, messagerie"
,1318358,02-26-19,DENIS NADEAU,,"31,11",Conseiller en relation de travail
,1328477,02-15-19,LES EDITIONS YVON BLAIS INC,,"139,00","Guide, brochure et affiche"
,1306955,02-04-19,LOGIKERGO,,"2399,49",Médecin
,1325396,02-01-19,TOTALMED SOLUTIONS SANTE INC.,,"2099,75",Médecin
"BAUDIN, CYRIL",1328748,02-18-19,ADDISON ELECTRONIQUE MONTREAL,,"121,65",Ordinateur et accessoire
,1327265,02-11-19,BOUTY INC,1013950,"629,78",Chaise et fauteuil ergonomique
,1330313,02-26-19,BUREAU EN GROS,,"128,28",Ordinateur et accessoire
,1327720,02-13-19,CONSTRUCTION DJL INC,,"1050,81","Asphalte, bitume"
,1327973,02-14-19,DEMENAGEMENT LA CAPITALE,,"4346,48",Service - Déménagement
,1327049,02-11-19,ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC.,,"293,96",Accessoires vestimentaires
,1325701,02-06-19,GLOBEX COURRIER EXPRESS INTERNATIONAL INC.,1302177,"419,95","Service - Postal, messagerie"
,1324698,02-01-19,PRODUITS SANY,1048199,"185,96",Produits d'entretien ménager
,1325363,02-01-19,,,"236,86",Produits d'entretien ménager
,1326157,02-06-19,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,,"76,63",Accessoires et pièces de remplacement pour outil
,,02-06-19,,,"292,92",Outils électriques
,1325298,02-01-19,REMORQUAGE BURSTALL CONRAD,,"7559,10",Service - Remorquage
,1327581,02-12-19,STEPH OUTILLAGE 2010 INC.,,"333,86",Outils manuels
,1323658,02-12-19,TENAQUIP LIMITED,,"70,59",Outils à batterie
"BEAUCHEMIN, SONIA",1329162,02-20-19,COOPERATIVE DE L'UNIVERSITE LAVAL,,"1549,62",Ordinateur et accessoire
,1320118,02-15-19,DISTRIBUTIONS LG INC.,1152445,"8084,02",Service - Distribution
,1325278,02-01-19,LES MORDUS DE LA LANGUE INC.,,"68,24","Service - Rédaction, révision"
,1325258,02-01-19,ROGERS COMMUNICATIONS CANADA INC.,1137408,"3149,62",Service - Téléphonie cellulaire
,1328784,02-18-19,TABASKO COMMUNICATIONS INC.,,"6299,25",Service - Impression
"BEDARD, LUCIE",1325248,02-01-19,AVEC PLAISIRS,,"234,29",Service - Traiteur
,1329877,02-22-19,COMPUGEN INC.,1163303,"335,35","Articles, accessoires et équipement de bureau"
,1328953,02-19-19,ECOLE NATIONALE D'ADMINISTRATION PUBLIQUE,,"1128,62",Service - Formation en développement organisationnel et technique
,1328279,02-14-19,IMPRIMERIE MULTI-FORMAT,,"70,34","Service - Infographie, graphisme"
,1329056,02-19-19,LES INDUSTRIES POLY INC.,1322302,"12598,50",Service - Reprographie
,1329048,02-19-19,LINDA KEMERER,,"1750,00",Service - Formation en développement interpersonnel/relationnel
,1327569,02-12-19,MONTREAL STENCIL INC,,"88,89","Articles, accessoires et équipement de bureau"
,1325267,02-01-19,ROGERS COMMUNICATIONS CANADA INC.,1137408,"1299,75",Service - Téléphonie cellulaire
,1328276,02-14-19,ZESTE DU MONDE,,"238,85",Service - Traiteur
"BOUTIN, PIERRE",1323637,02-01-19,DEVELOTECH INC.,,"15748,12",Service - Éclairage de rue et signalisation
,1325369,02-01-19,DISTRIBUTION SPORTS LOISIRS - INSTALLATION INC.,,"14030,01",Équipement et fourniture pour terrain de jeux
,1320109,02-18-19,LABRADOR SOURCE,1263989,"8680,05",Eau potable - Mesure d'urgence
,1326845,02-08-19,LES JARDINS W.G. CHARLEBOIS INC.,,"12401,78",Produits horticoles
,1327163,02-11-19,LOCATION LORDBEC INC.,,"22782,29",Entrepreneur en routes et canalisation
,1323628,02-01-19,MIOVISION TECHNOLOGIES INC.,,"15748,12","Service - Recherche, étude de marché"
,1325690,02-04-19,SOCIETE CANADIENNE DES POSTES,,"9448,87","Service - Postal, messagerie"
"CARRIER, RAYMOND",1319927,02-27-19,3308341 CANADA INC.,,"15,75",Service - Transport de colis (Frais de transport)
,1329232,02-20-19,BIBLIOTHECA CANADA INC.,,"1023,31",Service - Soutien informatique
,1310595,02-12-19,CARR MCLEAN LIMITED,,"93,42",Service - Transport de colis (Frais de transport)
