VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour septembre 2019,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1325373,03/09/2019,ALERTE COURRIER P.M.E.,,"524,94","Service - Postal, messagerie"
,1343424,05/09/2019,BIRON GROUPE SANTE INC.,,"524,94","Infirmier, infirmier auxiliaire"
,1371147,26/09/2019,CENTRE D'EVALUATION POUR ALCOOLIQUES ET TOXICOMANES (CEPAT) INC.,,"4220,5",Médecin
,1318358,19/09/2019,DENIS NADEAU,,"223,1",Conseiller en relation de travail
"BAUDIN, CYRIL",1360082,16/09/2019,APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES,,170,Service - Formation en développement organisationnel et technique
,1367417,06/09/2019,ATELIER D'USINAGE INNOVA PRECISION 2014,,"241,42",Équipement sécurité
,,06/09/2019,,,"116,28",Équipement sécurité
,1370037,20/09/2019,GESTIONS JEAN-MARC GAGNE LTEE - CANADIAN TIRE,,"377,7",Accessoires de sport
,1368033,11/09/2019,GIVESCO INC.,,"83,78",Bois de construction
,1368146,11/09/2019,GROUPE BISSONNETTE INC.,,"1659,48","Huile, graisse et lubrifiant"
,1369526,18/09/2019,GROUPE YULI INC.,,"1123,62",Montage et quincaillerie pour signalisation lumineuse et éclairage urbain
,1367398,06/09/2019,JEAN GUGLIA & FILS ENR.,,"1002,02",Accessoires et pièces de remplacement pour outil
,1367616,09/09/2019,LES INDUSTRIES MC ASPHALT LTEE,,"986,88","Adhésif, colle"
,1370845,25/09/2019,MAGASIN MYRLANIE INC. - CANADIAN TIRE,,"246,7",Électroménager
,1366663,06/09/2019,PRODUITS SANY,,"698,86",Produits d'entretien ménager
,1367420,06/09/2019,STELEM,,"496,59",Système d'alimentation (air-gaz) pour matériel roulant
,,06/09/2019,,,"2997,39",Outils manuels
,1368145,11/09/2019,,,"383,2",Outils à batterie
,1366710,06/09/2019,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,,"31,5",Produits pour manutention
,,03/09/2019,,1191511,"264,56","Puisard, chambre de vanne, trou d'homme et regard"
,1367400,06/09/2019,TENAQUIP LIMITED,,"192,76",Outils électriques
,1369504,18/09/2019,VIA PREVENTION,,"629,92",Service - Formation en développement organisationnel et technique
"BEAUCHEMIN, SONIA",1369233,17/09/2019,AVEC PLAISIRS,,"449,45",Service - Traiteur
,1363578,17/09/2019,DISTRIBUTIONS LG INC.,1152445,"2099,75",Service - Distribution
,1366953,04/09/2019,FONDS EINICK GITELMAN,,300,Breuvage et nourriture
,1367810,10/09/2019,JOREL AMTHOR,,"713,91","Programmeur, analyste"
,1367520,09/09/2019,LA CENTRALE A IMAGES INC.,,"1574,81",Service - Photographie
,1370050,20/09/2019,LA PRESSE LTEE,,"4565,66","Service - Agence de publicité, promotion"
,1361091,24/09/2019,MARGARET SANKEY,,"524,94",Traducteur
,1354743,17/09/2019,TABASKO COMMUNICATIONS INC.,,"1049,87","Service - Infographie, graphisme"
,1354748,09/09/2019,THE SUBURBAN NEWSPAPER,,"1207,36",Service - Placement média d'avis public
,1367534,09/09/2019,YANNICK DERY,,"1826,26",Service - Revue de presse
"BEDARD, LUCIE",1369106,17/09/2019,BEC FIN INTERNATIONAL INC.,,"234,12",Service - Traiteur
,1367442,06/09/2019,CUISINE-ATOUT ENTREPRISE D'INSERTION INC.,,"194,5",Service - Traiteur
,1326459,17/09/2019,SOCIETE CANADIENNE DES POSTES,,"3149,62","Service - Postal, messagerie"
"BOUTIN, PIERRE",1371291,27/09/2019,COOPERATIVE DE L'UNIVERSITE LAVAL,,"229,92",Ordinateur et accessoire
,1368150,11/09/2019,LOCATION GUAY,,"20997,5","Location - Véhicule lourd, machinerie lourde et camion avec équipement spécialisé"
,1369058,17/09/2019,NORDIKEAU INC,,"8306,61",Service - Inspection de conduites
,1368952,16/09/2019,TRANSPORT MOTTILLO ET FILS INC.,,"22047,37",Entrepreneur en routes et canalisation
"CARRIER, RAYMOND",1369653,19/09/2019,AUVITEC LTEE,,"944,89",Location - Équipement de scène
,1367444,06/09/2019,EXCELLE MACHINE A COUDRE,,"1468,78",Matériel artistique
,1320546,20/09/2019,L'EMPREINTE IMPRIMERIE INC.,,"35,7","Service - Infographie, graphisme"
,1369564,18/09/2019,LES CONSULTANTS OLYMPE INC.,1353377,"367,46",Conseiller en ergonomie
"CARRIER, RAYMOND",1354775,17/09/2019,LOCATION D'OUTILS SIMPLEX S.E.C.,,"252,5",Réparation/Entretien - Équipement de scène
,1369103,17/09/2019,,,"1298,88",Réparation/Entretien - Équipement de scène
,1367500,09/09/2019,LOCATION JEAN LEGARE LTEE,,"185,75",Service - Déménagement
,1370101,23/09/2019,,,"156,36",Service - Déménagement
,1365415,03/09/2019,MAGASINS BEST BUY LTEE,,"40,3",Appareil électronique
,1369097,17/09/2019,TECHNIVAPEUR,,"680,32",Service - Entretien d'immeuble
,1371123,26/09/2019,,,"1405,78",Service - Entretien d'immeuble
,1366602,03/09/2019,ULINE CANADA CORP,,"342,24",Équipement de scène
"CHAMBEROT, ROBERT",1370204,23/09/2019,BRAULT & BOUTHILLIER LTEE,,"733,3",Matériel artistique
,1369350,18/09/2019,BRODART CANADA COMPAGNY,,"75,12",Fourniture de classement et de rangement
,1369207,17/09/2019,LES IMPRESSIONS PLASTIMAX,,"1918,39",Formulaires
"DESJARDINS, STEVE",1368377,12/09/2019,ARBO-DESIGN INC.,,"3149,62","Service - Abattage, émondage, élagage"
,1367868,10/09/2019,CAPREA EXPERTS IMMOBILIERS INC.,1347295,"1023,63",Évaluateur agréé
,1368157,11/09/2019,MORNEAU SHEPELL LTD.,,"1574,82",Service - Formation en développement organisationnel et technique
,1369104,17/09/2019,VINACOUSTIK INC.,,"1207,36",Conseiller - Protection et contrôle de la qualité de l'air
"GAUDREAULT, GUYLAINE",1367128,05/09/2019,BOUTY INC,1013950,"629,78",Chaise et fauteuil ergonomique
,1369117,17/09/2019,CARDIN JULIEN INC.,,"5868,8",Architecte
,1326681,26/09/2019,CLEB LABORATOIRE INC.,,"3359,6",Entrepreneur en bâtiments de tout genre
,1371155,26/09/2019,COMPUGEN INC.,,"855,02",Ordinateur et accessoire
,1367864,10/09/2019,LES CONSTRUCTIONS ARGOZY INC.,,"14330,79",Service - Aménagement paysager
,1369276,17/09/2019,ROSE-MARIE GOULET,,"2270,88",Service - Artiste visuel
,1369113,17/09/2019,SOLIDCAD UNE COMPAGNIE CANSEL,,"1034,13",Logiciel et progiciel
,1369277,17/09/2019,VISION SOLAIRE CONSULTANTS INC.,,"4960,66",Produits d'éclairage
"GAUTHIER, STEPHANE",1367451,06/09/2019,BRAULT & BOUTHILLIER LTEE,,"348,61",Matériel artistique
,1370194,23/09/2019,ULINE CANADA CORP,,"279,91",Articles de papeterie
"HOOPER, CHANTAL",1359780,18/09/2019,ACKLANDS - GRAINGER INC.,,"358,01",Service - Formation en santé et sécurité
,1369518,18/09/2019,ALBERT VIAU DIVISION EMCO CORPORATION,,"1097,64",Tuyauterie et raccord
,1369942,20/09/2019,MINISTRE DES FINANCES,,"598,44",Service - Formation en développement organisationnel et technique
,1366880,04/09/2019,NOVAFOR EQUIPEMENT INC.,,"501,52",Équipement de sécurité
,1370196,23/09/2019,SOCIETE INTERNATIONALE D'ARBORICULTURE QUEBEC INC. (S.I.A.Q.),,"881,89",Service - Formation en développement organisationnel et technique
,1369530,18/09/2019,STELEM,,"94,49",Produits de branchement
,1369568,18/09/2019,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1277188,"7545,83","Puisard, chambre de vanne, trou d'homme et regard"
,1358737,05/09/2019,ULINE CANADA CORP,,"11,16",Service - Transport de colis (Frais de transport)
"LIMPERIS, APOSTOLOS MARIO",1339733,06/09/2019,BATTERIES NATECH INC.,,"2015,13",Attache-câble
,1359471,09/09/2019,CENTAURECOM INC.,,"53,55",Vêtements de travail
,1370886,25/09/2019,COVER-TECH INC.,,"3753,3",Équipement et fourniture pour terrain de jeux
,1370641,25/09/2019,LES INSTALLATIONS SPORTIVES AGORA INC.,,"1275,6",Réparation/Entretien - Équipement de sport et terrain de jeux
,1367307,06/09/2019,PRODUITS SANY,,"259,67",Équipement d'entretien manuel
,1367498,09/09/2019,,,"984,68",Réparation/Entretien - Appareil d'entretien
,1370443,24/09/2019,,1048199,"138,1",Produits d'entretien ménager
,1370473,24/09/2019,,1048199,"123,68",Distributeur de produit nettoyant
,,24/09/2019,,1048199,"140,15",Produits de papier
,1370474,24/09/2019,,1048199,"531,41",Produits de nettoyage
,1370640,25/09/2019,USD GLOBAL INC.,,"340,17",Équipement d'entretien manuel
"OUELLET, MARIE-CLAUDE",1367824,10/09/2019,ENGLOBE CORP.,,"1672,37",Ingénieur civil - Structure de bâtiment
