VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour janvier 2020,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ARCAND, PATRICIA
",1383219,2020-01-10,(S.P.C.A) SOCIETE POUR LA PREVENTION DE LA CRUAUTE ENVERS LES ANIMAUX,,"8500,76",Service - Dressage
"BAUDIN, CYRIL",1393871,2020-01-22,ASSOCIATION QUEBECOISE DES TRANSPORTS,,"4199,50",Service - Formation en développement organisationnel et technique
,1395998,2020-01-30,,,"6299,25",Service - Formation en développement organisationnel et technique
,1396356,2020-01-31,ASTUS INC.,,"314,96","Location - Équipement de localisation, mesurage"
,1392600,2020-01-17,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,1339456,"261,42",Service - Destruction de documents
,1395198,2020-01-28,ECOLE DE TECHNOLOGIE SUPERIEURE,,"920,74",Service - Formation en développement organisationnel et technique
,1390658,2020-01-10,ENTRAC INC.,,"3149,62",Service - Formation en développement organisationnel et technique
,1392422,2020-01-16,EXTERMINATION INSPEX INC.,,"818,90","Service - Extermination, fumigation"
,1393794,2020-01-22,INOLEC,,"362,16",Outils électriques
,1385621,2020-01-06,J.A. LARUE INC,,"33,07",Service - Transport de colis (Frais de transport)
,1383181,2020-01-07,PRODUITS SANY,,"10,50",Service - Transport de colis (Frais de transport)
,1386574,2020-01-16,REVOLUTION ENVIRONMENTAL SOLUTIONS LP,,"698,17",Service - Collecte de matières dangereuses (DDD)
,1392417,2020-01-16,SERRUMAX INC,,"1049,87","Serrurerie, ferronnerie et accessoires de portes et fenêtres"
,1394121,2020-01-23,TECH-MIX,1380942,"3149,62","Asphalte, bitume"
,1391068,2020-01-13,VIA PREVENTION,,"629,92",Service - Formation en développement organisationnel et technique
"BEAUCHEMIN, SONIA",1392243,2020-01-16,ENTRAC INC.,,"908,14",Conseiller en ergonomie
,1393855,2020-01-22,VIDEOTRON LTEE .,,"545,93",Service - Télédiffusion
"BEDARD, LUCIE",1392953,2020-01-20,BEC FIN INTERNATIONAL INC.,,"252,39",Service - Traiteur
,1394150,2020-01-23,BOUTY INC,,"1322,55",Chaise et fauteuil ergonomique
,1394143,2020-01-23,COMPUGEN INC.,,"1146,47",Logiciel et progiciel
,1395264,2020-01-28,C.P.U. DESIGN INC.,,"5004,46",Ordinateur et accessoire
,1373759,2020-01-07,IMPRIMERIE MULTI-FORMAT,,"76,64","Service - Infographie, graphisme"
,1329056,2020-01-15,LES INDUSTRIES POLY INC.,1322302,"2403,79",Service - Reprographie
,1391445,2020-01-14,MONTREAL STENCIL INC,,"137,93","Articles, accessoires et équipement de bureau"
,1391622,2020-01-14,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE S.E.N.C.R.L.",,"15748,12",Huissier de justice
,1326459,2020-01-16,SOCIETE CANADIENNE DES POSTES,,"1048,08","Service - Postal, messagerie"
,1392960,2020-01-20,XYLEME INC.,,"12598,50","Service - Abattage, émondage, élagage"
"BOUTIN, PIERRE",1380443,2020-01-06,DEMIX AGREGAT,1382085,"5397,20","Sel de déglaçage, abrasif"
,1392973,2020-01-20,DEVELOTECH INC.,,"10498,75",Mobilier pour protection et sécurité
,1391489,2020-01-14,GROUPE AKIFER INC.,1376033,"20997,50",Service - Analyse et essai en laboratoire
,1395958,2020-01-30,LES SERRES RIEL INC,,"14313,30",Produits horticoles
,1392965,2020-01-20,MIOVISION TECHNOLOGIES INC.,,"15748,12","Service - Recherche, étude de marché"
"CARRIER, RAYMOND",1391530,2020-01-14,ACCES COMMUNICATIONS,,"2183,74",Location - Appareil électronique
,1393780,2020-01-22,ALIMENTATION ERIC DA PONTE INC. - METRO,,"839,90",Breuvage et nourriture
,1394127,2020-01-23,BIBLIO RPL LTEE,,"440,73",Fournitures de classement et de rangement
,1393811,2020-01-22,BOO! DESIGN INC.,,"2624,69",Service - Impression
,1381662,2020-01-22,BRAULT & BOUTHILLIER LTEE,,"37,75",Instrument de musique
,1395487,2020-01-29,,,"53,39",Appareil électronique
,1391459,2020-01-14,CHARLES BOIVIN,,"1574,81",Réparation/Entretien - Équipement de scène
,1391562,2020-01-14,,,"1049,87",Réparation/Entretien - Équipement de scène
,1392713,2020-01-17,COOPERATIVE DE L'UNIVERSITE LAVAL,,"414,23",Ordinateur et accessoire
,1393765,2020-01-22,COOPERATIVE DE TAXI MONTREAL,,"629,92",Service - Transport automobile
,1395659,2020-01-29,DEMENAGEMENT PERFORMANCE (PMI),,"7244,14",Service - Déménagement
,1393789,2020-01-22,IDENCO CANADA LTEE,,"1049,87",Service - Impression
,1391526,2020-01-14,L'EMPREINTE IMPRIMERIE INC.,,"1469,82",Service - Impression
,1391576,2020-01-14,,,"2099,75",Service - Impression
,1393775,2020-01-22,,,"1049,87",Service - Impression
,1393538,2020-01-21,LES FILMS CRITERION PICTURES,,"1574,81",Service - Droit d'auteur
,1391470,2020-01-14,PEAUSEIDON EAU DE SOURCE NATURELLE,,"419,95",Breuvage et nourriture
,1393785,2020-01-22,PIANO ESMONDE WHITE,,"2624,69",Réparation/Entretien - Équipement de scène
,1394165,2020-01-23,PLANTERRA LTEE,,"2494,50",Service - Entretien paysager
"CARRIER, RAYMOND",1393769,2020-01-22,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,,"524,94",Matériel artistique
,1394100,2020-01-23,PRODUCTIONS CAS PUBLIC,,"5487,70",Service - Artiste de la scène
,1393784,2020-01-22,PUBLICITE SAUVAGE INC.,,"2099,75",Service - Impression
,1390251,2020-01-09,QUINCAILLERIE COTE DES NEIGES,,"524,94","Serrurerie, ferronnerie et accessoires de portes et fenêtres"
,1391476,2020-01-14,,,"629,92",Matériel artistique
,1391570,2020-01-14,,,"1574,81",Matériel artistique
,1393813,2020-01-22,,,"2099,75",Matériel artistique
,1392710,2020-01-17,SERVICE GAGNON ELECTRIQUE INC.,,"4409,47",Ingénieur électrique
,1390983,2020-01-13,SOLUTIONS DE CONTROLE ET DE SECURITE CS INC.,,"8698,21",Service - Soutien informatique
,1390255,2020-01-09,TEKNION ROY ET BRETON INC.,,"1170,30",Bureau (Mobilier autoportant)
,1395102,2020-01-28,U-HAUL CO. (CANADA) LTEE,,"2713,35",Service - Entreposage
,1392398,2020-01-16,ULINE CANADA CORP,,"402,37","Articles, accessoires et équipement de bureau"
,1394787,2020-01-27,,,"928,51",Équipement de manutention
,1393820,2020-01-22,VIDEOTRON LTEE .,,"892,39","Service - Accès internet, ligne téléinformatique"
"CHAMBEROT, ROBERT",1394788,2020-01-27,ULINE CANADA CORP,,"743,80",Équipement et fourniture d'emballage et d'entreposage
