VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour mars 2020,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1404957,2020-03-16,GLOBEX COURRIER EXPRESS INTERNATIONAL INC.,,"314,96","Service - Postal, messagerie"
"BAUDIN, CYRIL",1407113,2020-03-30,AEROCHEM INC.,,"1860,01","Huile, graisse et lubrifiant"
,1405071,2020-03-16,APCHQ - ASSOCIATION PROVINCIALE DES CONSTRUCTEURS D'HABITATION DU QUEBEC,,"4658,15",Service - Formation en développement organisationnel et technique
,1393871,2020-03-10,ASSOCIATION QUEBECOISE DES TRANSPORTS,,"3149,62",Service - Formation en développement organisationnel et technique
,1403963,2020-03-10,DISTRIBUTION JEAN BLANCHARD INC.,,"4461,97",Mobilier pour propreté
,1403809,2020-03-09,ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC.,,"271,87","Bottes, souliers et couvre-chaussures"
,1398937,2020-03-19,GESTION P. VENNE INC. - CANADIAN TIRE,,"1574,81",Accessoires et pièces de remplacement pour outil
,1396598,2020-03-19,INTER PROPANE INC.,,"1049,87","Carburant (essence, diesel, kérosène)"
,1403954,2020-03-10,J.A. LARUE INC,,"840,32","Matériel de fixation, clou, vis"
,1405099,2020-03-16,ONOMAT CANADA INC.,,"78,74",Service - Transport de colis (Frais de transport)
,,2020-03-16,,,"2094,50","Support, renfort et équerre"
,1394658,2020-03-18,RENO-DEPOT,,"2099,75",Accessoires et pièces de remplacement pour machinerie et équipement industriel
,1405354,2020-03-17,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",,"1259,85",Huissier de justice
,1403960,2020-03-10,UAP INC.,,"31,34",Accessoires et pièces de remplacement pour machinerie et équipement industriel
,1405322,2020-03-17,VORTEX STRUCTURES AQUATIQUES INTERNATIONALES INC,,"209,97","Réparation/Entretien - Bassin d'eau, jardin aquatique et fontaine -"
"BEAUCHEMIN, SONIA",1402946,2020-03-04,ERIC NORMANDIN- SERVICE DE CONCEPTION VISUELLE,,"682,42","Service - Infographie, graphisme"
,1404956,2020-03-16,GLOBEX COURRIER EXPRESS INTERNATIONAL INC.,,"314,96","Service - Postal, messagerie"
,1397886,2020-03-16,MARGARET SANKEY,,"1049,87",Traducteur
,1401787,2020-03-09,MONTREAL STENCIL INC,,"47,24","Articles, accessoires et équipement de bureau"
,,2020-03-09,,,"26,25",Service - Transport de colis (Frais de transport)
,1403762,2020-03-09,TABASKO COMMUNICATIONS INC.,,"1049,87","Service - Infographie, graphisme"
"BEDARD, LUCIE",1404717,2020-03-13,C.P.U. DESIGN INC.,1164102,"609,65",Ordinateur et accessoire
,1403919,2020-03-10,ECOLE NATIONALE D'ADMINISTRATION PUBLIQUE,,"175,00",Service - Formation en développement organisationnel et technique
,1403959,2020-03-10,GRIS ORANGE CONSULTANT INC.,,"5616,83",Conseiller en protection du patrimoine
,1403962,2020-03-10,LINDA KEMERER,,"1750,00",Service - Formation en développement organisationnel et technique
,1391622,2020-03-13,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE S.E.N.C.R.L.",,"4724,44",Huissier de justice
,1401572,2020-03-09,ROGERS COMMUNICATIONS CANADA INC.,1137408,"629,92",Service - Téléphonie cellulaire
"BOUTIN, PIERRE",1406432,2020-03-23,C.P.U. DESIGN INC.,1164102,"1137,22",Ordinateur et accessoire
"BROUSSEAU, HELENE",1406912,2020-03-27,9160-7580 QUEBEC INC. A/S GROUPE MACH INC.,,"2000,00",Cartes d'accès au bâtiment 5160 Décarie
"CARRIER, RAYMOND",1403172,2020-03-05,BRAULT & BOUTHILLIER LTEE,,"1122,75",Matériel artistique
,1404474,2020-03-12,FERO TRANSPORT INC.,,"734,91",Service - Transport de valeurs
,1406793,2020-03-26,SYSTEMES ELECTRO MECANIQUE S.E.M. INC,,"430,45",Service - Impression
,1395102,2020-03-11,U-HAUL CO. (CANADA) LTEE,,"15,00",Service - Entreposage
,1402423,2020-03-02,ULINE CANADA CORP,,"370,00",Fournitures d'expédition et étiquette
"DESJARDINS, STEVE",1403956,2020-03-10,CAPREA EXPERTS IMMOBILIERS INC.,1347295,"1023,63",Évaluateur agréé
,1401575,2020-03-09,ROGERS COMMUNICATIONS CANADA INC.,1137408,"2624,69",Service - Téléphonie cellulaire
"GAUDREAULT, GUYLAINE",1407163,2020-03-30,9160-7580 QUEBEC INC. A/S GROUPE MACH INC.,,"17784,88",Frais de stationnement 2020
,1404702,2020-03-13,"GAUDREAULT, SONIA",,"2116,12",Frais - Dépenses de fonction
,1406675,2020-03-25,LES EXPERTISES JACQUES DESNOYERS INC.,,"5249,37",Médecin
,1401567,2020-03-09,ROGERS COMMUNICATIONS CANADA INC.,1137408,"1049,87",Service - Téléphonie cellulaire
,1401570,2020-03-09,,1137408,"629,92",Service - Téléphonie cellulaire
"GAUDREAULT, SONIA",1406646,2020-03-25,CENTAURE.COM INC.,,"4825,17",Vêtement de travail
,1403027,2020-03-04,LOISIRS SPORTIFS COTE-DES-NEIGES - NOTRE-DAME-DE-GRACE,,"10498,75","Service - Installation, gestion, entretien"
,1402926,2020-03-04,MAGASINS BEST BUY LTEE,,"481,87",Appareil électronique
