VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour août 2020,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"BAUDIN, CYRIL",1431249,2020-09-21,3289419 CANADA (COLLINS,,"376,01$",Vêtements de travail
,1431210,2020-09-18,AEROCHEM INC.,,"1749,77$","Huile, graisse et lubrifiant"
,1429160,2020-09-04,BUREAU EN GROS,,"107,05$",Appareil électronique
,1432521,2020-09-29,ECO-GRAFFITI INC,,"7664,09$",Produits d'entretien ménager
,1430339,2020-09-15,GIVESCO INC.,,"1105,72$","Clôture, barrière, rampe et balustrade"
,1430340,2020-09-15,,,"871,18$",Bois de construction
,1431398,2020-09-21,LE PRO DU CB INC,,"715,29$",Appareil de communication
,1432549,2020-09-28,,,"370,97$",Appareil de communication
,1432485,2020-09-28,LES INDUSTRIES MC ASPHALT LTEE,,"3863,54$","Asphalte, bitume"
,1432480,2020-09-28,MULTI-PRESSIONS L.C. INC.,,"370,06$",Équipement d'entretien manuel
,1423334,2020-09-17,REGARD SECURITE,1255847,"42,00$",Équipement de protection
,1429301,2020-09-08,SOCIETE CANADIENNE DES POSTES,,"5249,37$","Service - Postal, messagerie"
,1432082,2020-09-24,TENAQUIP LIMITED,,"94,64$",Équipement de protection
"BEAUCHEMIN, SONIA",1430381,2020-09-15,IMPRESSION MULTI-SOURCES,,"2557,11$",Service - Impression
,1426255,2020-09-11,IMPRIME-EMPLOI,1376718,"3442,83$",Service - Distribution
,1422411,2020-09-18,SOCIETE CANADIENNE DES POSTES,,"3206,85$","Service - Postal, messagerie"
"BROUSSEAU, HELENE",1430803,2020-09-17,MARGARET SANKEY,,"787,41$",Traducteur
"CARRIER, RAYMOND",1429551,2020-09-09,3646084 CANADA INC,,"6076,68$",Service - Aménagement de bureau
,1431779,2020-09-23,HYPERTEC SYSTEMES INC,,"62,99 $",Ordinateur et accessoire
,1429748,2020-09-10,IDENCO CANADA LTEE,,"410,50$","Service - Infographie, graphisme"
,1428468,2020-09-01,L'AUTRE ATELIER,,"5511,84$",Bureau (Mobilier autoportant)
,1431777,2020-09-15,LOCATION SAUVAGEAU INC.,,"1538,10$",fourgonnette
,1427003,2020-09-15,SHOW SCENE DESIGN ET TECHNOLOGIE INC.,,"144,88$",scène
,1395889,2020-09-14,UBA INC.,1381890,"5626,80$",Produits d'entretien ménager
,1430514,2020-09-15,ULINE CANADA CORP,,"997,17$",rangement
"CHAMBEROT, ROBERT ",1431782,2020-09-23,ATELIER C.U.B,,"1920,00$",Bureau (Mobilier autoportant)
"DESJARDINS, STEVE",1428768,2020-09-02,CAPREA EXPERTS IMMOBILIERS INC.,1347295,"1023,63$",Évaluateur agréé
,1431218,2020-09-18,,1347295,"1023,63$",Évaluateur agréé
,1432630,2020-09-28,,1347295,"1023,63$",Évaluateur agréé
,1431219,2020-09-18,LES INSTRUMENTS I.T.M. INC./I.T.M. INSTRUMENTS INC.,,"1173,23$",Fourniture et accessoire scientifique
,1424877,2020-09-29,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE S.E.N.C.R.L.",,"2099,75$",Huissier de justice
"GAUDREAULT, GUYLAINE",1429841,2020-09-10,ALERTE COURRIER P.M.E.,,"524,94$","Service - Postal, messagerie"
,1432309,2020-09-25,CYCLONE SANTE INC.,,"9049,92$",Médecin
,1430261,2020-09-14,GLT + INC,,"13685,12$",Serv.prof. - Gestion de projet
,1432316,2020-09-25,LUMEN DIVISION DE SONEPAR CANADA INC.,,"16309,81$",bâtiment
,1398471,2020-09-30,MBI EXPERTS-CONSEILS,,"3884,53$",Ingénieur électrique
,1431176,2020-09-18,MORNEAU SHEPELL LTD,,"4199,50$",Service - Formation en santé et sécurité
,1426869,2020-09-08,P.LAPLANTE & ASSOCIES INC.,,"2624,69$",Conseiller en relation de travail
,1430539,2020-09-15,SCG ERGO INC.,,"1275,00$",Ergothérapeute
,1430295,2020-09-14,SOLIDCAD UNE COMPAGNIE CANSEL,,"1065,62$",Logiciel et progiciel
,1399201,2020-09-18,STEPHANE PROULX,,"3149,63$",Architecte
"GAUDREAULT, SONIA",1428987,2020-09-03,(OMHM) OFFICE MUNICIPAL D'HABITATION DE MONTREAL,,"11533,92$",Frais - Adhésion et cotisation
"GAUTHIER, STEPHANE",1430511,2020-09-15,BIBLIO RPL LTEE,,"583,42$",bureau
"HOOPER, CHANTAL",1428896,2020-09-03,ACKLANDS - GRAINGER INC.,,"887,67$",Service - Formation en santé et sécurité
,1429532,2020-09-09,CEGEP DE SAINT-LAURENT,,"577,43$",Service - Formation en développement organisationnel et technique
,1432995,2020-09-30,GROUPE SANYVAN INC.,,"2981,64$",et fosses septiques
,1429535,2020-09-09,LAFARGE CANADA INC,1402405,"7811,07$",Agrégat en vrac
,1429139,2020-09-04,SECURITE LANDRY INC,,"547,93$",Vêtements de travail
,1431848,2020-09-23,TECHNOLOGIA FORMATION,,"892,39$",Service - Formation en développement interpersonnel/relationnel
"LIMPERIS, APOSTOLOS MARIO",1431865,2020-09-23,PRODUITS SANY,1048199,"268,58$",Articles de papeterie
,1431359,2020-09-21,TENAQUIP LIMITED,,"1326,68$",jeux
"PLANTE, STÉPHANE",1431816,2020-09-23,FNX-INNOV INC.,,"17742,18$",Arpenteur-géomètre
,1431189,2020-09-18,GROUPE ABS INC.,1410240,"17674,91$",Ingénieur - Contrôle qualité
,1430536,2020-09-18,SHELLEX GROUPE CONSEIL INC.,,"41354,58$",Ingénieur - Contrôle qualité
,1430349,2020-09-15,TRANSPORT MOTTILLO ET FILS INC.,,"20997,50$",Entrepreneur en routes et canalisation
,1430896,2020-09-17,TRANSVRAC MONTREAL LAVAL INC.,,"22827,41$",Service - Transport de matières en vrac
"POLISENO, MARTIN",1432517,2020-09-28,ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE,,"104,99$",Vêtements de travail
