,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour août 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,commande,,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",1141702,ANTHONY BATTAH ,08-02-16,"2 992,14",,Avocat
,1145506,ASS. PARITAIRE SANTE & SECURITE MUNIC. ,08-24-16,"400,00",,Formation en développement organisationnel et technique
,1141701,CLINIQUE DE MED. INDUSTRIELLE DES LAURENTIDES ,08-02-16,"1 699,49",,Médecin
,1146033,CORPORATION D'URGENCES-SANTE ,08-29-16,"134,45",,Service - Transport ambulancier
,1142665,CYCLONE SANTE INC. ,08-08-16,"1 181,11",,Expertise médicale
"BOUTIN, PIERRE",1137785,ATELIER N. C. LAMOUREUX,08-10-16,"419,95",,Réparation/Entretien - Véhicule utilitaire
,1142341,CERIU,08-04-16,"1 049,87",,Formation en développement organisationnel et technique
,1145104,COMPUGEN INC.,08-23-16,"251,97",,Composante électronique
,1142941,JARDINS ZEILLINGER,08-09-16,"4 487,30",,Végétaux
,1102579,REMORQUAGE BURSTALL CONRAD,08-10-16,"4 199,50",,Service de remorquage
,1144771,ROGERS COMMUNICATIONS CANADA INC.,08-19-16,"9 448,87",1137408,Service - Téléphonie cellulaire
"CARRIER, RAYMOND",1141770,BRAULT & BOUTHILLIER LTEE,08-02-16,"4 270,79",,"Matériel pour loisir, jeu"
,1145265,,08-23-16,"593,91",,Matériel artistique
,1145268,,08-23-16,"882,21",,Matériel artistique
,1141768,COMPUGEN INC.,08-02-16,"2 817,86",,Ordinateur et accessoire
,1145274,FUTURE & ENERGIES,08-23-16,"726,62",,"Matériel pour loisir, jeu"
"DESJARDINS, STEVE",1142105,CARREFOUR JEUNESSE-EMPLOI DE CDN,08-03-16,"1 541,76",,Service - Entretien paysager
,1142359,,08-04-16,"3 420,00",,Service - Aménagement paysager
,1108967,CENTRE DE SERVICES PARTAGES DU QUEBEC,08-05-16,"2 939,65",,Service - Téléphonie cellulaire
,1144906,ELISABETH OLIGNY,08-22-16,"3 809,98",,Service - Gestion de la documentation/Archivage
,1141822,"HELENE DOYON, URBANISTE-CONSEIL INC.",08-02-16,"4 403,17",,Urbaniste - Aménagement du territoire
,1141165,LES EDITIONS YVON BLAIS INC,08-01-16,"005,95",,"Guide, brochure et affiche"
,1142219,LES PEPINIERES JASMIN LTEE,08-04-16,"5 444,52",,Végétaux
"DUPLANTIE, S-ANNE",1145357,9246-2571 QUEBEC INC.,08-24-16,"784,78",,Service - Entretien paysager
,1145845,,08-26-16,"5 322,87",,Service - Entretien paysager
,1143952,ACOUSTIKALAB INC.,08-16-16,"1 837,28",,Services professionnels étude de mesure de bruit
,1142664,CARREFOUR JEUNESSE-EMPLOI DE CDN,08-08-16,"600,00",,Service - Aménagement paysager
,1143960,,08-16-16,"6 492,00",,Service - Entretien paysager
,1143508,E.N.A.P.,08-12-16,"293,96",,Formation en développement interpersonnel/relationnel
,1142809,LES PEPINIERES JASMIN LTEE,08-08-16,"2 125,21",,Service - Fleuriste
,1143948,,08-16-16,"1 482,69",,Service - Fleuriste
,1144941,,08-22-16,"297,24",,Service - Fleuriste
,1143606,ROGERS AT&T***,08-12-16,"3 149,62",,Service - Téléphonie cellulaire
,1108966,TAXI-CHARGE,08-24-16,"241,47",,Service - Taxi
"FORTIN, ALAIN",1138898,ATELIER N. C. LAMOUREUX,08-19-16,"320,21",,Réparation/Entretien - Véhicule lourd et machinerie lourde
,1144765,EQUIPEMENTS TWIN INC.,08-19-16,"3 368,92",,Réparation/Entretien - Véhicule lourd et machinerie lourde
,1144697,REMORQUES SYLMAR INC,08-19-16,"807,13",,Réparation/Entretien - Véhicule utilitaire
"FRAPPIER, GENEVIEVE",1141762,AQUAM SPECIALISTE AQUATIQUE INC.,08-02-16,"583,31",,Équipement pour piscine et jeu d'eau
,1142767,,08-08-16,"045,90",,Équipement pour piscine et jeu d'eau
,1142768,AQUATECHNO SPECIALISTES AQUATIQUES INC.,08-08-16,"1 627,31",,"Service - Installation, gestion, entretien"
,1145260,,08-23-16,"1 732,29",,Équipement pour piscine et jeu d'eau
,1142611,ATELIER MULTI EXPERT (2003) INC.,08-05-16,"019,84",,Équipement d'entretien manuel
,1142668,AVENUE 77 INC,08-08-16,"080,38",,Drapeau
,1144833,MAHEU ET MAHEU INC.,08-19-16,"1 259,85",,"Service - Extermination, fumigation"
,1142059,PRODUITS SANY,08-03-16,"594,23",1048199,Produit d'entretien ménager
,1145119,,08-23-16,"951,71",1048199,Produit d'entretien ménager
,1145121,,08-23-16,"357,99",1048199,Produit et équipement d'entretien ménager
"GAUDREAULT, SONIA",1144242,AQUATECHNO SPECIALISTES AQUATIQUES INC.,08-17-16,"485,83",,Équipement pour piscine et jeu d'eau
,1131234,CLARICA GROUP INC.,08-18-16,"013,00",,Service - Frais de transport
,1145924,LES REALISATIONS FRANCOIS LAPRISE INC.,08-26-16,"5 039,40",,Service - Travaux de peinture
,1126373,LES TERMINAUX KENMONT INC.,08-29-16,"3 695,56",,Réparation/Entretien - Équipement de sport et terrain de jeux
,1140390,TAXI-CHARGE,08-16-16,"419,95",,Service de taxi
,1100832,UBA INC.,08-16-16,"375,86",1088867,Traitement de l'eau
"GENDRON, DENIS",1145616,2946-8980 QUEBEC INC.,08-25-16,"497,25",,Installation prise réseau
,1112440,CENTRE DE SERVICES PARTAGES DU QUEBEC,08-05-16,"976,38",,Service - Téléphonie cellulaire
,1146049,CPU DESIGN INC.,08-29-16,"000,00",,Logiciel et progiciel
,1146047,ENSEIGNES CMD INC.,08-29-16,"682,42",,Panneaux avec impression numérique
,1135457,LAROSE & FILS LTEE,08-25-16,"1 798,61",,Poubelle et conteneur
,1146046,LE DEVOIR,08-29-16,"9 186,41",C1072498,Service - Placement média d'avis public
,1144173,MONTREAL STENCIL INC,08-17-16,"022,89",,Article de bureau
,1143592,ROGERS AT&T***,08-12-16,"1 259,85",,Service - Téléphonie cellulaire
,1143595,,08-12-16,"1 574,81",,Service - Téléphonie cellulaire
,1143600,,08-12-16,"787,41",,Service - Téléphonie cellulaire
,1135522,STELEM,08-11-16,"22 519,82",,Scies hydrauliques
"HOOPER, CHANTAL",1143686,3289419 CANADA (COLLINS),08-12-16,"158,73",,Bottes de sécurité
,1144693,9262-1580 QUEBEC INC.,08-19-16,"1 244,10",,Produit et équipement d'entretien
,1143680,ALBERT VIAU DIVISION EMCO CORPORATION,08-12-16,"1 672,29",,Produit de branchement
,1142634,BOUTY INC,08-05-16,"659,73",1013950,Chaises
,1144691,COMITE TECHNIQUE DE CAMIONNAGE DU QUEBEC,08-19-16,"187,93",,Frais - Adhésion et cotisation
,1143673,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,08-12-16,"341,63",819838,Service - Destruction de documents
,1143689,DEVELOTECH INC.,08-12-16,"566,20",,Signalisation routière
,1143176,DUFRESNE STANDARD & SPECIAL INC.,08-10-16,"041,68",,"Matériel de fixation, clou, vis"
,1141544,ELECTRONIQUE ADDISON,08-01-16,"491,00",,Appareil électronique
,1142454,,08-04-16,"212,91",,Composante électronique
,1143217,GESTION P. VENNE INC. - CANADIAN TIRE,08-10-16,"104,98",,Appareil et système de ventilation
,1143697,GIVESCO INC.,08-12-16,"1 516,85",,Métal et alliage
,1145365,HEWITT EQUIPEMENT LTEE,08-24-16,"492,85",,Quincaillerie et courroie pour matériel roulant
"HOOPER, CHANTAL",1141577,IMPRESSION MULTI-SOURCES INC.,08-01-16,"086,09",,Formulaire
,1142556,L.L. LOZEAU LTEE.,08-05-16,"236,85",,Pile
,1141067,LOCATION D'AUTOS ET CAMIONS DISCOUNT,08-24-16,"6 215,26",,Location - Automobile
