;;;;;;
"VILLE DE MONTRÉAL  ";;;;;;
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce";;;;;;
"Listes des bons de commandes approuvés pour AOÛT 2014";;;;;;
;;;;;;
;;;;;;
"Dernier Approbateur";"Nom fournisseur";"Numéro bon ";"Date ";"Montant de ";;"Description"
;;"commande";"d'approbation";"l'engagement";;
;;;;;;
"BERGERON, GILLES";"ASSOCIATION DES RESPONSABLES AQUATIQUES DU QUEBEC";"983570";08/18/14;347,43;;"FORMATION  "
;"BRAULT & BOUTHILLIER LTEE";"983297";08/15/14;264,41;;"BIENS NON DURABLES"
;"CANADIAN TIRE";"983196";08/15/14;222,23;;"BIENS NON DURABLES"
;;"983281";08/15/14;71,69;;"BIENS NON DURABLES"
;;"983356";08/15/14;176,30;;"BIENS NON DURABLES"
;"CARREFOUR JEUNESSE-EMPLOI CDN";"984041";08/20/14;5 750,00;;"COTISATION PROFESSIONNELLE"
;"CHARLES, CHRISTOPHER";"982302";08/11/14;83,15;;"FRAIS DE TRANSPORT"
;"GROUPE SECURITE C.L.B. INC.";"984104";08/20/14;503,00;;"BIENS NON DURABLES"
;"LA SEMAINE DES ARTS";"983733";08/19/14;2 000,00;;"BIENS NON DURABLES"
;"LATITUDE 45/ARTS PROMOTION INC.";"981389";08/05/14;622,26;;"BIENS NON DURABLES"
;"LIBRAIRIE OLIVIERI";"984086";08/20/14;12,95;;"BIENS NON DURABLES"
;;"984097";08/20/14;136,05;;"BIENS NON DURABLES"
;"MONTREAL STENCIL INC";"984282";08/21/14;53,66;;"FOURNITURES DE BUREAU"
;"SOCIETE CANADIENNE DES AUTEURS, COMPOSITEURS & EDITEURS DE MUSIQUE (SOCAN)";"983326";08/15/14;409,64;;"ÉVÉNEMENT PUBLIC"
;"TEKNION ROY ET BRETON INC.";"983589";08/18/14;414,84;;"HONORAIRES PROFESSIONNELS"
;"VIDEOTRON S.E.N.C";"982265";08/11/14;69,43;;"TÉLÉAVERTISSEURS"
;;"982272";08/11/14;69,43;;"TÉLÉAVERTISSEURS"
"BOILEAU, LINDA";"BOYER, JEAN-FRANCOIS";"982256";08/11/14;137,53;;"BIENS NON DURABLES"
;"CERCLE CULTUREL CATALAN";"985324";08/27/14;350,00;;"ÉVÉNEMENT PUBLIC"
;"GALERIE DU THEATRE MAGOG - ART CONTEMPORAIN";"981398";08/05/14;1 555,66;;"CACHET D'ARTISTE"
;;"981401";08/05/14;777,83;;"CACHET D'ARTISTE"
