,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour AOÛT 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,,commande,d'approbation,l'engagement,
"ANGELY, MARION",LES AVOCATS LE CORRE ET ASSOCIES,1067028,28-août-15,"603,68 $ ",Formation en développement organisationnel et technique
,LES EDITIONS YVON BLAIS INC,1067023,28-août-15,"120,95 $ ",Guide de poche sur la Lois Santé & Sécurité au Travail
,,,,,
"BERGERON, GILLES",CHRISTIAN PAQUIN,1062479,03-août-15,"1 850,00 $ ",Conseiller en planification stratégique
,,,,,
"BOUCHER, DOMINIC",3289419 CANADA (COLLINS),1066468,26-août-15,"228,17 $ ",Bottes d'asphalte
,BRAULT DRAIN,1064360,13-août-15,"752,17 $ ",Accessoire et fourniture de plomberie
,DEMIX,1046448,11-août-15,"1 302,37 $ ",Béton préparé
,ENTREPRISES FORLINI-DIVISION,1064435,13-août-15,"152,23 $ ",Bottes d'asphalte
,LAFARGE CANADA INC,1035549,26-août-15,"2 842,41 $ ",Béton préparé
,,1038034,12-août-15,"664,54 $ ",Agrégat en vrac
,LES PAVAGES CHENAIL INC.,1055992,04-août-15,"1 624,90 $ ",Agrégat en vrac
,LOCATION SAUVAGEAU INC.,1061513,13-août-15,"1 934,92 $ ",Location - Automobile
,NADEAU INC.,1066531,26-août-15,"701,32 $ ",Tuyau d'aqueduc
,QUINCAILLERIE NOTRE-DAME DE ST-HENRI,1063695,10-août-15,"524,94 $ ",Réparation de conduit d'aqueduc
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1064237,12-août-15,"727,56 $ ",Puisard.
,,1066046,24-août-15,"777,73 $ ",Tuyau d'aqueduc
,SUV SOUPAPES UNIVERSELLE VALVES,1062750,04-août-15,"1 081,90 $ ",Réparation de conduit d'aqueduc
,,,,,
"BOUTIN, PIERRE",APSAM ASS. PARITAIRE SANTE & SECURITE,1064444,13-août-15,"750,00 $ ",Formation en développement organisationnel et technique
,DEMIX,1060859,13-août-15,"5 757,09 $ ",Béton préparé
,ENVIROSERVICES INC,1024606,26-août-15,"5 452,39 $ ",Service - Analyse et essai en laboratoire
,LES SERVICES EXP INC.,1030651,13-août-15,"314,96 $ ",Travaux de carottage et forage.
,LOCATION DE CAMIONS PACLEASE,1031702,13-août-15,"3 093,80 $ ",Réparation/Entretien - Véhicule lourd
,RSR INC. ENVIRONNEMENT,1063458,07-août-15,"17 022,41 $ ",Réparation de conduit d'aqueduc
,,1063465,07-août-15,"14 221,22 $ ",Réparation de conduit d'aqueduc
,,1063468,07-août-15,"21 893,18 $ ",Réparation de conduit d'aqueduc
,,1063472,07-août-15,"1 009,08 $ ",Réparation de conduit d'aqueduc
,,,,,
"CARRIER, RAYMOND",TOSHIBA SOLUTIONS D'AFFAIRES,1015593,10-août-15,"104,99 $ ",Location - Photocopieur
,,,,,
"DUPLANTIE, S-A ","PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE",1028032,17-août-15,"839,90 $ ",Huissier de justice
,,,,,
"FORTIN, ALAIN",ATELIER N. C. LAMOUREUX,1065418,19-août-15,"3 800,53 $ ",Réparation/Entretien - Véhicule lourd
,,1066983,28-août-15,"490,29 $ ",Réparation/Entretien - Automobile et camionnette
,EQUIPEMENTS TWIN INC.,1064928,17-août-15,"348,14 $ ",Réparation/Entretien - Automobile et camionnette
,EXPERITEC,1060732,13-août-15,"1 469,82 $ ",Réparation/Entretien - Automobile et camionnette
,MICHELIN AMERIQUE DU NORD,1048420,14-août-15,"2 983,56 $ ",Réparation/Entretien - Automobile et camionnette
,NORTRAX QUEBEC INC.,1066051,27-août-15,"2 438,86 $ ",Réparation/Entretien - Véhicule lourd et machinerie lourde
,,,,,
"FRAPPIER, GENEVIEVE",PRODUITS SANY INC.,1063636,10-août-15,"221,95 $ ",Produit d'entretien
,LOCATION SAUVAGEAU INC.,1062707,04-août-15,"1 236,75 $ ",Location - Automobile
,PRODUITS SANY INC.,1063190,06-août-15,"425,52 $ ",Produit et équipement d'entretien
,,1063633,10-août-15,"180,05 $ ",Produit et équipement d'entretien
,,1063634,10-août-15,"317,27 $ ",Produit et équipement d'entretien
,,1063635,10-août-15,"416,06 $ ",Produit et équipement d'entretien
,,1063637,10-août-15,"125,76 $ ",Produit et équipement d'entretien
,,1065618,20-août-15,"544,18 $ ",Produit et équipement d'entretien
,SOS TECHNOLOGIES ACTION URGENCE,1065222,18-août-15,"483,94 $ ",Fournitures et matériel médical
,,,,,
"GAUDREAULT, SONIA",9132-1604 QUEBEC INC.,1065037,18-août-15,"574,81 $ ",Service - Impression
,AQUATECHNO SPECIALISTES AQUATIQUES INC.,1065621,20-août-15,"6 168,02 $ ",Traitement de l'eau
,COMMISSION SCOLAIRE DE MONTREAL,1062624,04-août-15,"82,59 $ ","Service - Agence de sécurité, gardiennage"
,,1065619,20-août-15,"3 623,44 $ ",Location - Salle
,COMPUMEDIA DESIGN ( CMD ) INC,1063381,06-août-15,"487,15 $ ",Service - Impression
,G & L THIVIERGE INC,1062718,04-août-15,"1 028,88 $ ",Exécution de travaux
,MP REPRODUCTIONS INC.,1065047,18-août-15,"175,85 $ ",Service - Impression
,REMORQUAGE MOBILE,1045608,11-août-15,"31,50 $ ",Service - Transport de conteneur
,,,,,
"GENDRON, DENIS",COMPUGEN INC.,1066514,26-août-15,"548,61 $ ",Logiciel
,ENSEIGNES LANDREVILLE,1066424,26-août-15,"1 107,62 $ ",Mobilier pour affichage urbain
,PRESTIGE SECURKEY INC,1066312,25-août-15,"3 918,72 $ ",Réparation/Entretien - Porte et fenêtre
,,,,,
"JULIEN, CHANTAL",9262-1580 QUEBEC INC.,1065444,19-août-15,"1 217,86 $ ",Produit d'entretien ménager
,APSAM ASSOC. PARITAIRE SANTE & SECUR.,1066534,26-août-15,"419,95 $ ",Service - Formation en développement organisationnel et tech.
,COMITE TECHNIQUE DE CAMIONNAGE DU QC,1064942,17-août-15,"187,93 $ ",Frais - Adhésion et cotisation
,DESCHAMPS IMPRESSION INC.,1064490,26-août-15,"21,00 $ ",Service - Impression
,ECOLE DE TECHNOLOGIE SUPERIEURE,1065423,19-août-15,"764,78 $ ",Service - Formation en informatique
,ENTRAC INC.,1065017,18-août-15,"2 902,64 $ ",Service - Formation en santé et sécurité
,INDUSTRIES DESORMEAU INC.,1063123,05-août-15,"330,71 $ ","Matériel de fixation, clou, vis"
,LES ATELIERS D'ANTOINE,1066489,26-août-15,"1 543,31 $ ","Bac de compostage, composteur"
,MULTI-PRESSIONS L.C. INC.,1053224,18-août-15,"1 300,67 $ ",Équipement d'entretien manuel
,PPG REVETEMENTS ARCHITECTURAUX,1028918,05-août-15,"1 127,80 $ ",Peinture - résidentielle et industrielle
,PREVENTION CDN-NDG,1064955,17-août-15,"141,00 $ ",Service - Collecte de matières organiques
,PRODUITS SANY INC.,1063966,11-août-15,"396,45 $ ",Produit d'entretien ménager
,,1065641,20-août-15,"595,90 $ ",Produit et équipement d'entretien
,QUINCAILLERIE J. CARRIER INC,1062808,04-août-15,"339,05 $ ",Outil manuel
,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",1063967,11-août-15,"142,42 $ ",Huissier de justice
,,1063971,11-août-15,"400,73 $ ",Huissier de justice
,,1063973,11-août-15,"335,04 $ ",Huissier de justice
,SECURO-VISION INC,1062851,10-août-15,"209,97 $ ",Équipement de protection
,,1066601,26-août-15,"209,97 $ ",Équipement de protection
,SERRUMAX INC,1035376,18-août-15,"314,96 $ ",Service de serrurerie
,SERVICES MATREC INC.,1060330,06-août-15,"689,76 $ ",Location - Toilette chimique
,SOCIETE ENVIRONNEMENTALE CDN,1064912,17-août-15,"867,20 $ ",Service - Collecte de matières organiques
,STINSON EQUIPMENT (QUEBEC) INC.,1063044,05-août-15,"5 503,97 $ ",Peinture - résidentielle et industrielle
,UNIVERSAL FIELD SUPPLIES,1062745,04-août-15,"537,01 $ ",Équipement contre les chutes
,,,,,
"OUELLET, MARIE-CLAUDE",OMNISON ET LUMIERES,1065086,18-août-15,"78,74 $ ",Équipement d'éclairage et de sonorisation
,ROULEAUX DE PAPIER & RUBANS J.L. INC.,1064625,14-août-15,"430,18 $ ",Papier et article de papeterie
,,,,,
"PLANTE, STÉPHANE",ASSOC. DE LA COMMUNAUTE NOIRE DE CDN,1062005,25-août-15,"157,23 $ ",Électricité
,ASSOC. COMMUNICATEURS MUNIC. DU QC,1064747,17-août-15,"228,28 $ ",Frais - Adhésion et cotisation
,CNW-TELBEC INC,1059739,12-août-15,"3 674,56 $ ",Service - Placement média d'avis public
,DEMIX,1060865,17-août-15,"11 371,94 $ ",Béton préparé
,GIRARD-HEBERT INC.,1066653,26-août-15,"839,90 $ ",Serv. prof.: Ordres professionnels
,JEAN-FRANCOIS HAMELIN,1063454,07-août-15,"314,96 $ ",Service - Photographie
,LES MORDUS DE LA LANGUE INC.,1062797,04-août-15,"818,90 $ ","Service - Rédaction, révision"
,LOCATION GERVAIS (1985) INC.,1059402,25-août-15,"744,16 $ ","Location - Équipement de restauration, vaisselle"
,PROMOTIONS PROPAGANDA,1064305,12-août-15,"299,21 $ ","Service - Recherche, étude de marché"
,RAYMOND CHABOT GRANT THORNTON,1063010,05-août-15,"22 467,32 $ ",Conseiller en planification stratégique
,SOCIETE CANADIENNE DES POSTES,1067025,28-août-15,"8 764,66 $ ","Service - Postal, messagerie"
,TRADUCTIONS TERRY KNOWLES INC.,1021037,26-août-15,"524,94 $ ","Service - Rédaction, révision"
,ULYSSE LEMERISE,1062792,07-août-15,"288,72 $ ",Service - Photographie
,,,,,
"POLISENO, MARTIN",ACKLANDS - GRAINGER INC.,1063664,10-août-15,"159,62 $ ",Outil manuel
,,1067085,28-août-15,"206,05 $ ",Accessoire et pièce de remplacement pour outil
,AGREBEC INC,1063674,11-août-15,"630,97 $ ",Agrégat en vrac
,AGRI-FLEX INC.,1067086,28-août-15,"5 487,92 $ ",Accessoire et pièce de remplacement pour outil
,ARBO-DESIGN INC.,1064446,13-août-15,"3 359,60 $ ","Service - Abattage, émondage, élagage"
,AREO-FEU LTEE,1063667,10-août-15,"1 989,52 $ ",Machine et équipement d'aménagement paysager
,COMPUGEN INC.,1062552,03-août-15,"350,28 $ ",Écran
,DUBO ELECTRIQUE LTEE,1066949,27-août-15,"1 898,64 $ ",Accessoire et pièce de remplacement pour machinerie
,ENTREPRISE ROBERT GREEN INC,1065443,19-août-15,"422,57 $ ",Bois de construction
,FASTENAL CANADA LTEE,1057552,14-août-15,"31,22 $ ",Frais de livraison
,FERTILEC LTEE,1064709,14-août-15,"572,18 $ ","Terreau, compost et engrais"
,HILTI CANADA LTEE,1067088,28-août-15,"361,60 $ ","Pile, batterie"
,IMAGINEO INC.,1067092,28-août-15,"2 016,40 $ ","Service - Installation, gestion, entretien"
,IRRIGLOBE,1053637,14-août-15,"592,29 $ ",Réparation/Entretien - Équipement de sport et terrain de jeux
,JEAN GUGLIA & FILS ENR.,1064700,14-août-15,"2 712,37 $ ",Machine et équipement d'aménagement paysager
,,1066484,26-août-15,"599,56 $ ",Accessoire et pièce de remplacement pour outil
,,1067010,28-août-15,"837,07 $ ",Accessoire et pièce de remplacement pour machinerie
,LA MAISON DU PEINTRE,1028878,17-août-15,"447,41 $ ",Accessoire et pièce de remplacement pour outil
,LEE VALLEY TOOLS LTD.,1064377,13-août-15,"205,10 $ ",Outil manuel
,,1065034,18-août-15,"129,30 $ ",Serrurerie
,,1066874,27-août-15,"58,79 $ ",Accessoire et pièce de remplacement pour outil
,LES ATTACHE-REMORQUES DE MONTREAL,1064448,13-août-15,"181,08 $ ",Aménagement de véhicules
,LES EQUIPEMENTS RAPCO INC,1064708,14-août-15,"510,17 $ ",Divers outillage
,LOCATION D'AUTOS ET CAMIONS DISCOUNT,1064644,14-août-15,"745,41 $ ","Location - Automobile, camionnette"
,,1066898,27-août-15,"745,41 $ ","Location - Automobile, camionnette"
,LOCATION SAUVAGEAU INC.,1060717,05-août-15,"1 318,52 $ ","Location - Automobile, camionnette"
,,1060719,14-août-15,"1 411,03 $ ","Location - Automobile, camionnette"
,,1060720,27-août-15,"1 411,03 $ ","Location - Automobile, camionnette"
,MATERIAUX DE PLOMBERIE RAY-JEAN INC.,1066946,27-août-15,"431,77 $ ",Accessoire et pièce de remplacement pour machinerie
,PRODUITS SANY INC.,1065376,19-août-15,"180,48 $ ",Équipement et produit d'entretien manuel
,PUROLATOR COURRIER LTEE,1065032,18-août-15,"40,66 $ ","Service - Postal, messagerie"
,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",1064443,13-août-15,"150,81 $ ",Huissier de justice
,SANTINEL INC.,1062793,04-août-15,"533,55 $ ",Fournitures et matériel médical
,,1064442,13-août-15,"545,93 $ ",Service - Formation en santé et sécurité
,SECURITE LANDRY INC,1066485,26-août-15,"400,62 $ ",Accessoire vestimentaire
,,1067089,28-août-15,"1 875,91 $ ",Équipement contre les chutes
,STINSON EQUIPMENT (QUEBEC) INC.,1067087,28-août-15,"389,14 $ ",Accessoire et pièce de remplacement pour outil
,TECHSPORT INC.,1032685,17-août-15,"1 207,36 $ ",Réparation/Entretien - Équipement de sport et terrain de jeux
,TENAQUIP LIMITED,1063669,10-août-15,"2 095,06 $ ",Accessoire de quincaillerie
,TESSIER RECREO-PARC INC,1066482,26-août-15,"7 782,72 $ ",Équipement et fourniture pour terrain de jeux
