,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour JUILLET 2014,,,,,,
,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,,Description
,,commande,d'approbation,l'engagement,,
,,,,,,
"BERGERON, GILLES",A.D.I. ART DESIGN INTERNATIONAL INC.,980683,31/07/14,"328,93",,FOURNITURES DE BUREAU
,AQUEST DESIGN,974855,09/07/14,"9 170,74",,BIENS NON DURABLES
,,980143,29/07/14,"937,54",,BIENS NON DURABLES
,CANADIAN TIRE,975620,09/07/14,"435,15",,ÉVÉNEMENT PUBLIC
,"CHARLES, CHRISTOPHER",975349,08/07/14,"79,50",,FRAIS DE TRANSPORT
,COFELY SERVICES INC.,974806,07/07/14,"10 619,98",,SERVICES TECHNIQUES
,COMMISSION SCOLAIRE DE MONTREAL (CSDM),974787,07/07/14,"7 070,58",,LOCATION D'IMMEUBLES
,ECOLAB,979489,24/07/14,"311,57",,BIENS NON DURABLES
,FOURNITURES DE BUREAU DENIS INC.,980179,29/07/14,"1 595,97",,BIENS NON DURABLES
,LOISIRS SPORTIFS COTE-DES-NEIGES - NOTRE-DAME-DE-GRACE,980756,31/07/14,"5 204,88",,SERVICES TECHNIQUES
,PRODUITS SANY INC.,980158,29/07/14,"390,69",,BIENS NON DURABLES
,,980318,30/07/14,"121,23",,BIENS NON DURABLES
,,980513,30/07/14,"209,47",,BIENS NON DURABLES
,REGROUPEMENT DES CENTRES D'ARTISTES AUTOGERES DU QUEBEC (R.C.A.A.Q.),980200,29/07/14,"259,28",,COTISATION PROFESSIONNELLE
,RESEAU CULTUREL DE LA LIGNE BLEUE,977551,16/07/14,"207,42",,COTISATION PROFESSIONNELLE
,SAKO ELECTRIQUE LTEE,966772,22/07/14,"5 392,96",,SERVICES TECHNIQUES
,SOCIETE DE SAUVETAGE DU QUEBEC,976046,10/07/14,"405,30",,FORMATION
,ULINE CANADA,977316,16/07/14,"467,86",,ÉVÉNEMENT PUBLIC
,UNIVERSITE CONCORDIA,980159,29/07/14,"5 989,29",,SERVICES TECHNIQUES
,VIDEOTRON S.E.N.C,974763,07/07/14,"69,43",,TÉLÉPHONIE
,,974776,07/07/14,"69,43",,TÉLÉPHONIE
"BOILEAU, LINDA",BRODART CANADA COMPAGNY,977851,17/07/14,"703,16",,BIENS NON DURABLES
,CARR MCLEAN LIMITED,971954,10/07/14,"12,60",,FRAIS DE POSTES
,,979838,28/07/14,"205,19",,FOURNITURES DE BUREAU
,"CHAMBEROT, ROBERT",974861,07/07/14,"37,16",,BIENS NON DURABLES
,ESPACE KUBBII INC.,979822,28/07/14,"933,29",,BIENS NON DURABLES
,G. SCOTT MACLEOD,976347,11/07/14,"600,00",,BIENS NON DURABLES
,INTELCOM EXPRESS,975994,10/07/14,"23,37",,FRAIS DE POSTES
,LA SEMAINE DES ARTS,979787,28/07/14,"2 000,00",,BIENS NON DURABLES
"BOILEAU, LINDA",LES PRODUCTIONS RZ,977777,17/07/14,"414,84",,BIENS NON DURABLES
,MANAGEMENT EXACT INC.,980191,29/07/14,"1 814,94",,BIENS NON DURABLES
,NEMEA PRODUCTIONS,980252,29/07/14,"1 200,00",,ÉVÉNEMENT PUBLIC
,PRODUCTIONS JOSEE ALLARD,980247,29/07/14,"1 451,95",,CACHET D'ARTISTE
,QUINCAILLERIE COTE-DES-NEIGES,976126,10/07/14,"1 649,00",,FOURNITURES DE BUREAU
,SYLVIE FULLUM,980214,29/07/14,"360,81",,ÉVÉNEMENT PUBLIC
,THEATRE MOBILUS INC.,980239,29/07/14,"316,32",,CACHET D'ARTISTE
,"THIBAULT, YANICK",977554,16/07/14,"41,79",,BIENS NON DURABLES
,VIRGINIE BOELEN,976344,11/07/14,"300,00",,BIENS NON DURABLES
,,980204,29/07/14,"80,00",,ÉVÉNEMENT PUBLIC
"BOUTIN, PIERRE",CENTRE DE SERVICES PARTAGES DU QUEBEC,978566,22/07/14,"1 224,89",,TÉLÉPHONIE
,CHAUSSURES BELMONT INC,955352,31/07/14,"229,73",,"VÊTEMENTS, CHAUSSURES ET ACC."
,COMPUGEN INC.,978920,22/07/14,"335,36",,FOURNITURES DE BUREAU
,,979337,24/07/14,"64,30",,FOURNITURES DE BUREAU
,CONSTRUCTION S.R.B. SCC,979041,23/07/14,"290,39",,SERVICES TECHNIQUES
,ELECTROMEGA LTEE,980320,30/07/14,"222,98",,FOURNITURES DE BUREAU
,ENTREPRISE T.R.A. (2011) INC.,979028,23/07/14,"6 741,20",,SERVICES TECHNIQUES
,LOCATION SAUVAGEAU INC.,947579,29/07/14,"1 952,87",,LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT
,SIGNALISATION KALITEC INC.,974134,03/07/14,"4 440,78",,PIÈCES ET ACCESSOIRES
"BUI, PATRICK THE TRUC",CHAUSSURES BELMONT INC,980721,31/07/14,"414,84",,"VÊTEMENTS, CHAUSSURES ET ACC."
"CHAMPOUX, MARTIN",ABC RECREATION QUEBEC INC.,977792,17/07/14,"2 309,54",,ENT. RÉP. - IMMEUBLES ET TERRAINS
,LE GROUPE SPORTS-INTER PLUS INC,977822,17/07/14,"2 727,59",,ENT. RÉP. - IMMEUBLES ET TERRAINS
,LES ENTREPRISES DE CONSTRUCTION PROFIL INC.,974586,04/07/14,"1 157,70",,ENT. RÉP. - IMMEUBLES ET TERRAINS
,MACONNERIE L.M.R. INC.,968360,04/07/14,"3 090,58",,ENT. RÉP. - IMMEUBLES ET TERRAINS
,META + FORME PAYSAGES INC.,977884,17/07/14,"622,26",,HONORAIRES PROFESSIONNELS
,MLC  ASSOCIES INC.,973687,02/07/14,"3 837,30",,HONORAIRES PROFESSIONNELS
"DESJARDINS, STEVE",COMPUGEN INC.,973866,02/07/14,"680,45",,FOURNITURES DE BUREAU
,MP REPRODUCTIONS INC.,978529,21/07/14,"4 148,43",,SERVICES TECHNIQUES
"DULIEPRE, JEAN-FRANCOIS",AQUAM SPECIALISTE AQUATIQUE INC.,976009,10/07/14,"224,84",,BIENS NON DURABLES
"DULIEPRE, JEAN-FRANCOIS",AQUAM SPECIALISTE AQUATIQUE INC.,977196,15/07/14,"1 598,91",,PRODUITS CHIMIQUES
,AQUATECHNO SPECIALISTES AQUATIQUES INC.,976141,10/07/14,"1 503,81",,PRODUITS CHIMIQUES
,,978759,22/07/14,"3 422,45",,PRODUITS CHIMIQUES
,,978777,22/07/14,"4 278,07",,PRODUITS CHIMIQUES
,,978781,22/07/14,"4 278,07",,PRODUITS CHIMIQUES
,DEMENAGEMENT MONTREAL EXPRESS INC.,974749,07/07/14,"155,57",,BIENS NON DURABLES
,LOCATION D'AUTOS ET CAMIONS DISCOUNT,975684,09/07/14,"82,92",,LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT
,LOCATION SAUVAGEAU INC.,978115,18/07/14,"1 627,75",,LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT
,PRODUITS SANY INC.,975985,10/07/14,"942,90",,BIENS NON DURABLES
,SYLPROTEC INC.,967805,10/07/14,"330,42",,BIENS NON DURABLES
