,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juin 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Numéro de,Description
,,commande,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",CYCLONE SANTE INC.,1132029,15/06/2016,"1 574,81",,Expertise médicale
,EDUMICRO INC,1126968,06/06/2016,"1 784,79",,Service - Formation en informatique
,GROUPE LE CORRE ET ASSOCIES INC.,1126969,06/06/2016,"414,7",,Formation en développement interpersonnel/relationnel
,L'EMPREINTE IMPRIMERIE INC.,1130707,10/06/2016,"18,85",,Service - Impression
,LES EDITIONS YVON BLAIS INC,1132034,15/06/2016,"399,06",,Livre
,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",1132031,15/06/2016,"184,25",,Huissier de justice
"BOUCHER, DOMINIC",ACCES COMMUNICATIONS ,1134974,28/06/2016,"369,56",,"Pile, batterie"
,ACTION R-VAC INC. ,1134651,27/06/2016,"587,2",,Service - Traitement/valorisation de matières organiques
,ALBERT VIAU DIVISION EMCO CORPORATION ,1132189,15/06/2016,"4 293,07",,Produit de branchement
,CONSTRUCTION DJL INC ,1118308,16/06/2016,"3 755,57",1092608,"Asphalte, bitume"
,DEVELOTECH INC. ,1129709,07/06/2016,"224,15",,"Adhésif, colle"
,ELECTRONIQUE ADDISON LTEE ,1134653,27/06/2016,48,,Appareil de communication
,EQUIPEMENT ROBERT NADEAU INC ,1132148,15/06/2016,"157,32",,Réparation/Entretien - Machine et équipement de construction
,GESTION P. VENNE INC. - CANADIAN TIRE ,1134245,23/06/2016,"209,95",,Électroménager
,HERCULES SLR INC ,1129700,07/06/2016,"107,56",,"Corde, chaîne et câble"
,INDUSTRIES F.M. INC. ,1130814,10/06/2016,"85,75",,Isolant thermique et acoustique
,INOLEC ,1129710,07/06/2016,"20,67",,Accessoire et pièce de remplacement pour outil
,,1132190,15/06/2016,"2 826,01",,Réparation de conduit d'aqueduc
,LES INDUSTRIES ULTRATAINER INC. ,1132508,16/06/2016,"1 181,11",,Contenant pour camion de signalisation
,LOCATION GAMMA INC. ,1133953,22/06/2016,"181,42",,Location - Outil manuel
,MULTI-PRESSIONS L.C. INC. ,1123060,13/06/2016,"743,41",,Réparation/Entretien - Pompe et compresseur
,,1135155,29/06/2016,"235,06",,Réparation de la machine à pression
,PRODUITS SANY ,1131918,14/06/2016,"270,02",1048199,Produit d'entretien
,RECOCHEM INC ,1130887,27/06/2016,"1 480,32",,Huile et liquide pour matériel roulant
,,1132174,15/06/2016,"524,94",,Huile et liquide pour matériel roulant
,RENO-DEPOT-RONA ,1129708,07/06/2016,"248,65",,Outil manuel
,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC. ",1134658,27/06/2016,"128,25",,Huissier de justice
,STELEM ,1129702,07/06/2016,"351,71",,Tuyau d'aqueduc
,TENAQUIP LIMITED ,1130817,10/06/2016,"685,04",,Outil manuel
,,1135162,29/06/2016,"137,08",,Fournitures et matériel médical
,U. CAYOUETTE INC. ,1128327,01/06/2016,"207,85",,Outil manuel
,,1129706,07/06/2016,"666,47",,Outil manuel
,,1132001,15/06/2016,"1 127,83",,Accessoires et équipement de construction
,,1134649,27/06/2016,"511,71",,Outil manuel
"BOUTIN, PIERRE",DEMIX ,1112266,23/06/2016,"10 719,21",C1109344 ,Béton 35 MPA
,,1112267,23/06/2016,"5 060,40",C1109344 ,Béton 32 MPA
,ECO-GRAFFITI INC ,1134659,27/06/2016,"16 483,04",,Produit d'entretien
,LES ENTREPRISES DOUGLAS POWERTECH INC ,1112572,10/06/2016,"6 015,78",,Location d'une déchiqueteuse à branches
,LOCATION SAUVAGEAU INC. ,1130823,10/06/2016,"15 748,12",,Location – Fourgonnette
,SCIAGE DE BETON 2000 INC. ,1118180,15/06/2016,"2 715,51",,Location - Outil manuel
"BROUSSEAU, HELENE",CPU DESIGN INC. ,1128503,02/06/2016,"1 010,24",888367,Imprimante
"CARRIER, RAYMOND",ASS. DES BIBLIOTHEQUES PUBLIQUES DU QUEBEC ,1128547,02/06/2016,"1 868,10",,Livre
,BIBLIO RPL LTEE ,1128137,01/06/2016,"1 202,19",,Papier
,,1131243,13/06/2016,"47,77",,Article de papeterie
,BRAULT & BOUTHILLIER LTEE ,1131241,13/06/2016,"1 810,35",,"Matériel pour loisir, jeu"
,,1135067,28/06/2016,"310,67",,"Matériel pour loisir, jeu"
,CANUPEASE INC. ,1131236,13/06/2016,"125,99",,Frais de transport
,CHRISTINA MARIE PHELPS ,1134866,28/06/2016,225,,Matériel artistique
,CLARICA GROUP INC. ,1131234,13/06/2016,"2 912,98",,Imprimante 3D
,COMPUGEN INC. ,1131239,13/06/2016,"3 486,64",,Ordinateur et accessoire
,COPIBEC ,1135071,28/06/2016,"992,13",,Achat de licence
,FUTURE & ENERGIES ,1131233,13/06/2016,"829,4",,Imprimante et numériseur
,L.L. LOZEAU LTEE. ,1131231,13/06/2016,"1 997,03",,Imprimante et numériseur
,ROULEAUX DE PAPIER & RUBANS J.L. INC. ,1135069,28/06/2016,"705,52",,"Papier, article de papeterie"
"DESJARDINS, STEVE","PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE S.E.N.C.R.L. ",1098467,09/06/2016,"1 703,00",,Huissier de justice
,PPG REVETEMENTS ARCHITECTURAUX CANADA INC. ,1128861,06/06/2016,"3 500,62",,Peinture - résidentielle et industrielle
"DUPLANTIE, S-ANNE","HELENE DOYON, URBANISTE-CONSEIL INC. ",1134377,23/06/2016,"3 149,62",,Urbaniste - Aménagement du territoire
"FORTIN, ALAIN",EQUIPEMENTS TWIN INC. ,1128343,01/06/2016,"228,87",,Réparation/Entretien - Véhicule lourd et machinerie lourde
,REMORQUES SYLMAR INC ,1124302,23/06/2016,"3 975,43",,Réparation/Entretien - Véhicule utilitaire
,W. COTE ET FILS LTEE ,1134255,23/06/2016,"262,62",,Réparation/Entretien - Véhicule lourd et machinerie lourde
"FRAPPIER, GENEVIEVE",AQUAM SPECIALISTE AQUATIQUE INC. ,1129957,08/06/2016,"629,92",,Équipement pour piscine et jeu d'eau
,AQUATECHNO SPECIALISTES AQUATIQUES INC. ,1131423,14/06/2016,"149,61",,Traitement de l'eau
,,1131426,14/06/2016,"970,34",,Traitement de l'eau
,GROUPE MECANO ,1109394,13/06/2016,"193,18",,Équipement pour piscine et jeu d'eau
,KELLY SANI-VAC INC ,1129982,08/06/2016,"1 044,63",,Service de pompage
,PRODUITS SANY ,1113525,03/06/2016,"10,5",,Frais de transport
,,1129976,08/06/2016,"1 321,90",1048199,Produit d'entretien ménager
,,1131132,13/06/2016,"765,89",,Produit et équipement d'entretien ménager
,,1131438,14/06/2016,"129,92",,Équipement de manutention
,TENAQUIP LIMITED ,1131421,14/06/2016,"364,16",,Gant
"GAUDREAULT, SONIA",BOUTY INC ,1135257,29/06/2016,"5 784,46",,Meuble
,CENTAURECOM INC. ,1134230,23/06/2016,"1 364,84",,Matériel artistique
,CENTRE COMMUNAUTAIRE DE LOISIR DE LA CDN ,1135064,28/06/2016,"11 417,44",,Service - Animation
"GAUDREAULT, SONIA",COMMISSION SCOLAIRE DE MONTREAL (CSDM) ,1129790,07/06/2016,"4 585,25",,Location - Salle
,,1130063,08/06/2016,"4 378,21",,Location - Salle
,,1135026,28/06/2016,"206,47",,Location - Salle
,CONSTRUCTION ARCADE ,1134383,23/06/2016,"2 196,15",,Entrepreneur en bâtiments de tout genre
