,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour NOVEMBRE 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,,commande,d'approbation,l'engagement,
"ANGELY, MARION",MONTREAL STENCIL INC,1086911,27-nov.-2015,"43,49","Article, accessoire et équipement de bureau"
,SYLVIE DROUIN,1085898,24-nov.-2015,"538,06",Avocat
"BOUTIN, PIERRE",9262-1580 QUEBEC INC.,1086533,26-nov.-2015,"289,76","Article, accessoire et équipement de bureau"
,ABC ENVIRONNEMENT INC.,1085434,23-nov.-2015,"771,13",Service - Vidange de puisards
,CANTOL CORP,1084254,17-nov.-2015,"367,14","Huile, graisse et lubrifiant"
,CHAINES ET ELINGUES ST-PIERRE CANADA,1081154,04-nov.-2015,"616,07","Crochet, goupille, manille et poulie"
,DISCOVER COMMUNICATIONS INC,1016121,04-nov.-2015,"524,94",Accessoires pour cellulaires
,GAZTEK INC,1079986,23-nov.-2015,"781,89",Réparation détecteur de gaz
,KERR NORTON INC.,1086188,25-nov.-2015,"2026,69","Encre, toner"
,LAFARGE CANADA INC,1035549,26-nov.-2015,"6417,41",Béton préparé
,,1038034,26-nov.-2015,"5017,69",Agrégat en vrac
,LA MAISON DU PEINTRE,1028878,13-nov.-2015,"249,64",Réparation/Entretien - Appareil d'entretien
,LEON DESLIPPE,1086596,26-nov.-2015,"367,46",Isolant pour conduite
,LOCATION GAMMA INC.,1042451,04-nov.-2015,"453,55",Service - Inspection de conduites
,LOCATION SAUVAGEAU INC.,1061513,26-nov.-2015,"1934,92","Location - Automobile, camionnette"
,PEPINIERE A. MUCCI INC.,1040730,17-nov.-2015,"748,04","Terre, terreau, compost et engrais"
,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,1028918,13-nov.-2015,"2719,89",Peinture - résidentielle et industrielle
,PRODUITS SANY INC.,1083588,13-nov.-2015,"1374,34",Produit et accessoire d'entretien ménager
,SCIAGE DE BETON 2000 INC.,1060154,04-nov.-2015,"2821,54",Location - Outil manuel
,SERRUMAX INC,1035376,23-nov.-2015,"314,96",Service de serrurerie
,SUV SOUPAPES UNIVERSELLE VALVES,1086602,26-nov.-2015,"2677,18","Puisard, chambre de vanne, trou d'homme et regard"
,TENAQUIP LIMITED,1084228,17-nov.-2015,"368,56",Outil manuel
,,,17-nov.-2015,"332,10",Gant
,TENAQUIP LIMITED,1086562,26-nov.-2015,"131,02",Signalisation routière
,U. CAYOUETTE INC.,1084235,17-nov.-2015,"188,73","Pile, batterie"
,,,17-nov.-2015,"440,11","Éclairage, lumière"
"BOUTIN, PIERRE",WOLSELEY CANADA INC,1086168,25-nov.-2015,"484,57",Réparation de conduit d'aqueduc
"CARRIER, RAYMOND",3M CANADA,1082378,09-nov.-2015,"996,33",Ordinateur et accessoire
,,1083774,16-nov.-2015,"996,33",Ordinateur et accessoire
,BRAULT & BOUTHILLIER LTEE,1078719,12-nov.-2015,"5,25",Service - Transport de colis
,CARR MCLEAN LIMITED,1082381,09-nov.-2015,"587,70",Matériel de bureau
,CPU DESIGN INC.,1082377,09-nov.-2015,"645,68",Imprimante et numériseur
,LINDSAY INTERNATIONALE INC.,1083776,16-nov.-2015,"118,19",Matériel artistique
,R.M. LEDUC & CIE INC.,1078999,03-nov.-2015,"31,90","Papier, article de papeterie"
,ROULEAUX DE PAPIER & RUBANS J.L. INC.,1083787,16-nov.-2015,"746,46",Papier et article de papeterie
,TOSHIBA SOLUTIONS D'AFFAIRES,1015602,25-nov.-2015,"157,48",Location - Photocopieur.
"DESJARDINS, STEVE",KETCHUM MANUFACTURING INC.,1084960,19-nov.-2015,"397,85",Service - Recensement et délivrance de licences
,L.L. LOZEAU LTEE.,1086881,27-nov.-2015,"34,65","Pile, batterie"
,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE",1028032,03-nov.-2015,"367,46",Huissier de justice
,PGVMEDIA,1081006,03-nov.-2015,"218,37",Service - Impression
,TRANSFORME TECH INC.,1086890,27-nov.-2015,"249,35",Service - Impression
,UNIVERSITE DE MONTREAL,1080800,03-nov.-2015,"500,00",Vétérinaire
"DUPLANTIE, S-A ",LES EDITIONS YVON BLAIS INC,1082487,10-nov.-2015,"124,95","Guide, brochure et affiche"
,MONTREAL STENCIL INC,1080993,03-nov.-2015,"54,32",Service - Impression
,SERVICES D'ARBRES PRIMEAU INC.,1085889,24-nov.-2015,"5249,37","Service - Abattage, émondage, élagage"
"FORTIN, ALAIN",GLOBOCAM INC,1082679,23-nov.-2015,"4046,35",Aménagement de véhicules
,W. COTE ET FILS LTEE,1085423,23-nov.-2015,"654,65","Réparation/Entretien - Automobile, camionnette."
"FRAPPIER, GENEVIEVE",AQUAM SPECIALISTE AQUATIQUE INC.,1081280,04-nov.-2015,"315,49",Fournitures et matériel médical
,PRODUITS SANY INC.,1068922,25-nov.-2015,"10,50",Frais de transport
,,1081251,04-nov.-2015,"108,03",Équipement et produit d'entretien manuel
,,1081252,04-nov.-2015,"606,05",Équipement et produit d'entretien manuel
,,1081636,05-nov.-2015,"125,04",Produit et équipement d'entretien manuel
,SERRURERIE M. GREENE LOCKSMITH INC.,1086077,25-nov.-2015,"981,64",Service - Serrurier
"GAUDREAULT, SONIA",AQUATECHNO SPECIALISTES AQUATIQUES,1079000,26-nov.-2015,"1732,29",Traitement de l'eau
,COMMISSION SCOLAIRE DE MONTREAL,1084802,18-nov.-2015,"2523,40",Location - Salle
,COMPUGEN INC.,1084798,18-nov.-2015,"46,97",Logiciel
,DESCHAMPS IMPRESSION INC.,1083794,16-nov.-2015,"21,00",Service - Impression
,GO MULTIMEDIA INC.,1083922,16-nov.-2015,"238,85",Honoraire professionnels
,TRADUCTIONS TERRY KNOWLES INC.,1083795,16-nov.-2015,"111,55","Service - Rédaction, révision"
,VIDEOTRON S.E.N.C,1016790,12-nov.-2015,"164,19","Serveur, équipement de réseau"
"GENDRON, DENIS",BOYTECH DEMOLITION INC.,1085564,23-nov.-2015,"3989,52","Service - Décontamination, contrôle des odeurs"
,CARRIERES DUCHARME INC. (LES),1085570,23-nov.-2015,"1305,20",Service - Transport de matières en vrac
,"COMAQ,",1086906,27-nov.-2015,"488,19",Frais - Adhésion et cotisation
,GROUPE MECANO INC,1080958,03-nov.-2015,"19802,74",Réparation - Machine pour traitement de l'eau
,LES CONSTRUCTIONS ARGOZY INC.,1070859,03-nov.-2015,"4356,98",Entrepreneur en structures d'ouvrages de génie civil
,,1080982,03-nov.-2015,"603,68","Service - Usinage, soudage"
,,1086871,27-nov.-2015,"14383,29",Entrepreneur en bâtiments de tout genre
,LES ENTREPRISES DE CONSTRUCTION PROFIL INC.,1080968,03-nov.-2015,"3130,73","Service - Installation, gestion, entretien"
,,1086877,27-nov.-2015,"12233,14","Service - Installation, gestion, entretien"
,LES SERVICES TOPO. ALEXANDRE LEPINE,1085569,23-nov.-2015,"944,89",Arpenteur-géomètre
,MLC ASSOCIES INC.,1085559,23-nov.-2015,"1889,77",Honoraire professionnels
,SECURITE INTEGREE TYCO CANADA INC.,1025436,03-nov.-2015,"226,77","Service - Agence de sécurité, gardiennage"
"JULIEN, CHANTAL",3289419 CANADA (COLLINS),1081162,04-nov.-2015,"94,25","Service - Agence de sécurité, gardiennage"
,,1083490,13-nov.-2015,"111,11","Service - Agence de sécurité, gardiennage"
,ALBERT VIAU DIVISION EMCO CORPORATION,1074120,04-nov.-2015,"204,73",Produit de branchement
,BELLEMARE ABRASIFS & MINERAUX,1082683,10-nov.-2015,"293,07",Produit pour nettoyage des graffitis
,LES ATELIERS D'ANTOINE,1066489,13-nov.-2015,"1543,31",Grillage anti-rongeurs
,MARTECH SIGNALISATION INC.,1082576,10-nov.-2015,"1413,13",Signalisation routière
,QUINCAILLERIE NOTRE-DAME DE ST-HENRI,1082234,09-nov.-2015,"3710,87",Accessoire et pièce de remplacement pour outil
,RENO-DEPOT,1081158,04-nov.-2015,"102,30",Toile métallique
,SERRURIER LACROIX,1081157,04-nov.-2015,"15,75",Service - Serrurier
,STELEM,1082499,10-nov.-2015,"519,69",Outil manuel
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1080768,03-nov.-2015,"2934,20","Puisard, chambre de vanne, trou d'homme et regard"
,,1082502,10-nov.-2015,"566,93",Réparation de conduit
"LIVERNOCHE, STEPHANE ",CORBEIL ELECTROMENAGERS,1084772,18-nov.-2015,"929,12",Électroménager
"OUELLET, MARIE-CLAUDE",AUDIO CINE FILMS INC,1083790,16-nov.-2015,"419,95",Service - Organisation de festivals et spectacles
,COOPERATIVE DE TAXI MONTREAL,1083773,16-nov.-2015,"104,99",Transport en Taxi
,IDENCO CANADA LTEE,1033433,10-nov.-2015,"314,96",Service - Impression
,LOCATION JEAN LEGARE LTEE,1077731,11-nov.-2015,"280,48","Location Automobile, camionnette et fourgonnette"
,MP REPRODUCTIONS INC.,1015584,02-nov.-2015,"314,96",Service - Reprographie
,ORSINI ENTREPRISE,1083777,16-nov.-2015,"2729,67","Service - Déblaiement, chargement"
,PUROLATOR COURRIER LTEE,1083778,16-nov.-2015,"16,71","Service - Postal, messagerie"
,QUINCAILLERIE COTE-DES-NEIGES,1015579,27-nov.-2015,"104,99",Accessoire et pièce de remplacement pour outil
"PLANTE, STÉPHANE",AFEAS,1086058,25-nov.-2015,"20,00",Article promotionnel
,AGENCE DOUBLE XPRESSO INC.,1085362,23-nov.-2015,"10498,75","Service - Infographie, graphisme"
,COFELY SERVICES INC.,1083793,16-nov.-2015,"31530,73",Édifice
,DESCHAMPS IMPRESSION INC.,1086076,25-nov.-2015,"25,20",Service - Impression
,INSPIRATIONS DE NOEL INC.,1085007,19-nov.-2015,"22572,31",Décoration de Noel.
,JULIEN LEBLOND,1080579,02-nov.-2015,"7779,57",Instrument de musique
,LOCATION JEAN LEGARE LTEE,1086049,25-nov.-2015,"314,96",Service - Transport autobus
,P2K INC.,1084271,17-nov.-2015,"25262,62",Service - Machinerie avec opérateur
"POLISENO, MARTIN",AGRI-FLEX INC.,1086535,26-nov.-2015,"211,30",Réparation/Entretien - Outil à batterie
,IMAGINEO INC.,1080756,03-nov.-2015,"3237,08",Équipement et fourniture pour terrain de jeux
,IRRIGLOBE,1053637,17-nov.-2015,"336,22",Réparation/Entretien-Équip. De terrain de jeux
