;;;;;;
"VILLE DE MONTRÉAL  ";;;;;;
"Arrondissement Côte-des-Neiges / Notre-Dame-de-Grâce";;;;;;
"Listes des bons de commandes approuvés pour SEPTEMBRE 2014";;;;;;
;;;;;;
;;;;;;
;;;;;;
"Dernier Approbateur";"Nom fournisseur";"Numéro bon ";"Date ";"Montant de ";;"Description"
;;"commande";"d'approbation";"l'engagement";;
;;;;;;
"BERGERON, GILLES";"ASSOCIATION QUEBECOISE DU LOISIR MUNICIPAL";"991196";23/09/14;212,61;;"FORMATION"
;;"991211";23/09/14;212,61;;"FORMATION"
;"BRAULT & BOUTHILLIER LTEE";"983297";19/09/14;23,80;;"BIENS NON DURABLES"
;"CENTRE COMMUNAUTAIRE DE  LOISIR DE LA COTE-DES-NEIGES";"989728";17/09/14;7 062,00;;"BIENS NON DURABLES"
;"COMMISSION SCOLAIRE DE MONTREAL (CSDM)";"992598";29/09/14;11 394,20;;"LOCATION D'IMMEUBLES"
;"LOCATION JEAN LEGARE LTEE";"986014";02/09/14;"=211,08+24,27";;"BIENS NON DURABLES"
;"SOCIETE DE SAUVETAGE DU QUEBEC";"988904";15/09/14;418,50;;"FORMATION"
"BOILEAU, LINDA";"1-800-GOT-JUNK";"992354";26/09/14;874,28;;"BIENS NON DURABLES"
;"ATELIER DU CONTE EN MUSIQUE ET EN IMAGES INC";"989156";16/09/14;674,12;;"ÉVÉNEMENT PUBLIC"
;"BEAUVAIS, CHANTAL";"986543";04/09/14;60,13;;"BIENS NON DURABLES"
;"BRAULT & BOUTHILLIER LTEE";"955429";10/09/14;"=0,31+1,74+15,74+33,87";;"BIENS NON DURABLES"
;;"988129";11/09/14;432,22;;"BIENS NON DURABLES"
;"BRODART CANADA COMPAGNY";"992346";26/09/14;75,71;;"FOURNITURES DE BUREAU"
;"CAMP SPATIAL CANADA";"993111";30/09/14;199,12;;"ÉVÉNEMENT PUBLIC"
;"CELINE HUYGHEBAERT";"986873";05/09/14;750,00;;"CACHET D'ARTISTE"
;"COOPERATIVE DE TAXI MONTREAL";"986145";03/09/14;29,96;;"FRAIS DE TRANSPORT"
;;"987953";10/09/14;18,86;;"FRAIS DE TRANSPORT"
;"DANSE IMEDIA O.S.B.L.";"987600";09/09/14;500,00;;"ÉVÉNEMENT PUBLIC"
;;"987882";10/09/14;500,00;;"ÉVÉNEMENT PUBLIC"
;"EDITH GROSSE";"993098";30/09/14;200,00;;"ÉVÉNEMENT PUBLIC"
;"EDITIONS DU ROGNON";"992672";29/09/14;300,00;;"SERVICES TECHNIQUES"
