ANNEE,CATEGORIE,GROUPE,NOMBRE,POURCENTAGE
2018,BRIGADIER(-IÈRE)S SCOLAIRES,Minorités visibles,43,"20,09%"
2018,BRIGADIER(-IÈRE)S SCOLAIRES,Minorités ethniques,16,"7,48%"
2018,BRIGADIER(-IÈRE)S SCOLAIRES,Femmes,116,"54,21%"
2018,BRIGADIER(-IÈRE)S SCOLAIRES,Autochtones,0,"0,00%"
2018,BRIGADIER(-IÈRE)S SCOLAIRES,Personnes handicapées,0,"0,00%"
2018,CADRES ADMINISTRATIFS,Minorités visibles,22,"13,25%"
2018,CADRES ADMINISTRATIFS,Minorités ethniques,8,"4,82%"
2018,CADRES ADMINISTRATIFS,Femmes,84,"50,60%"
2018,CADRES ADMINISTRATIFS,Autochtones,2,"1,20%"
2018,CADRES ADMINISTRATIFS,Personnes handicapées,2,"1,20%"
2018,CADRES DE DIRECTION,Minorités visibles,0,"0,00%"
2018,CADRES DE DIRECTION,Minorités ethniques,0,"0,00%"
2018,CADRES DE DIRECTION,Femmes,9,"40,91%"
2018,CADRES DE DIRECTION,Autochtones,0,"0,00%"
2018,CADRES DE DIRECTION,Personnes handicapées,0,"0,00%"
2018,CADRES NON CIVILS POMPIER(-IÈRE)S,Minorités visibles,0,"0,00%"
2018,CADRES NON CIVILS POMPIER(-IÈRE)S,Minorités ethniques,0,"0,00%"
2018,CADRES NON CIVILS POMPIER(-IÈRE)S,Femmes,0,"0,00%"
2018,CADRES NON CIVILS POMPIER(-IÈRE)S,Autochtones,0,"0,00%"
2018,CADRES NON CIVILS POMPIER(-IÈRE)S,Personnes handicapées,0,"0,00%"
2018,COLS BLANCS,Minorités visibles,461,"31,53%"
2018,COLS BLANCS,Minorités ethniques,130,"8,89%"
2018,COLS BLANCS,Femmes,766,"52,39%"
2018,COLS BLANCS,Autochtones,4,"0,27%"
2018,COLS BLANCS,Personnes handicapées,6,"0,41%"
2018,COLS BLEUS,Minorités visibles,79,"21,64%"
2018,COLS BLEUS,Minorités ethniques,32,"8,77%"
2018,COLS BLEUS,Femmes,63,"17,26%"
2018,COLS BLEUS,Autochtones,0,"0,00%"
2018,COLS BLEUS,Personnes handicapées,1,"0,27%"
2018,PERSONNEL POLICIER SYNDIQUÉ,Minorités visibles,10,"7,14%"
2018,PERSONNEL POLICIER SYNDIQUÉ,Minorités ethniques,8,"5,71%"
2018,PERSONNEL POLICIER SYNDIQUÉ,Femmes,58,"41,43%"
2018,PERSONNEL POLICIER SYNDIQUÉ,Autochtones,1,"0,71%"
2018,PERSONNEL POLICIER SYNDIQUÉ,Personnes handicapées,,
2018,POMPIER(-IÈRE)S,Minorités visibles,5,"8,93%"
2018,POMPIER(-IÈRE)S,Minorités ethniques,1,"1,79%"
2018,POMPIER(-IÈRE)S,Femmes,1,"1,79%"
2018,POMPIER(-IÈRE)S,Autochtones,5,"8,93%"
2018,POMPIER(-IÈRE)S,Personnes handicapées,,
2018,PROFESSIONNEL(LE)S ARCHITECTES,Minorités visibles,0,"0,00%"
2018,PROFESSIONNEL(LE)S ARCHITECTES,Minorités ethniques,0,"0,00%"
2018,PROFESSIONNEL(LE)S ARCHITECTES,Femmes,1,"50,00%"
2018,PROFESSIONNEL(LE)S ARCHITECTES,Autochtones,0,"0,00%"
2018,PROFESSIONNEL(LE)S ARCHITECTES,Personnes handicapées,0,"0,00%"
2018,PROFESSIONNEL(LE)S  GÉN.,Minorités visibles,45,"20,64%"
2018,PROFESSIONNEL(LE)S  GÉN.,Minorités ethniques,17,"7,80%"
2018,PROFESSIONNEL(LE)S  GÉN.,Femmes,116,"53,21%"
2018,PROFESSIONNEL(LE)S  GÉN.,Autochtones,0,"0,00%"
2018,PROFESSIONNEL(LE)S  GÉN.,Personnes handicapées,0,"0,00%"
2018,PROFESSIONNEL(LE)S  JURISTES,Minorités visibles,1,"8,33%"
2018,PROFESSIONNEL(LE)S  JURISTES,Minorités ethniques,1,"8,33%"
2018,PROFESSIONNEL(LE)S  JURISTES,Femmes,7,"58,33%"
2018,PROFESSIONNEL(LE)S  JURISTES,Autochtones,0,"0,00%"
2018,PROFESSIONNEL(LE)S  JURISTES,Personnes handicapées,0,"0,00%"
2018,PROFESSIONNEL(LE)S  SCIENTIFIQUES,Minorités visibles,15,"35,71%"
2018,PROFESSIONNEL(LE)S  SCIENTIFIQUES,Minorités ethniques,6,"14,29%"
2018,PROFESSIONNEL(LE)S  SCIENTIFIQUES,Femmes,11,"26,19%"
2018,PROFESSIONNEL(LE)S  SCIENTIFIQUES,Autochtones,0,"0,00%"
2018,PROFESSIONNEL(LE)S  SCIENTIFIQUES,Personnes handicapées,0,"0,00%"
2019,Cols blancs,Minorités visibles,533,"32,58 %"
2019,Cols blancs,Minorités ethniques,177,"10,82 %"
2019,Cols blancs,Femmes,827,"50,55 %"
2019,Cols blancs,Autochtones,6,"0,37 %"
2019,Cols blancs,Personnes handicapées,17,"1,04 %"
2019,Cols bleus,Minorités visibles,119,"25,16 %"
2019,Cols bleus,Minorités ethniques,38,"8,03 %"
2019,Cols bleus,Femmes,64,"13,53 %"
2019,Cols bleus,Autochtones,2,"0,42 %"
2019,Cols bleus,Personnes handicapées,1,"0,21 %"
2019,Professionnelles et professionnels généraux,Minorités visibles,67,"22,48 %"
2019,Professionnelles et professionnels généraux,Minorités ethniques,25,"8,39 %"
2019,Professionnelles et professionnels généraux,Femmes,150,"50,34 %"
2019,Professionnelles et professionnels généraux,Autochtones,2,"0,67 %"
2019,Professionnelles et professionnels généraux,Personnes handicapées,3,"1,01 %"
2019,Policières et policiers,Minorités visibles,24,"13,33 %"
2019,Policières et policiers,Minorités ethniques,14,"7,78 %"
2019,Policières et policiers,Femmes,75,"41,67 %"
2019,Policières et policiers,Autochtones,8,"4,44 %"
2019,Policières et policiers,Personnes handicapées,,
2019,Brigadières et brigadiers scolaires,Minorités visibles,37,"21,64 %"
2019,Brigadières et brigadiers scolaires,Minorités ethniques,13,"7,60 %"
2019,Brigadières et brigadiers scolaires,Femmes,76,"44,44 %"
2019,Brigadières et brigadiers scolaires,Autochtones,0,"0,00 %"
2019,Brigadières et brigadiers scolaires,Personnes handicapées,2,"1,17 %"
2019,Cadres administratifs,Minorités visibles,16,"10,26 %"
2019,Cadres administratifs,Minorités ethniques,9,"5,77 %"
2019,Cadres administratifs,Femmes,76,"48,72 %"
2019,Cadres administratifs,Autochtones,0,"0,00 %"
2019,Cadres administratifs,Personnes handicapées,0,"0,00 %"
2019,Pompières et pompiers,Minorités visibles,7,"8,97 %"
2019,Pompières et pompiers,Minorités ethniques,4,"5,13 %"
2019,Pompières et pompiers,Femmes,1,"1,28 %"
2019,Pompières et pompiers,Autochtones,3,"3,85 %"
2019,Pompières et pompiers,Personnes handicapées,,
2019,Professionnelles et professionnels scientifiques,Minorités visibles,20,"36,36 %"
2019,Professionnelles et professionnels scientifiques,Minorités ethniques,4,"7,27 %"
2019,Professionnelles et professionnels scientifiques,Femmes,12,"21,82 %"
2019,Professionnelles et professionnels scientifiques,Autochtones,0,"0,00 %"
2019,Professionnelles et professionnels scientifiques,Personnes handicapées,0,"0,00 %"
2019,Cadres de direction,Minorités visibles,0,"0,00 %"
2019,Cadres de direction,Minorités ethniques,0,"0,00 %"
2019,Cadres de direction,Femmes,1,"16,67 %"
2019,Cadres de direction,Autochtones,0,"0,00 %"
2019,Cadres de direction,Personnes handicapées,0,"0,00 %"
2019,Professionnelles et professionnels juristes,Minorités visibles,0,"0,00 %"
2019,Professionnelles et professionnels juristes,Minorités ethniques,0,"0,00 %"
2019,Professionnelles et professionnels juristes,Femmes,3,"33,33 %"
2019,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2019,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2019,Professionnelles et professionnels architectes,Minorités visibles,0,"0,00 %"
2019,Professionnelles et professionnels architectes,Minorités ethniques,0,"0,00 %"
2019,Professionnelles et professionnels architectes,Femmes,4,"80,00 %"
2019,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2019,Professionnelles et professionnels architectes,Personnes handicapées,0,"0,00 %"
2019,Cadres non civils pompiers,Minorités visibles,0,"0,00 %"
2019,Cadres non civils pompiers,Minorités ethniques,0,"0,00 %"
2019,Cadres non civils pompiers,Femmes,0,"0,00 %"
2019,Cadres non civils pompiers,Autochtones,0,"0,00 %"
2019,Cadres non civils pompiers,Personnes handicapées,0,"0,00 %"
2020,Cols blancs,Minorités visibles,249,"26,07 %"
2020,Cols blancs,Minorités ethniques,85,"8,90 %"
2020,Cols blancs,Femmes,529,"55,39 %"
2020,Cols blancs,Autochtones,3,"0,31 %"
2020,Cols blancs,Personnes handicapées,8,"0,84 %"
2020,Cols bleus,Minorités visibles,96,"22,75 %"
2020,Cols bleus,Minorités ethniques,25,"5,92 %"
2020,Cols bleus,Femmes,63,"14,93 %"
2020,Cols bleus,Autochtones,0,"0,00 %"
2020,Cols bleus,Personnes handicapées,1,"0,24 %"
2020,Professionnelles et professionnels généraux,Minorités visibles,42,"19,27 %"
2020,Professionnelles et professionnels généraux,Minorités ethniques,19,"8,72 %"
2020,Professionnelles et professionnels généraux,Femmes,129,"59,17 %"
