,"Christine GÉLINAS-ÉLIE","Marie POTVIN","Paul-André TÉTREAULT","Philipe TOMLINSON","Bulletins valides","Bulletins rejetés","Total"
,"Conservons Outremont","Équipe Coderre pour Montréal","Indépendant ","Projet Montréal ",,,
"93-901",35,53,3,24,115,2,117
"93-902",48,69,1,20,138,0,138
"93-903",35,33,2,17,87,1,88
"93-01",16,27,2,28,73,0,73
"93-02",19,24,0,21,64,1,65
"93-03",14,13,0,18,45,1,46
"93-04",15,31,2,20,68,0,68
"93-05",20,19,2,21,62,0,62
"93-06",34,29,2,18,83,0,83
"93-07",6,16,5,26,53,0,53
"93-08",22,18,3,18,61,1,62
"93-09",23,26,17,19,85,0,85
"93-10",15,15,3,25,58,0,58
"93-11",11,15,1,28,55,2,57
"93-12",14,26,3,30,73,0,73
