nom_evenement,date,elu_representant
Réception de lancement de la campagne d'Éducaloi,2017-01-09,Lionel Perez
Accueil du conseil d'administration de l'Alliance des villes des Grands Lacs et du St-Laurent,2017-01-12,Denis Coderre
Petit déjeuner afin de souligner la Journée Martin Luther King,2017-01-16,Jim Beis
Simulation du Jeune Conseil de Montréal 2017,2017-01-20,Frantz Benjamin
Échange de voeux des membres du corps consulaire de Montréal,2017-01-25,Denis Coderre
Ouverture du Sommet socio-économique pour le développenent des jeunes communautés noires,2017-01-26,Jim Beis
"Vernissage de l'exposition ""Célébrons la diversité de la jeunesse montréalaise""",2017-02-01,Frantz Benjamin
Cérémonie funéraire des victimes de l'attentat de la grande mosqués de Québec (janvier 2017),2017-02-02,Denis Coderre
Lancement de la programmation du Mois de l'histoire des Noirs,2017-02-02,Denis Coderre
Rencontre multi-confessionnelle,2017-02-05,Denis Coderre
Cérémonie pour souligner l'engagement et la contribution de Montréal en matière de solidarité internationale,2017-02-06,Denis Coderre
Simulation Cité Elles,2017-02-10,Denis Coderre
Réception pour souligner le 50e anniversaire de l’Association des Camerounais du Canada,2017-02-10,Frantz Benjamin
Petit déjeuner les jeunes au coeur du développement de la métropole,2017-02-12,Denis Coderre
Signature du Concours International MusicalMtl,2017-02-12,Denis Coderre
"Accueil des membres de l'Association professionnelle des guides touristiques, chapitre Montréal",2017-02-20,Frantz Benjamin
"Petit-déjeuner dans le cadre de la mission commerciale entre Montréal, la MRC du Granit et la MRC du Haut-Saint-François
",2017-02-23,Denis Coderre
"Accueil de la délégation de la ville d'Annecy, France, et séance de travail",2017-02-23,Anie Samson
Vernissage regard hivernal sur Montréal par Littorio Del Signore,2017-02-24,Denis Coderre
Lancement de deux avis sur l'enjeu de l'itinérance à Montréal,2017-02-28,Denis Coderre
"Remise annuelle des prix de la société des chefs, cuisiniers et pâtissiers du Québec",2017-02-28,Denis Coderre
Cocktail d'ouverture du Global Infrastructure Forum,2017-03-01,Denis Coderre
Cérémonie d'accueil des nouveaux employés de la ville de Montréal,2017-03-02,Pierre Desrochers
Petit-déjeuner pré-départ de la mission économique à Los Angeles,2017-03-03,Denis Coderre
Événement photomaton Expo 67 dans le cadre de la Nuit Blanche,2017-03-04,Denis Coderre
5e plateforme régionale sur la réduction des risques de catastrophes des Amériques,2017-03-07,Denis Coderre
Lancement de la 194e édition du défilé de la Saint-Patrick,2017-03-14,Denis Coderre
"Accueil de courtoisie de madame Minal Patel Davis, conseillère spéciale, traite des personnes, de la ville de Houston",2017-03-15,Denis Coderre
Remise de certificats de parrainage professionnel,2017-03-15,Pierre Desrochers
Cocktail de bienvenue - 19e congrès Métropolis,2017-03-16,Denis Coderre
Journée internationale des femmes « Bâtisseuses de la cité 2017 » et finissage de l'exposition Place aux Femmes,2017-03-17,Denis Coderre
Soirée d'accueil internationale Americana 2017,2017-03-20,Denis Coderre
"Accueil de courtoisie de Mme Elizabeth Moore Aubin, chargée d'affaires a.i., ambassade des Etats-Unis",2017-03-20,Denis Coderre
Accueil d'étudiant japonais de l'école Sagano,2017-03-21,Russell Copeman
Lancement de la semaine d'actions contre le racisme et remise du prix intercuturel de Montreal 2017,2017-03-21,Dimitrios Beis
Vernissage de l'exposition 12 poèmes pour Montréal,2017-03-21,Frantz Benjamin
Accueil des lauréats du gala hommage aux femmes latino-américaines de Montréal,2017-03-22,Frantz Benjamin
Accueil des Flying Ducks Ice Hockey Club,2017-03-24,Denis Coderre
Remise des bourses de la fondation de la Chambre de commerce Canada-Liban,2017-03-24,Denis Coderre
Accueil dans le cadre de la journée mondiale de la poésie,2017-03-27,Frantz Benjamin
Dévoilement du tartan écossais pour Montréal,2017-03-27,Denis Coderre
Dévoilement de la charte montréalaise expliquée aux jeunes,2017-03-29,Lionel Perez
Réception pour le lancement de la coupe Dodge 2017,2017-03-29,Denis Coderre
"Signature du livre d'or - M. Tim Raines, ancien joueur des Expos de Montréal",2017-03-31,Denis Coderre
"Rencontre de courtoisie d'une délégation italienne, région de Lombardie",2017-04-03,Denis Coderre
Réception pour le 52e congrès de l'association québécoise des transports (AQTR),2017-04-03,Aref Salem
"Rencontre de courtoisie avec le maire de Mulhouse, France, M. Jean Rottner",2017-04-04,Denis Coderre
"Rencontre de courtoisie avec M. Do-Gun Song, maire de Sacheon, Corée du Sud",2017-04-04,Pierre Desrochers
"Rencontre de courtoisie du ministre de l'emploi et des petites entreprises, M. Pat Breen",2017-04-05,Denis Coderre
Petit-déjeuner avec la délégation de C40 Cities Climate Leadership Group,2017-04-06,Denis Coderre
