titre,url_fiche,description,date_debut,date_fin,type_evenement,public_cible,emplacement,inscription,cout,arrondissement,titre_adresse,adresse_principale,adresse_secondaire,code_postal,lat,long,X,Y
"Consultation citoyenne sur la future place publique au cœur de Tétreaultville","https://montreal.ca/evenements/consultation-citoyenne-sur-la-future-place-publique-au-coeur-de-tetreaultville-57375","MHM mène une consultation citoyenne en vue de l'aménagement, en 2025, d'une place publique au cœur de Tétreaultville.","2023-10-04","2023-10-04","Consultation publique","Pour tous","À l'extérieur","Entrée libre","Gratuit","Mercier–Hochelaga-Maisonneuve","Espace vacant situé à l'angle des rues Des Ormeaux et Hochelaga","2350, rue Des Ormeaux","None","H1L4X3",45.60130614867117,-73.51969709737479,303263.4,5051267.1
"Budget participatif : atelier de participation à CDN","https://montreal.ca/evenements/budget-participatif-atelier-de-participation-cdn-56818","Participez à la dernière consultation citoyenne à CDN pour le budget participatif de Côte-des-Neiges-Notre-Dame-de-Grâce","2023-09-23","2023-09-23","Consultation publique","Pour tous","À l'extérieur","Entrée libre","Gratuit","Côte-des-Neiges–Notre-Dame-de-Grâce","Promenade Jean-Brillant","Devant le Marché Jean-Brillant","None","H3T1Y4",45.49616509266863,-73.62165573121717,295291.9,5039589.7
"Budget participatif du Plateau : activité de vote","https://montreal.ca/evenements/budget-participatif-du-plateau-activite-de-vote-58886","Activité de vote pour le budget participatif du Plateau-Mont-Royal","2023-11-09","2023-11-09","Consultation publique","Pour tous","À l'extérieur","Entrée libre","Gratuit","Le Plateau-Mont-Royal","Place du Côteau-Saint-Louis","Marché Fermier Laurier","None","H2J1E8",45.528197145046356,-73.58852424659833,297885.3,5043146
"Soirée citoyenne sur la piétonnisation de la Plaza Saint-Hubert","https://montreal.ca/evenements/soiree-citoyenne-sur-la-pietonnisation-de-la-plaza-saint-hubert-59380","Découvrez le projet de piétonnisation de la Plaza Saint-Hubert pour l’été 2024 et participez à sa planification à travers des ateliers et des échanges d’idées.","2023-11-27","2023-11-27","Consultation publique","Pour tous","En salle","Entrée libre","Gratuit","Rosemont–La Petite-Patrie","Ausgang Plaza","6524, rue Saint-Hubert","None","H2S2M3",45.536303,-73.603848,296689.5,5044048.3
"Accordéon de rue, accordéon de parc - Marie-Andrée Joly","https://montreal.ca/evenements/accordeon-de-rue-accordeon-de-parc-marie-andree-joly-68050","Accordéon de rue, accordéon de parc - Marie-Andrée Joly présenté sur Le Plateau dans le cadre du programme de soutien aux actions culturelles","2024-07-28","2024-07-28","Musique","Pour tous","À l'extérieur","Entrée libre","Gratuit","Le Plateau-Mont-Royal","Ruelle verte","Jeanne-Mance / Sainte-Famille / Milton / Prince-Arthur","None","H2X2K2",45.511356709851654,-73.57470311967532,298963.1,5041273.5
"Séance d'information : programme participatif de déminéralisation et de verdissement Bye Bye Béton !","https://montreal.ca/evenements/seance-dinformation-programme-participatif-de-demineralisation-et-de-verdissement-bye-bye-beton-62441","Bye Bye béton ! Programme de déminéralisation participative de VSP. Participez à une séance d'information : 16 janvier (présentiel) ou le 18 janvier (en ligne).","2024-01-18","2024-01-18","Séance d'information","Pour tous","En ligne","Sur inscription","Gratuit","Villeray–Saint-Michel–Parc-Extension","nan","nan","nan","nan",,,"",""
"Construire un NDG nourricier","https://montreal.ca/evenements/construire-un-ndg-nourricier-66048","Plan de communauté nourricière de l'arrondissement CDN-NDG. Inscrivez-vous au forum du 13 mars 2024.","2024-03-13","2024-03-13","Consultation publique","Pour tous","En salle","Sur inscription","Gratuit","Côte-des-Neiges–Notre-Dame-de-Grâce","Centre communautaire Saint-Raymond","5600, chemin Upper-Lachine","None","H4A2A7",45.469598,-73.608234,296336.9,5036635.8
"Distribution de compost à Saint-Léonard","https://montreal.ca/evenements/distribution-de-compost-saint-leonard-66225","Distribution de compost gratuitement à Saint-Léonard, le samedi octobre 2024","2024-10-12","2024-10-12","Distribution","Pour tous","À l'extérieur","Entrée libre","Gratuit","Saint-Léonard","Dépôt à neige Langelier","9430, Boul. Langelier","None","H1P3H8",45.60602657435868,-73.60563106928362,296560.4,5051797
"Soirée d'information et d'échanges sur le Plan directeur de biodiversité de MHM","https://montreal.ca/evenements/soiree-dinformation-et-dechanges-sur-le-plan-directeur-de-biodiversite-de-mhm-68640","Mercier–Hochelaga-Maisonneuve est vulnérable face aux canicules et grandes pluies. Le Plan directeur de biodiversité en élaboration améliorera sa résilience.","2024-05-21","2024-05-21","Séance d'information","Pour tous","En salle","Entrée libre","Gratuit","Mercier–Hochelaga-Maisonneuve","CRC Saint-Donat","6547, rue de Marseille","None","H1N1M1",45.58144,-73.541185,301586,5049060
"Séance d'information sur le réaménagement de la rue Saint-Paul Ouest","https://montreal.ca/evenements/seance-dinformation-sur-le-reamenagement-de-la-rue-saint-paul-ouest-62399","Participez à la séance d'information sur le réaménagement de la rue Saint-Paul Ouest pour en savoir plus sur les travaux à venir au printemps 2024.","2024-02-28","2024-02-28","Séance d'information","Pour tous","En ligne","Sur inscription","Gratuit","Ville de Montréal","nan","nan","nan","nan",,,"",""
