"Montant des amendes impayées par bibliothèque
 du 2007/07/27 au 2014/12/08",,,,,,
,,,,,,
Bibliothèque,0 à 2.99,3.00 à 9.99,10.00 à 19.99,20.00 à 49.99,50 et plus,Total
Bibliothèque d'Ahuntsic,"23260,07","16668,00","0,00","20,00","0,00","39948,07"
Bibliothèque de Cartierville,"12051,86","8641,00","19,95","0,00","0,00","20712,81"
Bibliothèque De Salaberry,"2891,62","12,00","0,00","0,00","0,00","2903,62"
Bibliothèque Saul-Bellow,"5428,17","3201,00","0,00","0,00","0,00","8629,17"
Bibliothèque de Saint-Pierre,"2624,55","1957,00","0,00","0,00","0,00","4581,55"
Bibliothèque Benny,"8986,05","4443,00","0,00","0,00","0,00","13429,05"
Bibliothèque de Côte-des-Neiges,"10142,18","7050,00","0,00","0,00","0,00","17192,18"
Bibliothèque interculturelle,"14135,90","8787,00","0,00","24,95","0,00","22947,85"
Bibliothèque de Notre-Dame-de-Grâce,"7721,26","3915,00","0,00","0,00","0,00","11636,26"
Bibliothèque Père-Ambroise,"5109,14","3210,00","0,00","0,00","0,00","8319,14"
Bibliothèque Frontenac,"6030,72","4947,00","0,00","0,00","0,00","10977,72"
Bibliothèque Georges-Vanier,"4631,85","2919,00","0,00","0,00","0,00","7550,85"
Bibliothèque Marie-Uguay ,"9093,77","6749,00","0,00","0,00","0,00","15842,77"
Bibliothèque de Saint-Henri,"5359,27","4365,00","0,00","0,00","0,00","9724,27"
Bibliothèque de Saint-Charles,"6623,43","4404,00","0,00","0,00","0,00","11027,43"
Bibliothèque d'Hochelaga,"2237,93","15,00","0,00","0,00","0,00","2252,93"
Bibliothèque Langelier,"11594,77","8478,00","26,00","0,00","0,00","20098,77"
Bibliothèque Mercier ,"15263,85","13506,00","0,00","21,00","0,00","28790,85"
Bibliothèque Maisonneuve,"18886,42","16092,00","96,96","24,99","0,00","35100,37"
Bibliothèque de L’Île-Bizard,"2478,14","2019,99","100,98","107,47","0,00","4706,58"
Bibliothèque Jean-Corbeil,"9578,82","7497,00","0,00","0,00","0,00","17075,82"
Bibliothèque du Haut-Anjou,"2261,99","1623,00","0,00","0,00","0,00","3884,99"
Bibliothèque L’Octogone,"13928,89","11118,00","110,00","0,00","0,00","25156,89"
Bibliothèque Henri-Bourassa,"5890,93","4368,00","15,00","0,00","0,00","10273,93"
Bibliothèque de Belleville,"4943,58","3279,00","0,00","0,00","0,00","8222,58"
Bibliothèque de Charleroi,"3863,28","2793,00","0,00","24,95","0,00","6681,23"
Bibliothèque de la Maison culturelle et communautaire,"6688,82","5112,40","0,00","0,00","0,00","11801,22"
Bibliothèque de Saint-Léonard,"13193,98","7067,00","30,00","0,00","0,00","20290,98"
Bibliothèque Robert-Bourassa,"6359,90","3699,00","0,00","0,00","0,00","10058,90"
Bibliothèque de Pierrefonds,"7508,05","6450,00","85,79","142,00","0,00","14185,84"
Bibliothèque de Roxboro,"4078,74","3737,00","65,00","24,99","0,00","7905,73"
Bibliothèque de La Petite-Patrie,"9186,96","5970,00","0,00","0,00","0,00","15156,96"
Bibliothèque de Rosemont,"23035,79","16770,00","0,00","0,00","0,00","39805,79"
Bibliothèque Marc-Favreau,"8786,56","6714,00","0,00","0,00","0,00","15500,56"
Bibliothèque du Vieux-Saint-Laurent,"11789,49","6985,75","32,00","24,95","0,00","18832,19"
Bibliothèque du Boisé,"12881,19","6941,00","71,90","116,90","0,00","20010,99"
Bibliothèque de Pointe-aux-Trembles,"14270,39","10151,00","12,00","59,90","0,00","24493,29"
Bibliothèque de Rivière-des-Prairies,"16923,34","11904,00","55,99","124,96","0,00","29008,29"
Bibliothèque de Verdun,"8687,52","7035,00","0,00","0,00","0,00","15722,52"
Bibliothèque de L'Île-des-Sœurs,"2434,44","1263,00","0,00","0,00","0,00","3697,44"
Bibliothèque Le Prévost,"12493,11","9879,00","0,00","0,00","0,00","22372,11"
Bibliothèque de Parc-Extension,"11568,53","7977,00","0,00","0,00","0,00","19545,53"
Bibliothèque de Saint-Michel,"16334,30","11403,00","11,00","0,00","0,00","27748,30"
Bibliothèque du Mile End,"6648,84","4601,00","0,00","0,00","0,00","11249,84"
Bibliothèque du Plateau-Mont-Royal,"15745,65","11658,00","0,00","0,00","0,00","27403,65"
Total,"423634,04","297374,14","732,57","717,06","0,00","722457,81"
