Date,Instance_politique ,Resolution,Nom,Genre,Titre_du_poste,Organisme
2015-04-08,Comité exécutif,CE15 0600,Jean-Paul Grappe,M,membre externe,Comité de sélection - Règlement régissant la cuisine de rue (15-039)
2015-04-08,Comité exécutif,CE15 0600,Christine Plante,F,membre externe,Comité de sélection - Règlement régissant la cuisine de rue (15-039)
2015-04-08,Comité exécutif,CE15 0600,Pasquale Vari,M,membre externe,Comité de sélection - Règlement régissant la cuisine de rue (15-039)
2015-04-08,Comité exécutif,CE15 0600,Maxime Gagné,M,substitut,Comité de sélection - Règlement régissant la cuisine de rue (15-039)
2015-04-27,conseil municipal,CM15 0393,Yasmina Soussi,F,membre,Conseil des Montréalaises
2015-04-27,conseil municipal,CM15 0586,Bruno Bergeron,M,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Nicole Brodeur,F,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Viateur Chénard,M,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Irène Cinq-Mars,F,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Ariane Émond,F,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Judy Gold,F,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Hélène Laperrière,F,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Luba Serge,F,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Maryse Alcindor,F,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Isabelle Beaulieu,F,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Pierre-Constantin Charles ,H,commissaire supplémentaire,Office de consultation publique de Montréal
2015-04-27,conseil municipal,CM15 0586,Anne Lagacé Dowson,F,commissaire supplémentaire,Office de consultation publique de Montréal
