"Cote","No de plan","Dates","Fichier en haute résolution (cliquer sur le lien)","Mention de crédits",,,,,,,,
"VM165-1_2","Carte Index générale",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_00-Index.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-58",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-58.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-59.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-60.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-61.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-62",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-62.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-63",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-63.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-64",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-64.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-65",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-65.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","37-69",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_37-69.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-58",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-58.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-59.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-60.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-61.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-62",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-62.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-63",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-63.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-64",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-64.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-65",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-65.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-66",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-66.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","38-73",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_38-73.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","39-58",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_39-58.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","39-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_39-59.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","39-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_39-60.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","39-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_39-61.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","39-62",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_39-62.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","39-63",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_39-63.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","39-64",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_39-64.TIF","Archives de la Ville de Montréal",,,,,,,,
