TERMES_EXPRESSIONS,MOTIFS,INSTANCE,SOUS_LA_PRESIDENCE_DE,DATE
Gueuler,insulte,AssNat,Richard Guay,1984-04-04
Vérité (ne pas dire la),syn. de mentir,AssNat,Richard Guay,1984-06-14
Politicien patronneux,insulte,AssNat,Richard Guay,1984-11-13
Minable,insulte,AssNat,Réal Rancourt,1984-12-19
Mensonge,syn. de mentir,AssNat,Jean-Pierre Saintonge,1986-05-06
"Cochon, Cochonneries",insulte,AssNat,Louise Bégin,1986-05-15
Intelligemment (parler de temps en temps…),insulte,AssNat,Jean-Pierre Saintonge,1986-06-02
Fausseté,syn. de mentir,AssNat,Louise Bégin,1986-06-04
Tata,insulte,AssNat,Pierre Lorrain,1986-06-04
Insignifiant (discours…),insulte,AssNat,Louise Bégin,1986-06-09
Faux (fausse),syn. de mentir,AssNat,Louise Bégin,1986-11-20
Plomb dans la tête (avoir besoin de…),insulte,AssNat,Pierre Lorrain,1986-12-03
Serville,insulte,AssNat,Louise Bégin,1986-12-18
Idiot (son propos…),insulte,AssNat,Louise Bégin,1987-03-18
Nono,insulte,AssNat,Pierre Lorrain,1987-03-31
Innocent,insulte,AssNat,Pierre Lorrain,1987-04-02
Cabotin,insulte,AssNat,Pierre Lorrain,1987-11-17
Malade,insulte,AssNat,Pierre Lorrain,1987-12-09
Épais,insulte,AssNat,Pierre Lorrain,1988-04-20
Chien de poche,insulte,AssNat,Pierre Lorrain,1988-04-27
Imbécile,insulte,AssNat,Jean-Pierre Saintonge,1988-06-01
Favoritisme,accusation,AssNat,Lawrence Cannon,1989-12-05
Tromper cette chambre,syn. de mentir,AssNat,Lawrence Cannon,1989-12-07
Intelligence (ça ne prend pas beaucoup d'intelligence pour comprendre cela),insulte,AssNat,Jean-Pierre Saintonge,1989-12-20
Mauvaise foi,syn. de mentir,AssNat,Lawrence Cannon,1990-03-28
Paltron (plus ou moins…),insulte,AssNat,Jean-Pierre Saintonge,1990-04-03
Vrai (ce n'est pas...),accusation,AssNat,Michel Bissonnet,1990-05-04
Stupidités,insulte,AssNat,Michel Bissonnet,1990-05-10
Folies,insulte,AssNat,Michel Bissonnet,1990-06-18
Montons (vote grégaire de ses moutons…),insulte,AssNat,Michel Bissonnet,1990-06-18
Aigrefin,insulte,AssNat,Michel Bissonnet,1990-10-16
Indécence,insulte,AssNat,Michel Bissonnet,1990-11-22
Chantage (a décidé de faire du..),accusation,AssNat,Jean-Pierre Saintonge,1991-04-18
Vomir,insulte,AssNat,Roger Lefebvre,1991-06-03
Voler,accusation,AssNat,Roger Lefebvre,1991-10-23
Lâche,insulte,AssNat,Michel Bissonnet,1991-12-11
Conneries,insulte,AssNat,Jean-Pierre Saintonge,1991-12-12
Con,insulte,AssNat,Roger Lefebvre,1991-12-13
"Faire la grève, n'a pas voulu siéger",accusation,AssNat,Jean-Pierre Saintonge,1992-03-10
Erreur,accusation,AssNat,Jean-Pierre Saintonge,1992-04-08
Individu sinistre,insulte,AssNat,Michel Bissonnet,1992-04-09
Boîte (fermer sa…),insulte,AssNat,Michel Bissonnet,1992-05-19
Clown,insulte,AssNat,Jean-Pierre Saintonge,1992-06-02
Cautionne les gestes qui avaient été posés,accusation,AssNat,Jean-Pierre Saintonge,1992-09-16
Gorlots là,insulte,AssNat,Jean-Pierre Saintonge,1993-03-18
Petite et basse politique (faire de la…),accusation,AssNat,Jean-Pierre Charbonneau,1993-04-13
Hurluberlu,insulte,AssNat,Roger Lefebvre,1993-06-10
Ti-coune,insulte,AssNat,Roger Lefebvre,1993-06-14
Niaiseries,insulte,AssNat,Michel Bissonnet,1993-12-09
Manipulation,accusation,AssNat,Roger Bertrand,1994-12-07
Voter (empêcher les gens de...),accusation,AssNat,Raymond Brouillet,1994-12-15
Népotisme,accusation,AssNat,Roger Bertrand,1995-04-05
Fraude intellectuelle,accusation,AssNat,Roger Bertrand,1995-05-18
Fourberie.s,accusation,AssNat,Roger Bertrand,1995-06-05
Mascarade,insulte,AssNat,Roger Bertrand,1995-06-06
Torchon (en parlant d'un projet de loi),insulte,AssNat,Roger Bertrand,1995-06-09
Malhonnête (interprétation…) (être),syn. de mentir,AssNat,Roger Bertrand,1995-06-16
Bigoterie,insulte,AssNat,Michel Bissonnet,1995-09-19
Bouffon,insulte,AssNat,Raymond Brouillet,1995-09-19
Tartuferies,insulte,AssNat,Raymond Brouillet,1995-09-19
Patronage,accusation,AssNat,Roger Bertrand,1995-12-06
Étouffer cette affaire (une affaire),accusation,AssNat,Roger Bertrand,1995-12-11
Aveuglement volontaire,accusation,AssNat,Roger Bertrand,1995-12-12
Tapis de porte,accusation,AssNat,Pierre Bélanger,1995-12-14
Pernicieuse attitude,accusation,AssNat,Roger Bertrand,1995-12-17
Bandits (quelle gang de…),accusation,AssNat,Raymond Brouillet,1996-12-18
Pickpockets,accusation,AssNat,Raymond Brouillet,1996-12-18
Faussaire (intellectuel),insulte,AssNat,Raymond Brouillet,1997-03-21
"Arnaque (complice d'une arnaque, d'une astuce)",accusation,AssNat,Jean-Pierre Charbonneau,1997-05-07
Trficoter (un document),accusation,AssNat,Jean-Pierre Charbonneau,1997-11-19
Cover-up,accusation,AssNat,Jean-Pierre Charbonneau,1997-11-20
Ingérence politique éhontée (de sa part),accusation,AssNat,Jean-Pierre Charbonneau,1997-12-03
Partitionnistes ( les députés d'en face sont des...),Insulte,AssNat,Claude Pinard,1997-12-05
Camouflage,accusation,AssNat,Jean-Pierre Charbonneau,1998-06-04
Pot-de-vin (lettre de…),accusation,AssNat,Jean-Pierre Charbonneau,1998-06-19
Paresseux,insulte,AssNat,Michel Bissonnet,1999-03-18
Couilloner les citoyens du Québec,accusation,AssNat,Jean-Pierre Charbonneau,1999-04-20
Tenté d'induire la Chambre en erreur (le député […] a),syn. de mentir,AssNat,Jean-Pierre Charbonneau,1999-04-21
Opinion de complaisance,accusation,AssNat,Jean-Pierre Charbonneau,1999-05-12
Avis de complaisance,accusation,AssNat,Jean-Pierre Charbonneau,1999-05-13
Complice,accusation,AssNat,Jean-Pierre Charbonneau,1999-05-26
Supercherie (du ministre),insulte,AssNat,Jean-Pierre Charbonneau,1999-06-01
Violé la Loi du ministère du Revenu (le ministre du Revenu à…),accusation,AssNat,Jean-Pierre Charbonneau,1999-06-03
Tripoter,accusation,AssNat,Jean-Pierre Charbonneau,1999-06-09
Joué dans les dossiers (premier ministre avait…),accusation,AssNat,Jean-Pierre Charbonneau,1999-10-26
Dégeulasse,insulte,AssNat,Jean-Pierre Charbonneau,2000-03-21
Sans cœur pour le faire (c'est parce qu'il est trop..),insulte,AssNat,Jean-Pierre Charbonneau,2000-04-18
