TSPID,SCIAN,SCIAL,Q1_1,Q2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7A,Q2_7B,Q2_7C,Q2_7D,Q3A,Q3B,Q3C,Q3D,Q4,Q5,Q6,Q8,Q9,Q10AM1,Q10AM2,Q10AM3,Q10AM4,Q10AM5,Q11,Q12AM1,Q12AM2,Q12AM3,Q13,Q14,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,Q16,Q17,Q18,Q19,Q20M1,Q20M2,Q20M3,Q20M4,Q20M5,Q20M6,QENT1,Q21,Q24,Q25,Q26,Q23,Poids
31,236220,Construction de bâtiments à usage commercial et institutionnel,3,3,3,9,3,2,2,2,90,,,,3,2,3,4,4,3,2,3,1,2,,,,,2,1,,,1,3,3,4,4,2,4,3,3,2,4,3,3,90,1,2,3,,,,1,1,4,2,1,,0.886177530449585
45,236220,Construction de bâtiments à usage commercial et institutionnel,4,2,2,2,3,2,2,3,,,,90,3,3,3,4,3,3,3,1,1,12,,,,,12,4,,,4,3,2,2,2,2,2,3,2,3,3,3,3,90,6,,,,,,1,2,90,1,2,,1.251229414103400
46,238150,Entrepreneurs en travaux de vitrage et de vitrerie,2,2,2,9,2,1,3,2,,,,99,2,2,2,3,2,2,2,9,1,6,,,,,6,1,,,1,4,5,4,3,5,3,2,2,2,3,3,3,90,9,,,,,,1,2,3,2,2,,0.886177530449585
56,238160,Entrepreneurs en travaux de toiture,1,1,3,9,4,1,1,1,,90,,,1,1,3,2,3,4,2,2,1,90,12,,,,90,1,,,1,2,1,2,3,1,3,2,2,1,2,1,2,90,4,,,,,,1,2,3,1,2,,1.251229414103400
99,238990,Tous les autres entrepreneurs spécialisés,2,3,3,9,4,2,2,2,,,90,,2,2,2,2,2,2,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.251229414103400
112,238220,"Entrepreneurs en plomberie, chauffage et climatisation",3,2,2,2,2,2,2,3,90,,,,2,2,2,3,2,2,2,2,1,5,,,,,5,1,4,,4,4,2,2,2,2,2,3,3,1,2,2,2,90,6,,,,,,1,1,4,1,2,,1.251229414103400
167,111421,Culture en pépinière et arboriculture,2,3,2,1,2,9,2,1,90,,,,2,2,3,4,3,3,3,3,1,90,,,,,90,1,99,,99,2,5,2,5,1,4,4,4,3,3,2,3,90,3,,,,,,2,1,1,2,1,,0.886177530449585
187,238220,"Entrepreneurs en plomberie, chauffage et climatisation",3,2,4,9,4,3,1,2,,90,,,4,4,4,4,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,1,2,1,1,2,,1.251229414103400
210,238330,Entrepreneurs en travaux de revêtements de sol,1,2,4,2,1,2,1,4,,90,,,3,4,4,4,3,4,3,9,1,90,,,,,90,1,,,2,3,4,5,5,2,3,3,3,2,3,3,3,90,3,,,,,,1,1,4,3,1,,0.972624747313544
247,236220,Construction de bâtiments à usage commercial et institutionnel,2,4,3,2,3,1,2,2,,,,90,3,2,4,3,3,3,3,2,1,12,,,,,12,2,,,2,2,1,1,1,1,1,1,1,1,1,1,1,90,2,3,,,,,1,1,90,1,2,,1.251229414103400
