RecordNo,SCIAN,LSCI,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q2J,Q2K,SEL1,Q2X,O_Q2X,Q3A,Q3B,Q3C,Q3D,Q5,Q6,QX,QY,O_QY,Q8,Q9,Q10AM1,Q10AM2,Q10AM3,Q10AM4,Q10AM5,O_Q10A,Q11,O_Q11,Q12AM1,Q12AM2,Q12AM3,O_Q12A,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q14G,Q14H,Q15,Q17,Q18,QBARO,QZ,O_QZ,Q19,O_Q19,QENT,Q21,O_Q21,Q24,O_Q24,Q25,pond
15,561510,Agences de voyage,1,3,3,3,9,9,2,9,9,1,2,9,4,99,,2,2,9,9,2,2,9,,,2,1,90,,,,,Payer une amende.,,,3,,,,2,2,2,2,2,2,2,1,1,2,2,3,,,99,,1,2,,1,,1,"1,225091"
23,448120,Magasins de vêtements pour femmes,2,4,9,4,1,1,1,2,1,1,1,1,2,16,Retard causé par la construction.,2,1,2,2,2,2,4,6,Se passe moins a Montréal.Les clients vont en banlieue.,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,,4,"1,013333"
24,522111,Activités bancaires aux particuliers et aux entreprises,4,4,3,3,2,2,2,9,9,2,1,2,2,4,L'entretien des rues.,9,2,4,9,9,9,98,,,4,1,2,,,,,,,,10,,,Par téléphone mais ne sait pas quel numéro.,1,4,2,1,3,1,1,4,3,4,4,6,,,4,Avoir des résultats direct après l'appel.,1,2,,1,,6,"1,2162"
26,484110,Transport local par camion de marchandises diverses,3,3,2,3,2,2,3,2,9,2,2,3,2,4,qualitè des routes,2,3,4,2,2,3,5,3,les délais d'octroi de services. Prend trop de temps les permis sont accordés et on n'a pas le services on n'a pas les documents. on va toujours au plus bas soumissionnaire cela nous empeche d'obtenir des contrats une semaine de délai pour le service c'est trop long En transport ils n,3,1,13,6,10,,,appel de service (soumission) permis d'occupation de la voie publique  service d'émondage,14,demande de permis,9,1,,,2,3,3,1,4,2,3,3,3,3,3,8,3,perte de temps Il semble avoir un problème de communication on doit répéter les opérations plusieurs fois J'ai dü faxer un document 5 fois,12,l'execution de ce que je veux,1,2,,4,,3,"0,91"
31,561722,"Services de conciergerie, sauf le nettoyage de vitres",3,2,2,4,3,2,3,3,9,1,1,4,3,2,avoir un meilleur accès au routes qui sont souvent bloqué.,3,2,3,2,2,2,5,3,vraiement compliqué pour obtenir un permis et lorsquon pse des question nous avons rarement de réponse.,3,1,4,,,,,,,,5,,,,4,4,4,4,4,4,1,4,4,3,3,7,1,"il y a eu mention dans notre jouarnal local que les ordure n,allais pas [etre ramasse et finalement ils sont venue. doncnous avons du gard/ nos ordures une semaine de plus.",12,de recevoir une reponse lorsquon leur ecrit un courriel.,1,1,,1,,1,"0,843478"
33,441310,Magasins de pièces et d'accessoires pour véhicules automobiles,1,2,2,3,1,2,1,2,2,1,1,2,2,4,smooth road,1,1,2,2,2,2,7,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,"0,793778"
36,311811,Boulangeries de détail,2,1,1,3,3,2,3,2,2,1,1,2,4,99,,1,2,2,1,1,1,10,,,2,1,11,,,,,to obtain a permit for a *terrace* for our clients (we are a restaurant),,,5,,,,4,3,3,4,4,3,3,3,3,3,3,7,9,Emailing did not work out.  It's via the clients that come here and have a connection with the city that we finally got the permit needed to open a terrace.,13,They have to understand what we need and they are condensending.,1,1,,90,buyer,4,"1,316445"
37,722110,Restaurants à service complet,3,2,9,4,2,2,2,2,4,2,2,4,2,16,Moins de traffics a cause de la construction. Et plus de stationnement pour les clients.,3,4,4,4,3,3,8,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,3,"0,793548"
38,323114,Impression instantanée,4,4,2,4,2,9,9,1,9,9,9,2,1,18,The speed with which the snow is removed after a storm.,2,1,2,9,3,3,8,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,90,graphic designer,1,"0,780267"
39,722210,Établissements de restauration à service restreint,1,9,9,4,1,1,2,4,9,9,9,2,4,2,"Redonner accès au gens de l'éxterieur de venir s'installer à montréal,car il n'y a pas de stationnement et les routes sont bloquer.( pour la question de la circulation et transport.)",4,4,4,4,3,4,1,11,"Manque d'accèsibilité, car les routes sont bloqué et il n'y a pas de stationnement.",2,1,15,,,,,Pour le stationnement.,,,1,2,,,9,1,4,1,9,3,3,3,4,4,4,8,6,Pour maintenir mon commerce.,13,L'écoute et la réalisation.,1,1,,1,,3,"0,793548"
46,238220,"Entrepreneurs en plomberie, chauffage et climatisation",3,2,2,2,2,2,2,2,2,2,9,3,3,2,Le traffic,2,3,2,3,2,2,8,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,4,"0,821714"
