ensemble,1,2,3,4,5,6,7,8,9,10,pointage
Permis animaliers,0,0,0,1,0,0,1,1,0,1,15
Permis de construction,1,5,6,2,2,1,4,0,1,1,153
Employés de la Ville de Montréal (organigramme détaillé),2,1,1,1,0,1,2,0,1,1,60
Analyses microbiologiques dans les piscines publiques,0,0,3,0,1,1,0,1,1,0,40
"Arbres abattus, incluant la raison (notamment en raison de l'agrile)",0,0,1,2,1,1,1,1,2,6,50
Statistiques d'utilisation de la ligne de dénonciation,0,1,1,2,0,2,0,0,1,1,44
Appels au numéro 311,3,5,1,2,0,1,0,0,0,0,102
Débordements d'égouts dans le fleuve,1,1,0,1,2,1,1,1,1,0,52
Sommaire des rôles fonciers,7,3,1,2,7,0,0,1,1,1,167
Fréquentation des piscines municipales,0,3,0,2,2,1,1,0,2,0,66
Données sur le bruit au Parc Jean-Drapeau,0,0,1,0,0,0,0,1,1,1,14
Indicateurs de performance sur la propreté pour l'arrondissement de Ville-Marie,0,0,1,1,0,1,2,0,1,1,31
Liste des entreprises exclues des contrats publics,3,1,0,2,1,3,2,0,0,1,83
Emplacement des carrés d'arbre adoptés par des citoyens,0,1,0,0,0,0,1,1,0,3,19
Avis d'ébullition et de non-consommation de l'eau potable,3,2,0,0,1,1,1,3,0,0,72
Achalandage des bibliothèques,1,0,0,1,0,4,2,1,0,1,49
Plaintes d'insalubrité des logements (données non personnelles),7,4,3,4,3,1,1,1,2,1,193
Bassins versants sur l'île de Montréal,0,1,1,2,0,2,1,1,0,1,49
Alertes du Centre de sécurité civile,1,1,1,2,0,0,0,2,1,3,52
Communiqués de presse,0,1,0,0,0,1,0,3,0,0,23
Fiches détaillées du plan triennal d'immobilisation (PTI),1,0,2,1,1,1,3,1,1,0,61
Localisation planifiée des camions de cuisine de rue,1,1,2,1,0,1,1,2,1,1,60
Milieux naturels de l'agglomération,0,1,0,2,3,1,0,2,0,0,52
Sols contaminés (localisation et contamination),6,0,5,1,5,2,1,2,3,0,163
Données relatives aux graffitis et aux tags,0,0,1,0,2,1,1,2,1,1,38
Fonds de contribution à la stratégie d'inclusion,0,3,0,1,0,1,0,0,0,1,40
Données cartographiques de vulnérabilité du Plan d'adaptation au changements climatiques,0,1,3,0,1,0,2,0,3,1,54
