IdentifiantContrat;NumeroContrat;TypeContrat;AnneeContrat;NoResolution;IdentifiantArrondissement;ArrondissementCode;Arrondissement;DescriptionType;Entreprise
513;AHU-101;Déneigement;2016-2019;CM16 0770;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
514;AHU-102;Déneigement;2016-2019;CM16 0770;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
515;AHU-103;Déneigement;2016-2019;CM16 1072;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
516;AHU-108;Déneigement;2017-2019;CM17 1005;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;JMV Environnement Inc.
517;AHU-14;Transport;2014-2019;CA14 090262;22;AHU;Ahuntsic / Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Gestion Yvan Pion inc.
518;AHU-15;Déneigement;2018-2019;CA15 090211;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
519;AHU-16;Transport;2014-2019;CA14 090262;22;AHU;Ahuntsic / Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Gestion Yvan Pion inc.
520;AHU-17;Déneigement;2018-2019;CA15 090211;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
521;AHU-19;Déneigement;2018-2019;CA15 090211;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pépinière Michel Tanguay Inc.
522;AHU-RE;Régie;2018-2019;;22;AHU;Ahuntsic / Cartierville;Contrat exécuté par la régie;AHU - Ville de Montréal - Régie
524;ANJ-05;Déneigement;2014-2019;CA14 12272;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
525;ANJ-06;Déneigement;2015-2020;CA15 12254;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Services Uniques J.M. Inc.
526;ANJ-07;Déneigement;2014-2019;CA14 12273;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
527;ANJ-301;Transport;2018-2019;CM18 1372;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
528;ANJ-302;Transport;2018-2019;CM18 1372;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
529;ANJ-303;Transport;2018-2019;CM18 1372;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
530;ANJ-304;Transport;2018-2019;CM18 1372;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
531;ANJ-308;Transport;2018-2019;CM18 1372;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
532;ANJ-RE;Régie;2018-2019;;9;ANJ;Anjou;Contrat exécuté par la régie;ANJ - Ville de Montréal - Régie
534;CDN-301;Transport;2018-2019;CM18 1372;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
538;CDN-RE;Régie;2017-2018;;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté par la régie;CDN - Ville de Montréal - Régie
539;EXT-AMT;;2017-2018;;36;AMT;Agence métropolitaine de transport;;AMT 
540;EXT-MTQ;Transport;2017-2018;;34;MTQ;Ministère du transport du Québec;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ministère des transports du Québec (MTQ)
541;EXT-SVM;Transport;2013-2028;;35;SVM;Soc. de gestion des neiges Ville-Marie inc.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Société de gestion des neiges Ville-Marie inc.
542;EXT-WES;Transport;2017-2018;;33;WES;Ville de Westmount;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ville de Westmount
544;IBI-301;Transport;2018-2019;CM18 1372;8;IBI;L'Île Bizard / Sainte-Geneviève;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
545;IBI-RE;Régie;2018-2019;;8;IBI;L'Île Bizard / Sainte-Geneviève;Contrat exécuté par la régie;IBI - Ville de Montréal - Régie
546;LAB-0;Transport;2013-2020;;6;LAB;Laboratoire-test;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;LAB Entrp
547;LAB-01;Déneigement;2010-2099;;6;LAB;Laboratoire-test;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;LAB Entrp
549;LAC-102;Déneigement;2016-2020;CM16 0770;15;LAC;Lachine;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
550;LAC-104;Déneigement;2016-2020;CM16 0770;15;LAC;Lachine;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Marina matériaux et équipements
