IdentifiantDepot,NomDepot,TypeDepot,Capacite,Latitude,Longitude,VolumeDeverse,IdentifiantArrondissement,ArrondissementCode,Arrondissement
27,"Millen (AHU)","Chute_Egout",0.00,45.557450,-73.667600,36335.58,22,"AHU","Ahuntsic-Cartierville"
28,"Sauvé (AHU)","Chute_Egout",0.00,45.540330,-73.664890,3648.70,22,"AHU","Ahuntsic-Cartierville"
30,"Jules-Poitras 1 (AHU)","Chute_Egout",0.00,45.529290,-73.686700,54944.82,22,"AHU","Ahuntsic-Cartierville"
31,"St-Michel - Robert (VSP)","Carierre",3780000.00,45.573425,-73.612205,278805.93,24,"VSP","Villeray–Saint-Michel–Parc-Extension"
34,"Lafarge (sud) (MHM)","Entassement",1100000.00,45.617708,-73.523766,68106.75,21,"MHM","Mercier–Hochelaga-Maisonneuve"
35,"De la Salle (MHM)","Chute_Egout",0.00,45.549350,-73.531620,107131.78,21,"MHM","Mercier–Hochelaga-Maisonneuve"
36,"Iberville (PMR)","Chute_Egout",0.00,45.533140,-73.554640,3676.24,20,"PMR","Le Plateau-Mont-Royal"
37,"Fullum (VMA)","Chute_Egout",0.00,45.524818,-73.545051,49221.84,18,"VMA","Ville-Marie"
39,"Newman (S-O)","Entassement",375000.00,45.456310,-73.608968,36453.07,19,"S-O","Le Sud-Ouest"
41,"Turcot (CDN)","Chute_Egout",0.00,45.466760,-73.598530,13476.42,25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce"
42,"Butler (S-O)","Chute_Egout",0.00,45.474960,-73.568770,33194.90,19,"S-O","Le Sud-Ouest"
43,"Angrignon (LAS)","Entassement",1500000.00,45.452893,-73.615930,163252.31,16,"LAS","LaSalle"
44,"Verdun (VER)","Chute_Egout",0.00,45.471420,-73.559910,25250.65,10,"VER","Verdun"
45,"Armand-Chaput (RDP)","Entassement",1400000.00,45.660830,-73.527630,221892.45,17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles"
46,"Ray-Lawson (ANJ)","Entassement",2450000.00,45.622152,-73.578990,256970.37,9,"ANJ","Anjou"
47,"Château Pierrefonds (PRF)","Entassement",200000.00,45.460858,-73.899178,40390.03,11,"PRF","Pierrefonds-Roxboro"
49,"Thimens (SLA)","Entassement",478210.00,45.495180,-73.721363,63428.19,13,"SLA","Saint-Laurent"
50,"Sartelon (SLA)","Entassement",345000.00,45.512461,-73.737365,54516.94,13,"SLA","Saint-Laurent"
54,"46 ieme (LAC)","Entassement",250000.00,45.449850,-73.710480,26457.13,15,"LAC","Lachine"
55,"Saint-Pierre (LAC)","Chute_Egout",0.00,45.440490,-73.653050,6418.47,15,"LAC","Lachine"
56,"Lausanne (MTN)","Chute_Egout",0.00,45.588030,-73.648760,59.64,14,"MTN","Montréal-Nord"
57,"Langelier (SLE)","Entassement",700000.00,45.607190,-73.608360,189328.16,12,"SLE","Saint-Léonard"
58,"St-Michel - Charland (VSP)","Carierre",1260000.00,45.578529,-73.633005,133951.57,24,"VSP","Villeray–Saint-Michel–Parc-Extension"
60,"Riverside (VMA)","Chute_Egout",0.00,45.490630,-73.550560,6361.28,18,"VMA","Ville-Marie"
65,"Autoroute 13 (PRF)","Entassement",0.00,45.504227,-73.755164,0.00,11,"PRF","Pierrefonds-Roxboro"
