id,permit_permit_id,contractnumber,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"63c5986a22a9db00197975c2","OCC-2302WJ04901168",,"Ville-Marie","Travaux","Permis émis","2023-02-13T19:00:00Z","2024-12-31T18:59:59Z","Construction/rénovation avec excavation","Viger entre Saint-Laurent et De Bullion","Organisation publique ou son sous-traitant","Réfection Ville Marie SEP","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.55838338288925,45.50780638772383
"65cfb564f871520019dd470c","OCC-2402JA13684588","505801","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2024-02-17T19:00:00Z","2024-12-24T18:59:59Z","Autre","Pie-IX entre La Fontaine et Ontario","Entrepreneur sous contrat avec la Ville de Montréal","Pomerleau Inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.54100903881063,45.550118028158586
"64638510e66fc600191c3f20","OCC-2305RL19426461","463010","Rosemont-La Petite-Patrie","Travaux","Permis émis","2023-05-21T20:00:00Z","2024-12-01T18:59:59Z","Autre","Rosemont entre Boyer et De La Roche","Entrepreneur sous contrat avec la Ville de Montréal","Construction Deric Inc","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.59530021729596,45.53464262717403
"62c8771589930e001ae5c147","OCC-2207HK09199979",,"Ville-Marie","Travaux","Permis émis","2022-07-10T20:00:00Z","2024-12-22T18:59:59Z","Construction/rénovation sans excavation","Labelle entre René-Lévesque et Sainte-Catherine","Organisation publique ou son sous-traitant","Société de transport de Montréal","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.55895140599043,45.51488186393966
"63c59681ffac3c0019e2ae90","OCC-2302PT04896353",,"Ville-Marie","Travaux","Permis émis","2023-02-13T19:00:00Z","2024-12-31T18:59:59Z","Construction/rénovation avec excavation","Saint-Laurent entre Saint-Antoine et Viger","Organisation publique ou son sous-traitant","Réfection Ville Marie SEP","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.55788272572894,45.50713026758884
"65d4b2538d2230001923a48c","OCC-2402OS19084321","212314","Le Sud-Ouest","Travaux","Permis émis","2024-02-27T19:00:00Z","2024-10-01T19:59:59Z","Égouts et aqueducs - Excavation","Delisle entre Greene et Rose-de-Lima","Entrepreneur sous contrat avec la Ville de Montréal","Les Entreprises Michaudville","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.58138887969479,45.48097274754285
"65d34edb685048001933f945","OCC-2403HN16177420",,"Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2024-03-31T20:00:00Z","2024-10-31T19:59:59Z","Autre","Ontario entre Dézéry et Saint-Germain","Ville de Montréal",,"t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.54735602185859,45.54121644470946
"65d39a8f8d223000192397c9","OCC-2402IV17015475","463010","Rosemont-La Petite-Patrie","Travaux","Permis émis","2024-02-24T19:00:00Z","2024-10-24T19:59:59Z","Autre","Carrières entre Boyer et De La Roche","Entrepreneur sous contrat avec la Ville de Montréal","Construction Deric Inc","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.59263866759247,45.5341092279232
"65d4acd18d2230001923a3cb","OCC-2402WM00645692","328902","Ahuntsic-Cartierville","Travaux","Permis émis","2024-03-02T19:00:00Z","2024-11-29T18:59:59Z","Construction/rénovation avec excavation","Gouin entre Joseph-Édouard-Samson et Antoine-Berthelet","Entrepreneur sous contrat avec la Ville de Montréal","Loiselle inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.74046280792032,45.52086748097512
"65ce5825306b750019fbe5f0","OCC-2402RG17006506","463010","Rosemont-La Petite-Patrie","Travaux","Permis émis","2024-02-25T19:00:00Z","2024-11-14T18:59:59Z","Autre","Carrières entre Boyer et Christophe-Colomb","Entrepreneur sous contrat avec la Ville de Montréal","Construction Deric Inc","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-10T19:41:18Z",-73.59263185859824,45.53330378892494
