annee,arrondissement,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1990,"Ahuntsic - Cartierville","CO",110,114132.89,33677252
1990,"Ahuntsic - Cartierville","DE",35,3860,
1990,"Ahuntsic - Cartierville","TR",328,105004.18,25819273
1990,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",46,78113.54,23429150
1990,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",21,2280,
1990,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",419,170120.58,35378177
1990,"L'Île-Bizard - Sainte-Geneviève","CA",32,880,439500
1990,"L'Île-Bizard - Sainte-Geneviève","CO",66,9146,6220000
1990,"L'Île-Bizard - Sainte-Geneviève","DE",13,130,31500
1990,"L'Île-Bizard - Sainte-Geneviève","TR",66,3151,1554600
1990,"LaSalle","CA",769,118628,5210940
1990,"LaSalle","CO",159,40,19139800
1990,"LaSalle","TR",59,0,14218700
1990,"Le Plateau-Mont-Royal","CO",24,30734.32,12346400
1990,"Le Plateau-Mont-Royal","DE",111,2310,
1990,"Le Plateau-Mont-Royal","TR",832,177682.95,43135710
1990,"Le Sud-Ouest","CO",56,51153.8,21192250
1990,"Le Sud-Ouest","DE",71,2310,
1990,"Le Sud-Ouest","TR",289,160098.56,36747707
1990,"Mercier - Hochelaga-Maisonneuve","CO",102,47063.01,24699230
1990,"Mercier - Hochelaga-Maisonneuve","DE",81,2540,
1990,"Mercier - Hochelaga-Maisonneuve","TR",480,116128.73,21084152
1990,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",618,248406.92,98860296
1990,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",38,5920,
1990,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",314,95313.32,20259124
1990,"Rosemont - La Petite-Patrie","CO",57,40093.1,16136500
1990,"Rosemont - La Petite-Patrie","DE",130,4025,
1990,"Rosemont - La Petite-Patrie","TR",424,134987.97,16457802
1990,"Saint-Laurent","CA, CO, DE, TR",508,96973.6,140321811
1990,"Verdun","CO, DE",8,,
1990,"Ville-Marie","CO",48,496421.72,402963800
1990,"Ville-Marie","DE",49,3300,
1990,"Ville-Marie","TR",1162,901020.31,216099722
1990,"Villeray - Saint-Michel - Parc-Extension","CO",31,31594.75,18259500
1990,"Villeray - Saint-Michel - Parc-Extension","DE",71,1020,
1990,"Villeray - Saint-Michel - Parc-Extension","TR",364,59551.36,10310741
1991,"Ahuntsic - Cartierville","CO",83,158325.54,73775900
1991,"Ahuntsic - Cartierville","DE",23,2905,
1991,"Ahuntsic - Cartierville","TR",344,96297.68,18367795
1991,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",52,66974.35,37270919
1991,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",30,4270,
1991,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",484,326504.65,67704149
1991,"L'Île-Bizard - Sainte-Geneviève","CA",45,1865,400250
1991,"L'Île-Bizard - Sainte-Geneviève","CO",75,25218,8379500
1991,"L'Île-Bizard - Sainte-Geneviève","DE",14,530,18400
1991,"L'Île-Bizard - Sainte-Geneviève","TR",56,4491,1377750
1991,"LaSalle","CA",927,76448,2080250
1991,"LaSalle","CO",167,1810,13548937
1991,"LaSalle","TR",50,354,1847700
1991,"Le Plateau-Mont-Royal","CO",18,12734.74,5369650
1991,"Le Plateau-Mont-Royal","DE",91,4755,
1991,"Le Plateau-Mont-Royal","TR",811,215026.14,41052041
1991,"Le Sud-Ouest","CO",45,25798.69,11172800
1991,"Le Sud-Ouest","DE",59,2950,
1991,"Le Sud-Ouest","TR",255,89461.19,16909261
1991,"Mercier - Hochelaga-Maisonneuve","CO",130,37731.2,29737335
1991,"Mercier - Hochelaga-Maisonneuve","DE",69,2430,
1991,"Mercier - Hochelaga-Maisonneuve","TR",448,275720.71,101399891
1991,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",784,178734.43,76529312
1991,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",27,3240,
1991,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",322,76188.36,19508346
1991,"Rosemont - La Petite-Patrie","CO",43,24165.06,11115591
1991,"Rosemont - La Petite-Patrie","DE",103,2965,
1991,"Rosemont - La Petite-Patrie","TR",469,131837.93,44696277
1991,"Saint-Laurent","CA",615,48342,24283231
1991,"Saint-Laurent","CO",15,32896,26797000
1991,"Saint-Laurent","DE",14,6619,
1991,"Saint-Laurent","TR",52,50394,6765900
1991,"Verdun","DE",75,0,
1991,"Ville-Marie","CO",33,57646.24,56907100
1991,"Ville-Marie","DE",59,8740,
1991,"Ville-Marie","TR",1168,1019096.18,279474268
1991,"Villeray - Saint-Michel - Parc-Extension","CO",46,43135.05,12625500
1991,"Villeray - Saint-Michel - Parc-Extension","DE",52,3515,
1991,"Villeray - Saint-Michel - Parc-Extension","TR",417,116398.74,18068043
1992,"Ahuntsic - Cartierville","CO",49,37590.12,10252135
1992,"Ahuntsic - Cartierville","DE",19,845,
1992,"Ahuntsic - Cartierville","TR",324,156903.69,26115896
1992,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",38,40810.84,24501069
1992,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",37,3125,
1992,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",376,196454.64,41544119
1992,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",261,51275,16182150
1992,"LaSalle","CA",881,218871,1756300
