id_entente,date_signature_sys,nom_entente,arrondissement,adr_emplacement,lot,superf_resid_ajout,nb_log_ajout,contrib_social_fin,mnt_contrib_social_fin,contrib_social_tss,superf_resid_social_tss,prix_achat_tss,contrib_social_ths,superf_resid_social_prevu_ths,prix_achat_ths,contrib_social_cem,contrib_abord_fin,mnt_contrib_abord_fin,real_log_abord_ss,superf_tot_ss_entente,real_log_abord_hs,superf_tot_hs_entente,nb_log_famil_scdp
"1000189","2021-10-14","5460 Sherbrooke E","Mercier - Hochelaga-Maisonneuve",,"2247545",15331,199,"Oui",629324,"Non",,,"Non",,,"Non","Oui",226367.9,"Non",,"Non",,20
"1000187","2022-11-22","5775, boulevard Maisonneuve Ouest. (coin Melrose)","Côte-des-Neiges - Notre-Dame-de-Grâce",,"6254589,6254590,6254588",3099,41,"Oui",95773,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000005","2021-05-20","8624 Champagneur","Villeray - Saint-Michel - Parc-Extension","8624, avenue Champagneur, H3N2L2","6498247,6498246",881,8,"Oui",17671,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000205","2022-09-02","Condos Le Jockeys","Côte-des-Neiges - Notre-Dame-de-Grâce",,"1573592,1573214,1573213,1574029",2019,21,"Oui",52681,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000244","2022-09-08","511 et 513, 36e Avenue","Rivière-des-Prairies - Pointe-aux-Trembles","511, avenue 36e, H1A3J7","1424819,1424781,1424774",562,6,"Oui",2705,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000167","2022-04-01","1595, rue Saint-Hubert ","Ville-Marie","1595, rue Saint-Hubert, H2L3Z1","6407843,6407842,6407841",2042,23,"Oui",71077,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,
"1000191","2022-06-30","3003150855 - 1819 Dollard","LaSalle",,"1174905",14385,166,"Oui",448403,"Non",,,"Non",,,"Non","Oui",194141,"Non",,"Non",,17
"1000120","2022-04-19",,"Lachine",,"1867983,1867976",1830,8,"Oui",33485,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000194","2023-02-15","1957 Hunter Sherwin","Le Sud-Ouest","1957, rue Hunter, H3J2N9","1243137",13714,162,"Oui",37929.04,"Non",,,"Oui",2676,846740,"Non","Oui",358609,"Non",,"Non",,8
"1000114","2022-02-09","10760 De Lorimier","Ahuntsic - Cartierville",,"1930274",874,8,"Oui",13801.2,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000124","2022-03-30","Le moden","Ville-Marie",,"2333091",8660,126,"Oui",317657,"Non",,,"Non",,,"Non","Oui",91312,"Non",,"Non",,13
"1000057","2022-01-21","6890, rue de la Roche","Rosemont - La Petite-Patrie",,"3082182",547,6,"Oui",3157.35,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000371","2022-11-30","NEX","Verdun",,"2282018,2282004,2282235,2282006,2282007,2282008,2282009,2282010,2282011,2282012,2282013,2282015,2282016,2282017,2282002,2282019,2282020,2282005,2282021,2282024,2282000,2282001",25680,258,"Oui",1739651,"Non",,,"Non",,,"Non","Oui",515309,"Non",,"Non",,26
"1000206","2022-07-29","Promenade des Ormeaux","Mercier - Hochelaga-Maisonneuve",,"1111539",1390,18,"Oui",22701,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000243","2022-08-12","10486, Leblanc","Montréal-Nord","10486, avenue Leblanc, H1H5C2","1742324",638,4,"Oui",4540,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000474","2023-12-19",,"Villeray - Saint-Michel - Parc-Extension","105, rue Jean-Talon Ouest, H2R2W9","1879357",6635,74,"Oui",332892,"Non",,,"Non",,,"Non","Oui",166446,"Non",,"Non",,7
"1000111","2020-03-09","Les Hauts-de-forme","Rosemont - La Petite-Patrie",,"6640689,6640691,6640692,6640690",538,4,"Oui",2864,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,
"1000117","2022-03-28","3550-3556 Saint-Laurent","Le Plateau-Mont-Royal",,"6538984",967,20,"Oui",32028,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000577","2024-08-24","Pierrefonds","Pierrefonds - Roxboro",,"2409348,2409347",15649,161,"Oui",552893,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000106","2021-12-10","La tour Hampstead","Côte-des-Neiges - Notre-Dame-de-Grâce","5457, chemin Queen-Mary, H3X1V4","3362045",2213,32,"Oui",60421,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,
"1000190","2022-06-03",,"Le Sud-Ouest","6114, rue Beaulieu, H4E3E8","6358941,6358939,6358938,6358944,6358940",462,3,"Oui",391,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000058","2021-11-16","Multilogement Clément","LaSalle",,"1202746",13931,157,"Oui",408890,"Non",,,"Non",,,"Non","Oui",176359.7,"Non",,"Non",,16
"1000484","2023-06-21","1145, rue Jardin","Le Sud-Ouest","1145, rue Jardin, H3K2L5","6291185",529,5,"Oui",2700,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000487","2023-12-19","5495-5497, boul. Henri-Bourassa","Saint-Laurent",,"6503443",1284,11,"Oui",28506,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000510","2023-12-18","3420 st-joseph est","Rosemont - La Petite-Patrie","3420, boulevard Saint-Joseph Est, H1X1W6","6301290,6301289",11299,155,"Oui",620484,"Non",,,"Non",,,"Non","Oui",173714,"Non",,"Non",,16
