No_QR,Nom_QR,No_arr,Nom_arr_Montreal,Nom_mun,Nb_log
"01","Cartierville","23","Ahuntsic-Cartierville","Montréal",10638
"02","Nouveau-Bordeaux","23","Ahuntsic-Cartierville","Montréal",13624
"03","Nicolas-Viel","23","Ahuntsic-Cartierville","Montréal",9427
"04","Sault-au-Récollet","23","Ahuntsic-Cartierville","Montréal",13574
"05","Saint-Sulpice","23","Ahuntsic-Cartierville","Montréal",10275
"06","La Visitation","23","Ahuntsic-Cartierville","Montréal",8957
"07","Sainte-Lucie","25","Villeray–Saint-Michel–Parc-Extension","Montréal",9586
"08","René-Goupil","25","Villeray–Saint-Michel–Parc-Extension","Montréal",4563
"09","Gabriel-Sagard","25","Villeray–Saint-Michel–Parc-Extension","Montréal",10846
"10","François-Perrault","25","Villeray–Saint-Michel–Parc-Extension","Montréal",7555
"11","Parc-Extension","25","Villeray–Saint-Michel–Parc-Extension","Montréal",13430
"12","Parc-Jarry","25","Villeray–Saint-Michel–Parc-Extension","Montréal",9213
"13","Crémazie","25","Villeray–Saint-Michel–Parc-Extension","Montréal",17329
"14","Saint-Édouard","24","Rosemont–La Petite-Patrie","Montréal",10485
"15","Père-Marquette","24","Rosemont–La Petite-Patrie","Montréal",11767
"16","Louis-Hébert","24","Rosemont–La Petite-Patrie","Montréal",8442
"17","Étienne Desmarteaux","24","Rosemont–La Petite-Patrie","Montréal",9486
"18","Vieux-Rosemont","24","Rosemont–La Petite-Patrie","Montréal",16767
"19","Petite-Côte","24","Rosemont–La Petite-Patrie","Montréal",9677
"20","Marie-Victorin","24","Rosemont–La Petite-Patrie","Montréal",15562
"21","Louis-Riel","22","Mercier–Hochelaga-Maisonneuve","Montréal",9988
"22","Dupéré","22","Mercier–Hochelaga-Maisonneuve","Montréal",6344
"23","Tétreaultville","22","Mercier–Hochelaga-Maisonneuve","Montréal",10102
"24","Beaurivage","22","Mercier–Hochelaga-Maisonneuve","Montréal",7199
"25","Guybourg","22","Mercier–Hochelaga-Maisonneuve","Montréal",1797
"26","Longue-Pointe","22","Mercier–Hochelaga-Maisonneuve","Montréal",11543
"27","Hochelaga","22","Mercier–Hochelaga-Maisonneuve","Montréal",6769
"28","Maisonneuve","22","Mercier–Hochelaga-Maisonneuve","Montréal",12168
"29","Préfontaine","22","Mercier–Hochelaga-Maisonneuve","Montréal",9915
"30","Sainte-Marie","19","Ville-Marie","Montréal",21826
"31","Lorimier","21","Le Plateau-Mont-Royal","Montréal",11882
"32","Parc-Lafontaine","21","Le Plateau-Mont-Royal","Montréal",9868
"33","Parc-Laurier","21","Le Plateau-Mont-Royal","Montréal",11296
"34","Mile End","21","Le Plateau-Mont-Royal","Montréal",14171
"35","Saint-Louis","21","Le Plateau-Mont-Royal","Montréal",9318
"36","Milton-Parc","21","Le Plateau-Mont-Royal","Montréal",9632
"37","Vieux-Montréal","19","Ville-Marie","Montréal",12359
"38","René-Lévesque","19","Ville-Marie","Montréal",25288
"39","Montagne","19","Ville-Marie","Montréal",22632
"40","Snowdon","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",11362
"41","Édouard-Montpetit","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12469
"42","Parc-Kent","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",13827
"43","Savane","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",14896
"44","Upper Lachine","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12185
"45","Loyola","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12858
"46","Côte-Saint-Antoine","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",10120
"47","Pointe-Saint-Charles","20","Le Sud-Ouest","Montréal",8830
"48","Côte-Saint-Paul","20","Le Sud-Ouest","Montréal",8941
"49","Ville-Émard","20","Le Sud-Ouest","Montréal",7015
"50","Saint-Henri","20","Le Sud-Ouest","Montréal",10608
"51","Petite-Bourgogne","20","Le Sud-Ouest","Montréal",15395
"52","Marc-Aurèle-Fortin","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",14757
"53","Rivière-des-Prairies","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",7457
"54","Pointe-aux-Trembles","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",23540
"55","Chameran/Montpellier","15","Saint-Laurent","Montréal",9697
"56","Grenet","15","Saint-Laurent","Montréal",5011
"57","Dutrisac","15","Saint-Laurent","Montréal",4333
"58","Bois-Francs","15","Saint-Laurent","Montréal",15569
"59","Du College/Hodge","15","Saint-Laurent","Montréal",10122
"60A","Ouest","16","Montréal-Nord","Montréal",11510
"60B","Centre-Nord","16","Montréal-Nord","Montréal",5846
"60C","Centre","16","Montréal-Nord","Montréal",8834
"61","Est","16","Montréal-Nord","Montréal",14321
"62","Port-Maurice","14","Saint-Léonard","Montréal",19348
"63","Grande-Prairie","14","Saint-Léonard","Montréal",15052
"64","Verdun-Centre","12","Verdun","Montréal",17310
"65","Ile-des-Soeurs","12","Verdun","Montréal",11772
"66","Desmarchais-Crawford","12","Verdun","Montréal",9259
"67","Cecil-P.-Newman","17","LaSalle","Montréal",16679
"68","Sault-Saint-Louis","17","LaSalle","Montréal",24571
"69","Lachine-Ouest","27","Lachine","Montréal",7392
"70","Vieux-Lachine - Saint-Pierre","27","Lachine","Montréal",15883
"71","Pierrefonds-Ouest","31","Pierrefonds-Roxboro","Montréal",11596
