No_QR,Nom_QR,No_arr,Nom_arr_Montreal,Nom_mun,Nb_log
"01","Cartierville","23","Ahuntsic-Cartierville","Montréal",10639
"02","Nouveau-Bordeaux","23","Ahuntsic-Cartierville","Montréal",13623
"03","Nicolas-Viel","23","Ahuntsic-Cartierville","Montréal",9426
"04","Sault-au-Récollet","23","Ahuntsic-Cartierville","Montréal",13561
"05","Saint-Sulpice","23","Ahuntsic-Cartierville","Montréal",10276
"06","La Visitation","23","Ahuntsic-Cartierville","Montréal",8957
"07","Sainte-Lucie","25","Villeray–Saint-Michel–Parc-Extension","Montréal",9584
"08","René-Goupil","25","Villeray–Saint-Michel–Parc-Extension","Montréal",4563
"09","Gabriel-Sagard","25","Villeray–Saint-Michel–Parc-Extension","Montréal",10847
"10","François-Perrault","25","Villeray–Saint-Michel–Parc-Extension","Montréal",7556
"11","Parc-Extension","25","Villeray–Saint-Michel–Parc-Extension","Montréal",13421
"12","Parc-Jarry","25","Villeray–Saint-Michel–Parc-Extension","Montréal",9215
"13","Crémazie","25","Villeray–Saint-Michel–Parc-Extension","Montréal",17330
"14","Saint-Édouard","24","Rosemont–La Petite-Patrie","Montréal",10484
"15","Père-Marquette","24","Rosemont–La Petite-Patrie","Montréal",11759
"16","Louis-Hébert","24","Rosemont–La Petite-Patrie","Montréal",8437
"17","Étienne Desmarteaux","24","Rosemont–La Petite-Patrie","Montréal",9485
"18","Vieux-Rosemont","24","Rosemont–La Petite-Patrie","Montréal",16747
"19","Petite-Côte","24","Rosemont–La Petite-Patrie","Montréal",9678
"20","Marie-Victorin","24","Rosemont–La Petite-Patrie","Montréal",15560
"21","Louis-Riel","22","Mercier–Hochelaga-Maisonneuve","Montréal",9988
"22","Dupéré","22","Mercier–Hochelaga-Maisonneuve","Montréal",6344
"23","Tétreaultville","22","Mercier–Hochelaga-Maisonneuve","Montréal",10102
"24","Beaurivage","22","Mercier–Hochelaga-Maisonneuve","Montréal",7198
"25","Guybourg","22","Mercier–Hochelaga-Maisonneuve","Montréal",1797
"26","Longue-Pointe","22","Mercier–Hochelaga-Maisonneuve","Montréal",11419
"27","Hochelaga","22","Mercier–Hochelaga-Maisonneuve","Montréal",6768
"28","Maisonneuve","22","Mercier–Hochelaga-Maisonneuve","Montréal",12086
"29","Préfontaine","22","Mercier–Hochelaga-Maisonneuve","Montréal",9907
"30","Sainte-Marie","19","Ville-Marie","Montréal",21827
"31","Lorimier","21","Le Plateau-Mont-Royal","Montréal",11885
"32","Parc-Lafontaine","21","Le Plateau-Mont-Royal","Montréal",9871
"33","Parc-Laurier","21","Le Plateau-Mont-Royal","Montréal",11296
"34","Mile End","21","Le Plateau-Mont-Royal","Montréal",14172
"35","Saint-Louis","21","Le Plateau-Mont-Royal","Montréal",9318
"36","Milton-Parc","21","Le Plateau-Mont-Royal","Montréal",9632
"37","Vieux-Montréal","19","Ville-Marie","Montréal",12357
"38","René-Lévesque","19","Ville-Marie","Montréal",24643
"39","Montagne","19","Ville-Marie","Montréal",22628
"40","Snowdon","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",11363
"41","Édouard-Montpetit","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12467
"42","Parc-Kent","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",13826
"43","Savane","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",14898
"44","Upper Lachine","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12185
"45","Loyola","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12859
"46","Côte-Saint-Antoine","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",10121
"47","Pointe-Saint-Charles","20","Le Sud-Ouest","Montréal",8824
"48","Côte-Saint-Paul","20","Le Sud-Ouest","Montréal",8943
"49","Ville-Émard","20","Le Sud-Ouest","Montréal",7015
"50","Saint-Henri","20","Le Sud-Ouest","Montréal",10605
"51","Petite-Bourgogne","20","Le Sud-Ouest","Montréal",15313
"52","Marc-Aurèle-Fortin","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",14759
